#Source :: Extracted this dictionary from agriculture1_wiktionary.txt and agriculture2_wiktionary.txt
#Changes:: 1) Separated single word and multi words into separate dictionaries
#          2) English words are converted to lower case
#          3) Added category as 'noun#2#RM' by default
#Added  :: By Roja Lakshmi (06-11-14)
#######################################
aromatic_plants	sugaMXiwa_pOXe#sugaMXiwa_pOXe#noun#2#RM
isolated_store_cluster	ekaliwa_BaNdAra_samUha#ekaliwa_BaNdAra_samUha#noun#2#RM
italian_millet	kaMganI#kaMganI#noun#2#RM
ivy_gourd	kuxasa#kuxasa#noun#2#RM
jack_tree	katahala#katahala#noun#2#RM
kindney_bean	udZaxa#udZaxa#noun#2#RM
land_races	xeSaja_prajAwiyAM#xeSaja_prajAwiyAM#noun#2#RM
late_maturing	paCewI_pakane_vAlI#paCewI_pakane_vAlI#noun#2#RM
lesser_cardamom	CotI_ilAyacI#CotI_ilAyacI#noun#2#RM
lint_percentage	rUI_prawiSawawA#rUI_prawiSawawA#noun#2#RM
little_millet	kutakI_koMxo#kutakI_koMxo#noun#2#RM
long_staple	laMbA_reSA#laMbA_reSA#noun#2#RM
marginal_soil	sImAMwa_BUmi/kama_upajAU_BUmi#sImAMwa_BUmi/kama_upajAU_BUmi#noun#2#RM
mass_selection	samUha_cayana#samUha_cayana#noun#2#RM
maturity_index	paripakvawA_sUcakAMka#paripakvawA_sUcakAMka#noun#2#RM
maturity_ratio	paripakvawA_anupAwa#paripakvawA_anupAwa#noun#2#RM
mean_length	Osawa_laMbAI#Osawa_laMbAI#noun#2#RM
medium_staple	Osawa_reSA#Osawa_reSA#noun#2#RM
macro_structure	sWUla_saMracanA#sWUla_saMracanA#noun#2#RM
mid_term_appraisal	maXyAvaXi_samIkRA#maXyAvaXi_samIkRA#noun#2#RM
mixed_crops	miSraPasala#miSraPasala#noun#2#RM
moisture_content	namI_kI_mAwrA/jalAMSa#namI_kI_mAwrA/jalAMSa#noun#2#RM
moisture_absorption	namI_avaSoRaNa#namI_avaSoRaNa#noun#2#RM
molecular_biology	ANvika_jIvavijFAna#ANvika_jIvavijFAna#noun#2#RM
molecular_configuration	ANvika_vinyAsa#ANvika_vinyAsa#noun#2#RM
musk_melon	KarabUja#KarabUja#noun#2#RM
naked_seed	anAvqwwa_bIja#anAvqwwa_bIja#noun#2#RM
natural_resins_&_gums	prAkqwika_roYla_evaM_goMxa#prAkqwika_roYla_evaM_goMxa#noun#2#RM
necza_pine	cilagojA#cilagojA#noun#2#RM
nigella_seeds	kalOMjI#kalOMjI#noun#2#RM
nitch_area	pramuKa_kRewra#pramuKa_kRewra#noun#2#RM
nitrogen_fixing	nAitrojana_yOgikIkaraNa#nAitrojana_yOgikIkaraNa#noun#2#RM
nut_meg	jAyaPala#jAyaPala#noun#2#RM
off_season	be-mOsama#be-mOsama#noun#2#RM
oil_content	wela_wawva#wela_wawva#noun#2#RM
omum_seed	ajavAyana#ajavAyana#noun#2#RM
organic_farming	jEvika_kqRi#jEvika_kqRi#noun#2#RM
over_control	sAmAnya_kI_wulanA_meM#sAmAnya_kI_wulanA_meM#noun#2#RM
over_the_year	kaI_varRoM_waka#kaI_varRoM_waka#noun#2#RM
partnership_and_linkage	sahaBAgiwA_Ora_sahayoga#sahaBAgiwA_Ora_sahayoga#noun#2#RM
pearl_millet	bAjarA#bAjarA#noun#2#RM
pearl_millet	bAjarA#bAjarA#noun#2#RM
pest_control	kItanASI#kItanASI#noun#2#RM
pregnancy_test	saMwawi_parIkRaNa#saMwawi_parIkRaNa#noun#2#RM
physical_parameters	BOwika_mApaxaMda#BOwika_mApaxaMda#noun#2#RM
pigeon_pea	arahara#arahara#noun#2#RM
pink_bollworm	gulAbI_sUMdI#gulAbI_sUMdI#noun#2#RM
plant_bio-technology	pAxapa_jEva_prOxyogikI#pAxapa_jEva_prOxyogikI#noun#2#RM
plant_genetic_resources	pAxapa_AnuvaMSika_saMsAXana#pAxapa_AnuvaMSika_saMsAXana#noun#2#RM
plant_protection	pAxapa_saMrakRaNa#pAxapa_saMrakRaNa#noun#2#RM
plantation_crops	ropaNa_PasaleM#ropaNa_PasaleM#noun#2#RM
post_harvest_management	sasyowwara_prabaMXa/katAI_paRcAwa_prabaMXana#sasyowwara_prabaMXa/katAI_paRcAwa_prabaMXana#noun#2#RM
powderly_mildew	romila_PaPUMxa#romila_PaPUMxa#noun#2#RM
pre_release	vimocana_pUrva#vimocana_pUrva#noun#2#RM
proposed_outlay	praswAviwa_parivyaya#praswAviwa_parivyaya#noun#2#RM
public_knowledge	sArvajanika_jFAna#sArvajanika_jFAna#noun#2#RM
pure_line	SuxXa_vaMSa_krama#SuxXa_vaMSa_krama#noun#2#RM
pure_strains	SuZxXa_nasla#SuZxXa_nasla#noun#2#RM
raising_animal	badZe_howe/baDZawe_paSu#badZe_howe/baDZawe_paSu#noun#2#RM
rapeseed_and_mustard	woriyA_evaM_sarasoM#woriyA_evaM_sarasoM#noun#2#RM
red_gram	malkA#malkA#noun#2#RM
red_rotten	lAla_galana#lAla_galana#noun#2#RM
registered_seed	paMjIkqwa_bIja#paMjIkqwa_bIja#noun#2#RM
research_highlights	pramuKa_anusaMXAna_upalabXiyAM#pramuKa_anusaMXAna_upalabXiyAM#noun#2#RM
ribbed_gourd	kAlI_worI#kAlI_worI#noun#2#RM
rodent_control	kqnwaka_niyaMwraNa#kqnwaka_niyaMwraNa#noun#2#RM
root_stock	prakaMxa/mUlavqMwa#prakaMxa/mUlavqMwa#noun#2#RM
round_gourd	tiNdA#tiNdA#noun#2#RM
saline_water	lavaNIya_jala#lavaNIya_jala#noun#2#RM
sandy_loam	baluI_xumata#baluI_xumata#noun#2#RM
secondary_roots	xviwIyakajadZeM#xviwIyakajadZeM#noun#2#RM
seed_coat	bIjAvaraNa#bIjAvaraNa#noun#2#RM
seed_coat_fragment	bIjAvaraNa_ke_kaNa#bIjAvaraNa_ke_kaNa#noun#2#RM
seed_cotton	kapAsa#kapAsa#noun#2#RM
seed_index	bIja_sUcakAMka#bIja_sUcakAMka#noun#2#RM
seed_production	bIja_uwpAxana#bIja_uwpAxana#noun#2#RM
seed_setting	bIja_jamAnA#bIja_jamAnA#noun#2#RM
seed_technology	bIja_prOxyogikI#bIja_prOxyogikI#noun#2#RM
selected_variety	cuniMxA_kismeM#cuniMxA_kismeM#noun#2#RM
sesame_and_niger	wila_evaM_rAma_wila#wila_evaM_rAma_wila#noun#2#RM
short_staple	CotA_reSA#CotA_reSA#noun#2#RM
single_fibre	ikaharA_reSA#ikaharA_reSA#noun#2#RM
single_plant_selection	ekala_pAxapa_varaNa#ekala_pAxapa_varaNa#noun#2#RM
small_millets	Cote_mote_anAja#Cote_mote_anAja#noun#2#RM
small_stoneless	kiSamiSa#kiSamiSa#noun#2#RM
snake_gourd	ciciNdA#ciciNdA#noun#2#RM
soil_deplition	mqxA_apakRaya#mqxA_apakRaya#noun#2#RM
soil_inventory	mqxA_sUcI_banAnA#mqxA_sUcI_banAnA#noun#2#RM
species_diversity	jAwIya_viviXawA#jAwIya_viviXawA#noun#2#RM
specific_resistant	viSiRta_prawiroXa#viSiRta_prawiroXa#noun#2#RM
split_application	kiswoM_meM_prayoga#kiswoM_meM_prayoga#noun#2#RM
stake_holders	paNaXArI/BAgIxAra#paNaXArI/BAgIxAra#noun#2#RM
staple_length	waMwu_kI_laMbAI#waMwu_kI_laMbAI#noun#2#RM
stem_bore	wanA_Cexaka#wanA_Cexaka#noun#2#RM
sugar_apple	sIwAPala#sIwAPala#noun#2#RM
sugar_beet	cukanxara#cukanxara#noun#2#RM
three_way_cross	wripaWI_saMkara/wrijanaka_saMkara#wripaWI_saMkara/wrijanaka_saMkara#noun#2#RM
time_tested	samayasamaya_para_jAMcI_gaI#samayasamaya_para_jAMcI_gaI#noun#2#RM
transgenic_cotton	parAjInI_kapAsa#parAjInI_kapAsa#noun#2#RM
tuber_crops	kaMxIya_PasaleM#kaMxIya_PasaleM#noun#2#RM
ultra_structure	awi_sUkRma_racanA#awi_sUkRma_racanA#noun#2#RM
under_utilised_crops	alpa_xohiwa_PasaleM#alpa_xohiwa_PasaleM#noun#2#RM
uneven_land	UbadZa-KAbadZa_jamIna#UbadZa-KAbadZa_jamIna#noun#2#RM
use_efficiency	upayoga_kRamawA#upayoga_kRamawA#noun#2#RM
value_added	guNavarXiwa/mUlya_saMvarXana#guNavarXiwa/mUlya_saMvarXana#noun#2#RM
water_melon	warabUja#warabUja#noun#2#RM
white_goose_foot	baWuA#baWuA#noun#2#RM
white_grubs	saPexa_sUMdI#saPexa_sUMdI#noun#2#RM
zero_tillage	SUnya_juwAI#SUnya_juwAI#noun#2#RM
