abandoned	bigadZA_huA/KAlI/pariwyakwa/CodZA_huA/
delightful	xilacaspa/suKaxa/suhAvanA/AnanxaxAyaka/
delight	Ananxiwa/KuSI/KuSa_ho/prasannawA_ho/prasanna_kara/
delinquent	AparAXika/aparAXI/
delirious	awyaXika_uwwejiwa/behoSa/
deliver	pahuzcA/bola/xarSA/xe/PeMka/janma_xe/bacA/pUrA_kara/hAsila_kara/janma_karA/samApwa_kara/
delivery	viwaraNa/pahuzcAne_vAlA/milanA/prasUwi/PeMkane_kI_gawi/BARaNa_SElI/
deluge	jalamagna_ho/AplAviwa_ho/BaramAra/jala-pralaya/meM_dUba_jA/
demanding	mahawwavapUrNa/awyaXika_kAma_kI_apekRA_karane_vAlA/muSkila/awyaXika_SArIrika_mehanawa_vAlA/xakRawApUrNa/awqpwa/
demand	mAzgoM_se_BarA/apekRA_kara/praSna_kara/AvaSyakawA_ho/cAha/mAzga_kara/BAra/AvaSyakawA/mAzga/
demean	apamAniwa_ho/gOrava_kama_honA/nIcA_xiKA/apamAniwa_kara/
democracy	prajAwanwra_rAjya/lokawanwra/
demolish	naRta_kara_xe/samApwa_kara_xe/KA/Xvaswa_kara_xe/
demonstrate	praxarSiwa_kara/praxarSana_kara/vyakwa_kara/paricaya_xe/xarSA/xiKA/
demonstrative	niScayavAcaka/BAvapraxarSaka/
demure	SAnwa/EwarAjZa/
denounce	xoRa_maDZa/BarwsanA_kara/SikAyawa_kara/raxxa_kara/niMxA_kara/
dense	manxabuxXi/saGana/mUrKa/GanA/
dent	gadDA/gadDA_banA/
deny	suviXAoM_se_vaMciwa_raKa/KaMdana_kara/vaMciwa_kara/asvIkAra_kara/saMbaMXa_woda/Coda/avajFA_kara/inakAra_kara/
depart	hata/jA/se_hata/
departure	vyawikaraNa/ravAnagI/
depend	BarosA_kara/nirBara_kara/nirBara_ho/BarosA_raKa/
deploy	upayoga_kara/kAma_meM_lagA/wEnAwa_kara/
deport	nirvAsiwa_kara/
depose	gavAhI_xe/sAkRI_xe/paxacyuwa_kara/bayAna_xe/
deposition	paxacyuwi/bayAna/sAkRya/sabUwa/nikRepaNa/
deposit	BugawAna/BaNdAra/Coda/raKa_xe/Xarohara/jamA_kara/
depressive	avasAxI/xabAvapUrNa/hawowsAhaka/
deprive	vaMciwa/vaMciwa_kara/
deputy	upa/prawiniXi/
derange	pAgala/gadZabadZa_kara/
derive	nikala/prApwa_kara/niRpAxiwa_kara/vyuwpanna/bana/vyuwpanna_kara/
descend	AkramaNa_kara/acAnaka_A/uwara/Dala/uwara_A/uwpanna_ho/uwwarAXikAra_meM_prApwa_ho/tUta_padZa/CA_jA/nIce_A/nIce_gira/
descent	hamalA/pawana/vaMSaja/AkramaNa/uwAra/
describe	bayAna_kara/varNana_kara/KIMca/pariBARiwa_kara/bawA/banA/kara/vyakwa_kara/
desert	vIrAnA/regiswAna/vIrAna_ho_jA/CodZa_xe/
deserve	yogya/yogya_ho/lAyaka_ho/bana/
designate	niyukwa_karanA/niyukwa_kara/nirxiRta_kara/
design	cAlAka/dijAina/uxxeSya/irAxA/Akqwi/aBikalpiwa/dijAina_kara/yojanA_banA/nakSA_banA/rUpareKA_banA/racanA/banA/
desire	icCA/cAha/icCA_raKa/
desist	roka_lagAnA/ruka_jA/
desk	kAuntara/meja/pUCa-wACa/
desolate	ujAdZa/akelA/akelA_ho_jA/
despair	nirASA/nirASa_ho/
desperate	nirASa/
despite	bEra/ke_bAvajUxa/
destine	kA_ganwavya/niyawavAlA/
destroy	naRta_ho/naRta_kara_xe/barbAxa_kara/mAra_xe/naRta_kara/
destruction	vinASa/wabAhI/
detach	alaga_huA/pqWaka_kara/Beja/alag_kara/
detail	viswqwa/byOrA/vyOrevAra_varNana_kara/senA_kI_tukadZI/hissA/vivaraNa/viswAra/wEnAwa_kara/bArIkI/AxeSa_xe/
detain	hirAsawa_meM_le/xera_ho/roka_kara_raKa/
detective	jAsUsI/jAsUsa/
determination	nirXAraNa/xqDZa_saMkalpa/xqDZawA/
determine	kqwasaMkalpa/nirXAriwa_kara/niSciwa_kara/xqDa_niScaya_kara/xqDa/mApa/
detract	GatA/kalaMkiwa_ho/
devastate	hAnikAraka/ujAdZane_vAlA/ujAdZa/
development	vikAsa/vqxXi/GatanA/
develop	vikAsaSIla/vikasiwa/baxala_jA/banA/kAyama_kara/prApwa/SurU_ho/vikasiwa_kara/vikasiwa_ho/uwpanna/pExA_kara/vikAsa_kara/
deviate	hata_jA/Bataka/Bramiwa_kara/
deviation	vicalana/parivarwana/
device	upakaraNa/bama/yojanA/viXi/
devil	SEwAna/masAle_evaM_warala_paxArWoM_se_KAnA_pakA/cawura-cAlAka/
devise	xAna_kara_xe/nikAla_le/soca_nikAla_le/vasIyawa/
devoted	samarpiwa/vaPAxAra/
devote	vaPAxAra/samarpiwa_kara/
devotion	AsWA/SraxXA/Bakwi/kA/
devour	naRta_kara_xe/cAva_se_xeKa/cAva_se_paDa/KA_jA/
diagnose	pIdZiwa_pA/pawA_lagA/
diamond	IMta_kA_pawwA/viRama_koNIya_samacawurBuja/hIre_ke_ABURaNa/hIrA/
dictate	AjFA/AjFA_xe/liKavA/pukAra/
diet	vijFApana/kAryakrama/alpAhAra/AhAra/alpAhAra_le/
die	lupwa_ho/SAnwa_ho/wuraMwa_mara_jA/lupwa_ho_jA/maraNakAlIna/TappA_yA_sAzcA/mara_jA/maranA/mara/KarAba_ho/Pata_jA/muraJA_jA/buJa_jA/buJa/samApwa_ho/
different	alaga_alaga/alaga/viBinna/
difficult	teDA/muSkila/xuBara/kaTina/cidacidA/
diffuse	PElA_huA/PElA/
digest	nIwi_saMgraha/pacA/
dignify	gOravAnviwA_baDA/prawiRTA_kara/sammAna_kara/
dignity	prawiRTA/gOrava/garimA/badappana/
dig	Koxa/Koja_kara/uKAdZa_PeMka/KuxAI/
dilute	kama_ho_jA/kama_kara_xe/pawalA_kara/pAnI_se_pawalA_kara/
dilution	jala_miSraNa/kama_karanA/
dimension	AyAma/parimANa/vimA/pahalU/
diminish	girA_xe/kama_kara/mahawva_kama_kara_xe/kama_ho/
diminutive	awi_CotA/laGu_saMjFA/
dim	XuMXalA/XuMXalA_ho/
din	Soragula/Soragula_kara/
dip	dUba_jA/kama_ho/dubakI/DAlU_ho/sarasarI_najZara_dAlane/meM/meM_hAWa_dAla/sarasarI_najZara_dAla/pEsA_nikAla/dubAva/dubA/dUba/
direction	nirxeSana/rAswA/xiSA/
directly	ke_TIka_Upara/TIka/wuraMwa/SIGra_hI/prawyakRa-rUpa_se/sIXA/
director	nirxeSaka/nixeSaka/
direct	sIXA/unmuKa/AkarRiwa_kara/lakRiwa_kara/prawyakRa/dAlawe_jA/nixeSiwa/xiRta_kara/nirxeSiwa_kara/paWa_xiKA/
disability	vikalAMgawA/ayogyawA/
disable	vikalAMga_ho/apAhija_kara/niRkriya_kara/
disagree	prawikUla_ho/asahamawa_ho/
disallow	raxxa_kara_xe/mAnane_se_inkAra_kara/niReXa_kara/
disappear	Alopa_ho_jA/oJala_ho_jA/gAyaba_ho/
disappoint	niRPala_kara/xila_woda/nirASa_kara/
disarm	SAnwa_kara_xe/niRkriya_kara/niraswra_kara_xe/haWiyAra_CIna_le/
disassemble	Kola/hata/anuvAxa_kara/alaga_kara/
disaster	vipawwi/asaPala_vyakwi/musIbawa/xurGatanA/asaPala_prayAsa/asaPala/saMkata/avyavasWiwa_sWAna/ApaxApUrNa_kRewra/wabAhI/
disastrous	Gora_vinASakArI/xurGatanApUrNa/
disband	woda/viBAjiwa_ho/
disburse	cukA/xe/pEsA_xe/vyaya_kara/
discard	nikAla_xe/CodZa/wyAga_xe/PeMka_xe/uwAra_xe/
discharge	barI_kara_xe/nikala/xAga_xe/BugawAna_kara/CuttI_xe/nikAla_xe/mila/nirvahana_kara/BugawAna/nikAla/pAlana/niBAnA/rihAI/barKAswagI/uwAra/pravAha/Katma_kara/
discipline	anuSAsiwa_kara/anuSAsana/
disclose	spaRta_kara/KulAsA_kara/bawA/
discontent	asanwuRta_kara/asanwuRta/asanwuRta_ho/asaMwoRa_ke_kAraNa/asaMwoRa/
discontinue	jZArI_nahIM_raha/banxa_kara/jZArI_na_raKa/
discount	KArija_kara/CUta_xe/CUta/
discourse	pravacana/pravacana_xe/
discover	DUzDZa_le/pawA_cala/pA/Koja_kara/pawA_laga/
discredit	baxanAmI/baxanAma_kara/sanxeha_kara/
discreet	samaJaxAra/pqWaka/sawarka/
disc	cakra/diska/
discussion	vivaraNa/vicAra_vimarSa/carcA/
discuss	vicAra-vimarSa_kara/carcA_kara/
disdain	avahelanA/avahelanA_kara/iMkAra_kara_xe/wiraskArapUrvaka/
disengage	Coda/alaga_kara/alaga_ho/
disentangle	alaga_kara/nikAla/sulaJA/
disfavour	napasanxagI/aruci_prakata_kara/
disfigure	virUpiwa_kara/kurUpa_ho/KarAba_ho/
disgorge	pahuzcA/Coda/
disgrace	Sarma_kI_bAwa/kalaMkiwa_kara/lajjiwa_kara/kalaMka/apamAna_kara/
disguise	CipA/veSa_parivarwana_kara/CaxmaveSa/BeRa/BeRa_baxala/
disgust	GqNA/GqNA_kara/gussA/
dishevel	biKare_bAloM_vAlA/aswa_vyaswa_kara_xe/
dishonour	apamAna/apamAniwa_kara/
dish	burA_BalA_kaha/xe/parosa_xe/WAlI/WAlI_lagA/barwana/vyaMjana/waSwarI/
disintegrate	viBAjiwa_ho/woda/aSakwa_ho/viGatiwa_ho_jA/
dislike	aruci/pasaMxa_na_kara/
dismay	wraswa/nirASa_kara/nirASA/nirASa_ho/
dismember	kAta/katA_huA/viBAjana/viBAjiwa_kara/
dispatch	harA/mAra_dAlA/bahAxurI_ke_kArya/Beja/preRaNa/
dispense	CodZa_xe/viwaraNa_kara/xe/
disperse	wiwara-biwara_ho/wiwara-biwara_kara_xe/xUra_ho/xUra_kara_xe/PElA_xe/wiwara-biwara_ho_jA/
dispirit	uxAsIna/mana_wodZa/
display	praxarSanI/xiKAvA/prakata_kara/lagA/praxarSana/xqSya/xarSA/praxarSiwa_kara/disple/
displease	nArAjZa_kara/aprasanna_kara/
dispose	nipatA/kuCa_karane_kelie_wEyAra/Tika_raKa/
dispute	vivAxa/vivAxa_kara/
disregard	XyAna_mawa_xe/upekRA_kara/XyAna_nahIM_xe/lAparavAhI/anAxara/wiraskAra_kara/
dissent	viroXa/asahamawi/asahamawa_ho/
dissipate	naRta_kara/xUra_ho_jA/xUra_ho/xurvyasanI/xUra_kara/
dissolve	Gola/BaMga_kara/Kawma_ho/galA_xe/baxala_jA/Gula/
distance	xUrI_para/xUrI/xUra_kara/xUra/
distant	alaga/vimuKa/xUra_kA/xUra/
distinction	aMwara/viSiRta/viSiRtawA/viSiRta_XAraka/viSiRta_yogyawA/
distinct	sAmAnya_se_Binna/Binna/spaRta/
distinguish	prasixXa/alaga_kara/Bexa_bawA/viBexa_kara/
distract	XyAna_vicaliwa_kara/XyAna_lagAne_meM_asamraWa/
distribute	bAzta/viwariwa/
distrust	saMxeha_kara/aviSvAsa/aviSvAsa_kara/
disturbed	aSAMwa/vikRubXa/vyAkula/
disturb	pareSAna_ho/BaMga_kara/cinwiwa_kara/CedZa/viGna_dAla/
ditto	vahI/sammawa_ho/
diverge	alaga_alaga_kara/alaga_alaga_ho/
divert	manoraMjana_kara/moda/
divest	CIna_le/uwAra/mukwa_kara/nipatArA_kara/
dive	dubakI/CalAMga/hAWa_dAla/lapaka/gira_jA/cale_jA/dubakI_mAra/
divide	BAga_xe/bAzta_xe/alaga_kara/BAga_kara/bAzta/
divine	ISvarIya/BaviRyavANI_kara/xivya/
division	mawaBexa/viBAjana/sImA/BAgaPala/viBAga/
divorce	pArWakya/alaga_kara/walAka_xe/walAka/walAka_xe_xe/
dock	kataGarA/kAta_le/banxaragAha/GAta_meM_KadZA_kara/GAta/
document	liKiwa_pramANa_xe/praswawa_kara/pramANa_praswuwa_kara/xaswAveja/liKa/
dodge	Cipa_jA/tAla_xe/baca/hata_jA/cakamA_xe/cakamA/
dog	haTI/kuwwA/pICe_laga/
dole	xAna/bAzta/
domain	kAryakRewra/kRewra/
domestic	GarelU/cAkara/
dominant	muKya/pramuKa/prabala/
dominate	muKya_Kabara_ho/se_UzcA_uTA_ho/CA_jA/CAyA_raha/wAnASAhI_kara/xabAva_dAla/
donate	xAna_kara/praxAna_kara/
don	mahASaya/pahana/doYna/
doom	barabAxa_ho/aBiSapwa_kara/BAgya/barabAxa_kara_xe/vinASa/
dope	mUrKa_vyakwi/jAnakArI/naSIlI_xavA_milA/mUrKa/naSIlI_xavA/naSIlI_xavA_KilA/acCA/
dose	KurAka/ORaXi_xe/ORaXi_le/
dote	awiSaya_prema_kara/behaxa_pyAra_kara/
dot	sahI_samaya/TIka/binxu/binxu_se_cihniwa_kara/
do	samApwa_kara/mAra_xe/XoKA_xe/naRta_kara/GarelU_kAma_kara/hawyA_kara/sajAnA_yA_sAPa_kara/ASriwa_na_ho/kAma_ke_yogya_ho/Waka_jA/kara/banA/kyA/
double	xoharA_ho_jA/hissA_le/xuganA_kara/xoharA/xuganA_ho/xogunA/xuganA/
doubt	saMxeha/saMxeha_kara/
dough	pEsA/sanA_huA_AtA/
dour	kaTora/gaMBIra/nIrasa/
douse	buJA/Bigo/
dovetail	cUla/cUla_banA/
dove	sIXA/kabUwarI/paviwra_AwmA/
downstairs	nicalI_maMjila/
down	nIce/rovAz/ke_nIce/nIce_uwAra/kama_kara/nIce_kA/uxAsa/KarAba/nIce_kI_ora/nIce_girA/kama/para/
downwards	kama/
dozen	xarjana/
doze	UzGa/
draft	wEnAwa_kara/xala/drAPta/prArUpa_wEyAra_kara/prArUpa/BarwI_ho/JoMkA/tukadI/GUzta/
drag	GasIta/uTA/kaSa/swrI_kI_poSAka/purURa_kI_poSAka/le_jA/nikAla/jArI/kAztA_dAla_kara_DUzDa/xera_waka_jArI_raha/KIMca/rUkAvata/
drain	CAna_le/bahA_xe/nikAla_xe/WakA_xe/sUKa/nikAla/KAlI_kara/udZa_jA/vyaya/Kawma_kara_xe/vyaya_kara_xe/pI_jA/baha_jA/nAlI/
drape	tikA/oDa/Daka/sajA/latakA/lataka/
draught	karRaNa/havA/drAPZta/JoMkA/pIpA/GUzta/
drawl	gunagunAwe_hue_bola/gunagunAwe_hue_XIre_bola/
draw	pAsa_A/nikAla/kuCa_BI_kara/pahana/KIMca_nikAla/bEMka_se_pEsA_nikAla/le_jA/saMkoca_Kawma_kara/lambA_kara/rUka/banA/pAsa_lA/KadZA_kara/KAkA_wEyAra_kara/pICe_hata_jA/jAnakArI_xe/SAmila_kara/A/samIpa_A/barAbarI_kara/uwpanna_kara_xe/kara/jA/KIMca/ciwrakArI/droY/BIdZa_ko_ekawriwa_karane_hewu_kArya/lAtarI/barAbara_ho_jA/barAbara_kara/Kela_meM_barAbara_kara/mila/le/Ahariwa_kara/
dread	Baya/se_dara/
dream	kalpanA_kara/svapna/svapna_xeKa/
drench	sarAbora_kara/rama_jA/sarAbora_ho/
dresser	dresara/lakadI_kI_almArI/
dress	sajanA-Xaja/ABURiwa/sajA_ho/pattI_bAzXa/sAPa_kara/baDZA_caDZA_kara_kaha/sajA/kapadZA_pahananA/veSa_meM/meM/libAsa/kapadZe_pahana/
dribble	tapakana/tapakanA_yA_tapakA/
drift	aBiprAya_yA_arWa/baha_jA/rUJAna/Bataka/XIre-XIre_nikala_jA/bOCAra/girAvata/bahAva/
drill	baramA/Cexa_kara/kasarawa/aByAsa/kavAyaxa/bo/kavAyaxa_karA/kavAyaxa_kara/viXi/kaha/praSikRaNa_xe/aByAsa_karA/aByAsa_kara/siKA/
drink	pInA/grahaNa_kara/kAmanA_kara/peya_paxArWa/pI/Kawma_kara/pIkara_udZA_xe/SarAba_pI/
drip	bahuwa_gIlA/mAMsarasa/tapakana/tapakanA_yA_tapakA/
drive	prabala_preraNA/le_jA/BAga/nikAla/Xakela_xe/gira/majabUra_kara_xe/kara/jA/CodZa/ToMka/calA/sEra/cale_jA/gAdI_calA/aBiyAna/vAhana_calA/drAiviMga/SAta/kAma_vAsanA/sadZaka/jora_se_hita_kara/baDA/
drizzle	bUMxA_bAMxI/bUMxA_bAMxI_ho/
drone	AvAjZa/AvAjZa_kara/
drop	CUta_jA/yUz_hI_bina_bulAe_kisI_se_milane_cale_jA/akasmAwa_A_tapaka/CodZa_xe/GatanA_yA_Gata_jA/so_jA/kisI_ko_se_kahIM_CodZa/acAnaka_ho_jA/liKa_xe/saMkewa_xe/janma_xe/girA/manxa_ho/kama_kara/raPA-xaPA_kara_xe/KulA_raha_jA/nikAla_xe/Coda/anwara/gaharAI/girAvata/giranA/gira/bUzxa/
drown	dubAkara_mAra_xe/dUba/jalamagna_ho/BulA_xe/xabA/xabA_xe/
drub	TukAI/Toka/
drug	draga/xavA_milA/behoSI_kI_xavA_xe/SOka/xavA/xavA_xe/
drum	punarUkwi_xvArA_praBAva_dAla/Dola/Dola_bajA/bajA/ikatTA_kara/
drunk	mawwa/mawwa_vyakwi/
dry	suKA/pUrI_waraha_se_suKA/sUKa_jA/BUla_jA/rUKA/PIkA/nIrasa/pyAsA/poMCa/sUKA/sUKa/
dub	daba/upAXi_xe/
duck	SUnya/JukA/tAla/Xakela/Cipa_jA/Cipa/bawaKa/Juka/
duel	xvaMxa_yuxXa/xvaMxa_yuxXa_kara/
due	ke_kAraNa/xeya/ummIxa/yogya/prawIkRiwa/sIXe/bAkI/upayukwa/
dull	suswa/suswa_kara/
dumb	hakkA-bakkA_raha/baharA/mOna/niruwwara_kara_xe/
dump	Dera/pataka/
dun	XuMXalA/wakAjZA_karane_vAlA/wakAjZA_kara/
dupe	BolA/Taga/
duplicate	prawi/prawilipi/prawilipi_banA/samarUpa/
dust	XUla_JAdZa/XUla/CidZaka_xe/cUrA/
duty	kara/karwwavya/kAma/karwwavyabaxXa/kArya/
dwell	bahuwa_samaya_waka_socanA_aWavA_bola/nivAsa_kara/para_vicAra_kara/
dwindle	kRIyamAna/kRINa_ho_jA/
dyeing	raMganA/raMgane_vAlA/
dye	raMga/raMgane/
dynamic	parivarwanaSIla/gawiSIla/
each	hara/hara_eka/prawyeka/
early	pahale_kA/isase_pahale/SurU_SurU_meM/SurU_meM/jalxI/prAramBika/AramBa_meM/AramBika/prAcIna_kAla/bahuwa_jalxI/Axi_kAla/Word_mng/Axya/SIGra/piCalA/
earnest	wawpara/pUrva_sUcanA/
earth	pqWvI/BUsamparkiwa_kara/mittI/bila/
ear	paraKa/bAlI/kAna/
ease	ArAma/ArAma_xe/kama_ho_jA/kama_kara_xe/DIlA_CodZa_xe/DIlA_kara_xe/uwAra_xe/
east	pUrvI/pUrva/
eat	wabAha_kara/KAnA_KA/Kawma_kara/pI_jA/iswemAla_ho/bahAra_KA/KA/
ebb	BAtA/baha_jA/
ebony	AbanUsa_kA/AbanUsa/
echo	prawiXvani/prawiXvaniwa_ho/prawiXvani_kara/
eclipse	grahaNa/grahaNa_lagA/
economic	arWaSAswrIya/
eddy	BaMvara/cakkara_KA/
edge	XAra/kinArA/kagAra/WodZA_Age/wIkRNawA/lagA_ho/Kisaka/kinArA_lagA/Cora/baDZawa_hAsila/baDawa/wIvrawA/
editorial	sampAxakIya/sampAxakIya_leKa/
educate	SikRiwa/SikRA_praxAna_kara/
eerie	dara/darAvanI/
effective	praBAvI/lAgU/praBAvaSalI/
effect	pariNAma/ASaya/praBAva/pUrA_kara/
efficiency	xakRawA/kuSalawA/
efficient	praBAvaSAlI/sakRama/
effort	koSiSa/yogaxAna/prayAsa/
egg	uwwejiwa_kara/aNdA/
eighteen	aTAraha/
eight	ATa/
eighty	assI/
either	yA_wo/koI_BI_ek/koI_BI/koI_sA_BI/kisI_BI/xono/BI/
eject	bAhara_nikAla/nikAla/balapUrvaka_bAhara_kara/PeMka_xe/balapUrvaka_bAhara_ho/bAhara_uwsarjiwa_ho/
eke	vqxXi_kara/KIMca_le/
elaborate	vyApaka/viswAra_kara/
elastic	lacIlA/ilAstika/
elate	praPulliwa_kara/praPulliwa_ho/
elder	jyeRTa/bujZurga/
electric	romAncaka/romAncakArI/vixyuwa/bijalI_kA/
electrify	joSa_Bara_xe/vixyuwIkaraNa_kara/
elect	nirvAcana_kara/cuna/nirvAciwa/nirvAciwa_manuRya/
elegant	sahaja/acCA/sudOla/sunxara/
elevate	uccaswarIya/UcAz_uTA/paxavqxXi_kara/UzcA_kara/uTA/warakkI/UzcAI/vikAsa_kara/baDA/
elevation	unnawi/UzcAI/
eleven	gyAraha/
eligible	yogya/
eliminate	nikAla_xe/harA_xe/Kawma_kara/raxxa_kara/
elongate	baDA/baDa/
eloquent	vAkpatu/vAgmiwApUrNa/BAvapUrNa/
elude	samaJa_nahIM_A/mila_nahIM_pA/bacakara_nikala/baca/
embark	AraMBa_kara/caDZA/kAma_meM_lagA/caDZa/
embody	praswuwa_kara/xiKA/sammiliwa_kara/
embrace	svIkAra_kara/AliMgana/AliMgana_kara/
embroider	kaDAI_kara/alaMkqwa_kara/kADa/
embroil	ulaJA/ulaJa/
emerge	vikasiwa_ho/uBara_kara_A/nikala/prakata_ho/
eminence	UzcAI/prawiRTA/
emotional	BAvuka/gaMBIra/BAvuka_rUpa_se/BAvanAwmaka/
emphasis	mahawva/jora/
employ	niyukwa_kara/upayoga_kara/niyokZwA/lagA/laga/kAma_para_lagA/nOkarI_xe/nOkarI/rojagAra/
empower	aXikAra_xe/saSakwa_banA/
empty	KAlI/KAlI_kara/KAlI_ho/jA_gira/KAlI_kara_xe/dAla/nirarWaka/KoKalA/
enable	sakriya_hE/samarWa_ho/sakriya_kara/samarWa/sakRama_banA/
enact	lAgU_kara/KelA/banA/
enamel	mInAkArI/mInAkArI_kara/xaMwavalka/
encircle	GirA_ho/GerA/
enclose	Beja/Gera/paribaxXa_kara/bAda_lagAkara_Gera/Gere_ho/Gera_le/saMlagna_kara/baMxa_kara/
encompass	sammiliwa_kara/Gera/
encore	Pira_xuharAne_kA_kahAva/xuharAne_ke_liye_kaha/
encounter	mukAbalA/sAmanA/mulAkAwa/sAmanA_kara/mila/paDA_ho/samAgama/muTaBedZa/ladZAI/sAmanA_ho/
encouragement	/prowsAhiwa_hokara/prowsAhana/
encourage	prowsAhiwa_kara/baDZAvA_xe/baDZA/prowsAhiwa_ho/uwsAhiwa_hokara/uwsAhiwa_kara/
encroach	meM_anAXikAra_praveSa_kara_le/naRta_kara/CIna/meM_viGna_dAla/awikramaNa_kara/
endear	priya_ba/priya_bana/
endorse	vijFApana_kara/samarWana_kara/
endow	praxAna_kara/saMpanna_kara/xe/xAna_xe/
end	pUrA_ho/xUsarA_Cora/samApwa_ho/sirA/mqwyu/uxxeSya/anwa/samApwa_kara/Cora/
endure	sahana_kara/raha/
enervate	Wake_hue/WakA/
enfold	Bara_le/Cipa/Daka_le/
engage	ramaNIya/sagAI_ho/niyukwa_kara/vyaswa_raKa/lagA/vyaswa/saMlagna_ho/vyaswa_ho/
engaging	ramaNIya/AkarRaka/
engineer	aBiyAMwrikI/iMjIniyara/
english	aMgrejZI/
engrave	uwkIrNa_kara/Capa/XAwu-lakadZI_Axi_para_ciwra_Koxane_kI_vixyA/Koxa/
engulf	umada_pada/CA_jA/Daka_jA/GirA/A/nimagna_kara/
enjoin	roka_lagA/AxeSa_xe/
enjoy	majA_A/majZA_kara/suKa_le/acCA_laga/Ananxa_uTA/raha/
enlarge	apavqxXi_kara/baDA/badA_kara/
enlist	BarwI_ho/BarwI_kara/raKa/prApwa_kara/sUcI_banA/raKA_jA/
enormity	mahAnawA/awyAcAra/hakIkawa/mahApApa/viSAlawA/
enormous	bahuwa_badA/bahuwa_aXika/awyaXika_wIvra/viSAla/
enough	paryApwa/kAPI/bilkula/
enquire	kI_jAzca_kara/pUCa_wACa_kara/pUCa/
enquiry	jAzca/pUCawACa/
enrich	XanvAna_ho_jA/upajAU_banA/samqxXa_ho/sugama_banA_xe/
ensnare	pakada_le/bahakA/ulaJa/PazsA/PMxe_meM_PazsA/
ensure	surakRiwa_kara_le/niScaya_karA_xe/pakkA_kara_xe/suniSciwa_kara/
entail	apekRA_karanA/AvaSyaka_banA_xe/
entangle	ulaJana/ulaJA/
entertain	sawkAra_kara/svIkAra_kara/raKa/bulA/manoraMjana_kara/
enter	BAga_le/SurUAwa_kara/praveSa_kara/praviRta_kara/praveSa_karawe_samaya/xarja_ho/sammiliwa_kara/dAla/aMkiwa_kara/xAKila_ho/kAryaBAra_grahaNa_kara/SurU_kara/xarja_kara/Samila_ho/
entitle	SIrRaka_xe/SIrRaka/hakaxAra/aXikAra_xe/
entity	sawwA/sawva/vaswu/wawwva/
entrance	xvAra/mohiwa_ho/praveSaxvAra/sammohiwa_kara/praveSa/
entrust	sazBAla/sOMpa_xe/
environment	paryAvaraNa/pariveSa/vAwAvaraNa/
envy	IrRyA/IrRyA_kara/IrRyA_kA_pAwra/
epic	Bavya/mahAkAvya/
epoch	yuga/kAla/
equally	uwanA_hI/samAna_rUpa_se/
equal	barAbara/samAna/
equate	barAbara_liKa/barAbara_mAna/
equip	xe/wEyAra_kara/lEsa/susajjiwa_kara/
equivalently	samAna_rUpa_se/xUsre_Sabxo_meM/samawulya/
equivalent	barAbara/paryAya/
erect	gAdZa/KadA_kara/sIXA/sIXA_KadA/banA/
erode	kama_ho_jA/kata/naRta_kara_xe/
error	galawI/wruti/
erupt	PUta_pada/nikala_A/jora_se_cillA/Pata/
escape	nikala_jA/baca_jA/baca/nikala_BAga/bacA/BAga_jA/CutakArA/nikala/
escort	rakRaka_xala/nigarAnI/saMrakRaNa_meM_le_jA/rakRA_kara/rakRaka/pahare_ke_sAWa_jA/
essay	prayAsa/nibaMXa/prayawna_kara/
essentially	vAswava_meM/AvaSyaka_rUpa_se/wawwvawaH/
establishment	sWApanA/prawiRTAna/
establish	prasWApiwa_kara/jamA_le/banA_xe/pramANiwa_kara/pawA_lagA/sWApiwa_kara/
esteem	samaJa/mAna/sammAniwa_kara/sammAna_xe/Axara/sammAna_kara/
estimate	anumAna/aMxAjZa_lagA/Akalana_kara/
estrange	alaga_raha_rahe/alaga_kara_xe/
etch	nakkASI/sAPa_Jalaka/uwkIrNa_kara/
ethics	nIwiSAswra/nEwikawA/
evacuate	hatA/le_jA/KAlI_kara_xe/
evade	tAla/samaJa_meM_nahIM_A/baca_nikala/
evasion	apavaMcana/bahAnA/
event	prawiyogiwA/GatanA/kAryakrama/
even	SAma/barAbara_kara/barAbara_ho/Ora/wo_BI/yaxyapi/BI/samawala/yahAz_waka_ki/sama/
evergreen	saxA_bahAra/
everybody	prawyeka_vyakwi/
everything	saba/saba-kuCa/
evict	bexaKala_kara/bexaKala_karana/
evidence	spaRta/pramANa/saMkewa/spaRta_kara/sAkRya/
evident	spaRta/
evil	buRA/burA/burAI/
evolve	vikAsa_kara/vikAsa_ho/
exactly	bilkula_vEse_hI/jEsA_hI/TIka/bilkula_vahI/yaWArWawaH/bilkula/vAswava_meM/barAbara/
exact	TIka/balapUrvaka_le/le/mAzga_kara/yaWArWa/TIka_TIka/
exalt	unnawa/praSaMsA_kara/paxa_yA_Sakwi_baDZA/
examine	gOra_se_xeKa/parIkRA_le/parIkRaNa_kara/pawA_lagA/aXyayana_kara/jAzca_padZawAla_kara/jAzca_kara/parIkRA_lene_vAlI_saMsWA/parikRaNa/
except	sirPa/ko_CodZa_kara/CodZa/sivAya_isake_ki/
excessively	aXika/
excess	awirikwa/jarUrawa_se_jyAxA/
exchange	kenxra/vArwAlApa/baxalA/AxAna-praxAna/golAbArI/CAwra-vinimaya/vinimaya/baxala/axalA_baxalA/axalA_baxalA_kara/
excise	rAjyakara/pUrNa_rUpa_se_nikAla/
excitedly	uwsAhiwa_ho_kara/uwwejiwa_ho_kara/
