#iitb entries	iitb
3rd	wIsarA
phenomenon	saMvqwi
pick	cunAva
pineapple	annAnAsa
pious	pAzco
place	sWala
planned	yojanAbaxXa
planning	plAniMga/niyojanA
plant	vqkRa
plantation	bAgAna
please	kqpyA/kqpA_kara
pledge	giravI
plenty	bahuwa_se
polarization	polarAija
policies	nIwiyAM
policy	nIwigawa/poYlisI
polished	poYliSa
politely	namrawA_se
polythene	poYliWina
popular	prasixXa
popularity	lokapriya
population	sanwAna
portability	portebilitI
position	manaHsWiwi
posture	Asana/hAvaBAva
potential	samBAvI
potentially	samBAviwa_rUpa_se
poultry	kukkuta
power	bijalI
powers	SakwiyAM
practically	prAyaH
pre-paid	prI-peda
pre-requisites	pUrva-AvaSyakawA
pre-set	prI-seta
precious	anamola
premium	prImiyama
prerequisite	pUrvAkAfkRiwa
prescribed	nirXAriwa
presentation	praswuwIkaraNa
prevention	niyanwraNa
primarily	pramuKa
primulas	prAimulasa
print	priMta_kara
printed	muxriwa
prioritize	prAWamikawA_kara
priority	prAWamika
private	prAiveta
pro-active	sakriya/awisakriya
problematic	samasyAgraswa
process	kAryapraNAlI
processing	prosesiMga/prasaMsAXana
procrastination	prokrAstineSana
procurement	aXiprApwi
produced	uwpAxiwa
producing	uwpAxaka
product	prodakta
production	uwpAnxana
profit-based	lABa-AXAriwa
profitable	lABapraxa/cAlU/lABArjaka
promises	vAyaxA
promissory	vacana
promotional	saMvarXanAwmaka
proper	saha/upayukwa
property	parisampawwi
proposed	praswAviwa
proprietor	svAmiwva
prostrate	prosteta
protect	saMrakRiwa_ho/surakRA_kara
protesters	praxarSanakAriya
prototype	prototAipa
proud	garva
proverb	kahAvawa
provide	mila
provides	upalabXa_kara/suviXA
psyche	mAnasa
psycho-social	mano-sAmAjika
public	sArvajAnika
publicly	sArvajanika_rUpa
pulp	gUxexAra/lugaxA
pulses	xAla
punch-marked	paFca-cihna
punished	xaNdiwa_kara
punjab	paFjAba
purifying	SuxXikaraNa
purport	wAwparya
purpose	prayojanArWa
qualified	nipuNa
quality	guNavawwApUrNa
quantitative	mAwrAwmaka
quarrel	Jagada
queen	rAjakumArI
query	pUCawACa
question	praSnaH
quick	wvariwa
quickly	jalxI_se
quiet	cupa
quite	sarvaWA
quotation	koteSana
rain	bAriSa_kara
rainfall	bAriSa/awivqRti/varRaNa
raja	rAja
ralph	rAlPa
rapid	wvariwa/wIvra
ras	Araeesa
rating	retiMga
rationally	warkasafgawa_rUpa_se
raw	kaccI
reach	pahuzca_jA
realistic	vAswavika
reason	vajaha
receipt	rasIxa
receivable	prApwama
receive	prApwa_ho
received	prApwa
recently	hAla_hI
recipient	prApwakarwwA
reclamation	riklemeSana
record	rikoYrda_kara
recording	rikoYrdiMga
records	rikoYrda
recreational	manoraFjaka
recruitment	BarwI/safGa/gEra-safGa
recruits	BarwI
recycle	punarcakraNa
red-line	reda-lAina
redemption	mocana
redness	lAlimA
reduced	kama
reeling	rIliMga
reference	rePareMsa
refined	saMSoXiwa_kara
reflective	rePalektiva
refuse	inakAra_kara
regeneration	vana/vikAsa
region-wise	kRewravAra
regional	praxeSa
registered	paFjIkqwa
regulatory	viniyAmaka
related	juda
relating	sambanXiwa
relative	sApekRika
release	rilIja/mukwa_ho
relevant	sambanXiwa
reliable	viSvesanIya
relocation	punarvAsa
remedy	samAXAna
repair	marammawa_kara
repeat	xoharAva
repeatedly	bAra-bAra
reports	riporta
require	AvaSyaka
rescue	rakRA
researchers	anusanXAnakarwA/SoXakarwA
residence	AvAsa
respectability	sammAna
respectful	sammAnajanaka
respective	sambanXiwa/sambaxXa
respiratory	Svasana
responsible	jimmemaxAra/jimmexArI
responsibly	jimmexArI_se
result	PalasvarUpa
resulting	pariNAmasvarUpa
resume	rijyUma
retail	ritela
retailer	ritelara
retire	sevAnivqwwa
return	vivaraNI
returns	vivaraNiyAM
reveal	prakata_ho
revenue	AmaxanI
reward	rivArda/inAma
rich	Xana
risk	safkata
risk-free	KawarA-rahiwa
rodent	rodanta
role-play	rola-ple
romani	romAnI
roof	rUPa
root-up	rUta-apa
ropes	rassA
ropeways	ropaveja
round	rAuNda
rude	asaBya
rupee	rupae
rupees	rupae
rva	AravIe
s	esa.
sa	sa
sac-cid-aananda-vigrahah	saccixAnanxa
sacrifice	yajFa
sage	qRi
saintly	sAXu
sales	selsa
salesperson	selsaparsana
salman	salamAna
salvaged	bacAI_jA
same	sAmAnarUpI/eka_hI
sameer	samIra
sanitary	sEnitarI
satisfaction	sanwuRti
satisfied	sanwuRtaka
satisfy	sanwuRta
saturated	sanwqpwa
scale	laGu
scare	BayaBIwa
scenario	parixqSya
scented	suganXiwa
scheduled	anusUciwa
scholars	aXyewA
screenings	cApaHniyamiwa/jAFca
seals	sIlsa
seat	AsIna
sebi	sebI
second	xUsarI/sekanda
secondly	xUsarI_bAwa
secretly	cupake_se
section	KaNda
secured	jamAnawI
see	XyAna_xe
selected	cuniMxAwa
self-assessment	Awma-mUlyAfkana
self-awareness	Awma-jAgarUkawA
self-doubt	Awma-sanxeha
self-esteem	Awma-sammAna/svABimAna
self-inquiry	AwmaparIkRaNa
self-knowledge	AwmajFAna
self-realization	Awma-sAkRAwkAra
self-regulation	svaviniyamana
self-serving	svayaMsevA
semi-circle	arXa-cakra
semi-private	arXa-nijI
senegalese	sinegalisa
senior	sIniyara
sense	iMxriya/BAvanA
separate	vilaga_kara
separately	alaga-alaga
series	SrqfKalA
seriously	gamBIrawApUrvaka
service	sArvisa
setting	setifga/sWApanA_kara
settlement	nipatAna
several	anekAneka
sharing	SeyariMga
shining	camacamA
shipping	nOvahana
shoot	mAra_xe
shopping	SoYpiMga
short	SoYrta
short-term	alpAvaXika
show	xiKA_raha/praxarSiwa_kara
significant	mahawvapUrNa
signifies	prawIka
silkworm	silkavoYrma
silver	cAnxI
similarly	usI_prakAra/isI_waraha
simply	basa
simulations	simuleSana
simultaneously	sAWa
since	cUfki
sinful	pApAwmA
singareni	sigarEnI
sir	SrImAna
sit	bETa_jA
six	Caha
sketching	skeciMga
skills	skilsa
slang	slEMga
slightly	WodA
slip	saraka_raha
slouch	Juka
slowly	XIre-XIre
small	CotI
smaller	CotI
smart	smArta
smile	hazsa_raha/muskurAhata
smiling	muskurAwI
smooth	sucAru
snapshot	snEpaSoYta
sneakers	snIkarsa
so	awaH/wo/isIlie
social	soSala
soft	narma
soft-hearted	komalahqxaya
software	sAPtaveyara
solely	kevala
solitude	akelepana
solution	javAba
some	kisI
sometimes	kaBI-kaBI
soon	SIGra_hI/jalxa_hI
south-west	xakRiNa-paScima
southeast	xakRiNa-pUrva
southwest	sAuWavesta
spawn	aNdA
speak	uccariwa_ho
specialized	viSeRa
specifically	KAsakara
specified	vinirxiRta/viSiRta
splendidly	SAnaxAra
spoken	spokana
sponsored	prAyojiwa
spoof	XoKA
spread	pahuFcAnA
squeaky	caramarAne
staffer	karmacArI
staffing	stAPiMga
standard	swarIya
started	Suru_kara
state	rAjyaswarIya
statement	stetameMta
station	wEnAwa
statistics	sAfKyikI
statutory	vEXAnika/sAMviXika
steal	curA_le
step	caraNa
steps	caraNa
stick	PaMsa_jA
sticky	stIkI
stiff	kadaka
stimulating	preriwa
stinging	cuBana
stock	stoYaka
stop	ruka_kara
storage	BaNdAra
stqc	esatIkyUsI
strain	jora
strategic	stretIjika/raNanIwika
strategy	kAryanIwi
strengthen	suxqDa
strengthening	majabUwa
strides	vqxXi
student	SiRya
sub-division	sabadivijana
subsequent	anuvarwI
subsidised	sabsidI
substantial	kAPI
successful	saPalawApUrvaka
such	EsI/jEsA/yaha
suddenly	sahasA
sugarcane	gannA
suited	upayukwa
sujata	sujAwA
summarizing	sArAMSIkaraNa
sun	suna
superior	behawara
supervisory	paryavekRaNa
supplier	ApUrwikarwA
support	saporta/sahAyaka/sahayoga
supportive	sahAyaka/sahayogAwmaka
sure	suniSciwa
surely	niSciwa_hI
surety	jamAnawaxAra
surrounded	GirA_ho
survivor	uwwaraxAyI
sustainable	nirvAhya
sword	svoYrda
syndication	siMdIkeSana
systematically	vyavasWiwa_rUpa_se
tactfully	cawurAI
tadasana	wAdAsana
talo-fibular	tEloPibulara
tanks	wAlAba
task	kArya/tAska
taskforce	kAryabala
tat	waw
tata	tAtA
tattva	wawwva
tax	Ayakara
teacher	AcArya/guru
teamwork	tImavarka
tears	aSru
technological	prOxyogikI
technologies	prOxyogikiyAM
technology	tEknoYlajI
telecom	telIkoYma
telecommunication	telIkamyUnikeSana
telemarketing	telImArketiMga
term	vAkya/xIrGAvaXika
terms	Sarwa
tesla	teslA
the	yaha
their	apanI
theistic	Aswika
them	vaha
thematic	WImetika/viRayagawa
then	punaH/Pira
there	vahIM_para
thereafter	paScAwa
therefore	isIlie/awaeva
thermal	wApa
they	vo
think	soca_raha
thinkers	WiMkarsa
thinking	WiMkiMga
third	wIsarI
thirteenth	werahavAM
thorium	Woriyama
thoroughly	acCI_waraha
thousand	hajArA
throw	PeMka_xe
thus	isa_prakAra_se/isIlie/awaH
time-bound	samayabaxXa
time-saving	samaya-bacawa
tip	sirA
tis	wIsa
title	hakaxArI
tools	yanwra
torpedo	wArapIdo
totally	pUrNarUpa_se/pUrI_waraha
touch	samparka
tourist	paryatana
towns	muKyAlaya
trace	Koja_kara
track	trEka_kara
trade	treda
traditionally	paramparAgawa_rUpa
trained	praSikRiwa
training	praSikRaNa
traits	lakRaNa
trans	trAMsa
transaction	lena-xena/lenaxena
transcendental	AXyAwmika/xivya
translation	BAvArWa
transmit	saFcariwa_kara
transportation	parivAhana
travel	gawi
treasury	koRa
tree	vqkRa
trees	vqkRa
trekking	trekiMga
tremendous	jabaraxaswa/bahuwa
trenches	KAiyAM
trends	rUJAna
trial	trAyala
tribal	janajAwi
trolled	trolda
trouble	pareSAna
truly	vAkaI/vAswavikawA_meM
trust	viSvAsa_kara
trustworthy	Barosemanxa
tu	wu
twist	GumA
two	xe
type	waraha
types	prajAwi
typing	tAipiMga
ultimate	parAkARTA
ultimately	AKirakAra/anwawaH
ultra	altrA
unarmed	nihawWA
unauthorized	aprAXikqwa
unclaimed	lAvArisa
uncomfortable	asuviXAjanaka
underground	aNdaragrAuNda
undermine	kamajora
understand	samaJa_raha/samaJa_jA
understandable	avaboXagamya
unfortunately	xurBAgyavaSa
unhappy	nAKuSa/xuKI
unicef	yunisePa
uniform	yUniPoYrma
union	yUniyana
unique	anUTI/anoKI/viralA
unit	BAga/yUnita
unitary	ekAwmaka
united	yUnAiteda
units	yUnita
unjustifiable	anuciwa
unlawful	gEra-kAnUnI
unnecessarily	anAvaSyaka_rUpa
unpredictable	aprawyASiwa
unravelling	sulaJAnA
unscrupulous	beImAna
unsecured	aprawiBUwa
unseen	anaxeKI
unselfish	nisvArWa
until	wAki
untrustworthy	aviSvasanIya
unwilling	vimuKa
updates	apadeta
upper	UparI
upsc-union	yUpIesasI-safGa
uranium-plutonium	yUreniyama-plUtoniyama
urgently	wawkAla
useful	yUjaPula
user	prayokwA/sevA/upayogakarwA
ushtrasana	uRtrAsana
usually	AmawOra_para/aksara/sAXAraNawaH
utilised	prayukwa/upayoga
utility	yUtilitI
utilization	upayogiwA
utilize	upayoga
utkatasana	uwkatAsana
values	vElyUja
valves	vAlvsa
varied	viviXa
various	kaI/viBinn
vast	anekAneka/vyApaka
vegetables	sabjiyAM
vein	nasa
vendor-consumer	vikrewA-upaBokwA
verify	veriPAI/veriPAI_kara
vickey	vikI
victory	jaya/jIwa
visakhapatnam	viSAKApattanama
vision	xqRtikoNa
visitors	vijitarsa
visualization	vijualAijeSana
visually	xqRtigawa_rupa_se
vital	mahawvapUrNa
viz.	vyafkwi
vocational	vokeSanala
void	amAnya
vrikshasana	vqkRAsana
vulnerable	awi-saMvexanaSIla
wait	iMwajAra_kara
wanted	vANteda
warehouse	BaNdArAgAra
warehouses	BaNdArAgAra
warranty	vAraNtI
waste	barbAxa
water	vAtara/pA
watershed	vAtaraSeda
way	viXi
weaknesses	kamajoriyoM
weaning	vIniMga
weaponless	haWiyArahiwa
website	vebasAita
well	suvikasiwa
well-defined	supariBARiwa
well-known	prasixXa
were	hE/WA
what	kOna-sI
whenever	jaba_BI
whereby	jo
wherein	jo
while	jabaki
who	jina
whole	sArA/sampUrNa
whom	kOna
whose	jo
why	kya
widely	vyApaka_rUpa
wild	jafgalA
win	jIwa_le
winsome	manamohaka
wipes	vAIpsa
wisely	buxXimAnI_se
woke	jAga_jA
wont	nahIM
workforce	kAryabala
working	kAmakAjI/kAryacAlana/kAryaSIla
worksheet	kAryapawraka
worldwide	xuniyA_Bara_meM
worms	kIta
worthier	yogya
writing	liKiwa
yam	yama
year	varRIya
yes	jI
yet	aBI_waka
young	CotI
your	wU
