#Structure_of_the_file:
#English-compound-word	Hindi-meaning	Hindi-paxasUwra	category	Head_position	Root/Word-meaning(meaning-type)
,_in_short_,	saMkRipwa_meM#saMkRipwa_meM#noun#4#RM
base_band_channel	AXAra_pattI_praNAla#AXAra_pattI_praNAla#noun#3#RM
base_band_local_area_network	AXAra_bEMda_sWAnika_netavarka#AXAra_bEMda_sWAnika_netavarka#noun#5#RM
base_coin	KotA_sikkA#KotA_sikkA#noun#2#RM
base_engineer_officer	besa_iMjIniyara_aPZasara#besa_iMjIniyara_aPZasara#noun#3#RM
base_fabrics	AXAra_kapadZA_AXAra_pata#AXAra_kapadZA_AXAra_pata#noun#2#RM
base_level	AXAra_swara#AXAra_swara#noun#2#RM
base_level_societies	mUla_swara_kI_samiwiyoYM#mUla_swara_kI_samiwiyoYM#noun#3#RM
base_metal	hIna_aotI_XAwu#hIna_aotI_XAwu#noun#2#RM
base_notation	AXAra_saMkewana#AXAra_saMkewana#noun#2#RM
base_number	AXAra_saMKyA#AXAra_saMKyA#noun#2#RM
base_office	anuRaMgI_kAryAlaya#anuRaMgI_kAryAlaya#noun#2#RM
base_on_balls	golAXAra#golAXAra#noun#3#RM
base_period	AXAra_aUla_avaXi#AXAra_aUla_avaXi#noun#2#RM
base_price	AXAra_kImawa#AXAra_kImawa#noun#2#RM
base_rate	mUla_xara#mUla_xara#noun#2#RM
base_register	AXAra_rajistara#AXAra_rajistara#noun#2#RM
base_runner	mUla_XAvaka#mUla_XAvaka#noun#2#RM
base_station	AXAra_steSana#AXAra_steSana#noun#2#RM
base_storage_allocation	AXAra_BaMdAraNa_niyawana#AXAra_BaMdAraNa_niyawana#noun#3#RM
base_surplus	mUla_aXiSeRa#mUla_aXiSeRa#noun#2#RM
base_table	AXAra_sAraNI#AXAra_sAraNI#noun#2#RM
base_victualling_officer	besa_vitaliMga_aPZasara#besa_vitaliMga_aPZasara#noun#3#RM
base_volume	mUla_KaMda#mUla_KaMda#noun#2#RM
base_year	AXAra_varRa#AXAra_varRa#noun#2#RM
baseball_bat	besaboYla_kA_ballA#besaboYla_kA_ballA#noun#2#RM
baseball_cap	besabAla_topI#besabAla_topI#noun#2#RM
baseball_card	besabAla_kArda#besabAla_kArda#noun#2#RM
baseball_clinic	besabAla_kA_cikiwsAlaya#besabAla_kA_cikiwsAlaya#noun#2#RM
baseball_coach	besabAla_SikRaka#besabAla_SikRaka#noun#2#RM
baseball_game	besabAla_Kela#besabAla_Kela#noun#2#RM
baseball_swing	besa_boYla_meM,_JukI_huI_boYla_ko_mArane_kA_prayAsa#besa_boYla_meM,_JukI_huI_boYla_ko_mArane_kA_prayAsa#noun#2#RM
baseband_transmission	AXAra_bEMda_saMpreRaNa#AXAra_bEMda_saMpreRaNa#noun#2#RM
based_on	para_AXAriwa#para_AXAriwa#noun#2#RM
basic_access	AXAra_aBigama#AXAra_aBigama#noun#2#RM
basic_access_method	AXArI_aBigama_viXi#AXArI_aBigama_viXi#noun#3#RM
basic_assumption_recovery	mUla_kalpanAeM_purnaprApwi#mUla_kalpanAeM_purnaprApwi#noun#3#RM
basic_binary_loader	mUla_xvi_AXArI_BAraka#mUla_xvi_AXArI_BAraka#noun#3#RM
basic_control	AXAra_niyaMwraNa#AXAra_niyaMwraNa#noun#2#RM
basic_cost	mUla_lAgawa#mUla_lAgawa#noun#2#RM
basic_direct_access_method	AXArI_prawyakRa_aBigama_viXi#AXArI_prawyakRa_aBigama_viXi#noun#4#RM
basic_duty	buniyAxI_Sulka#buniyAxI_Sulka#noun#2#RM
basic_education	buniyAxI_SikRA#buniyAxI_SikRA#noun#2#RM
basic_education_officer	buniyAxI_SikRA_aXikArI#buniyAxI_SikRA_aXikArI#noun#3#RM
basic_fact	mUla_waWya#mUla_waWya#noun#2#RM
basic_file_directory	AXAra_PAIla_nirxeSikA#AXAra_PAIla_nirxeSikA#noun#3#RM
basic_file_system	AXAra_PAIla_waMwra#AXAra_PAIla_waMwra#noun#3#RM
basic_industrial_chemicals	mUla_Oxyogika_rasAyana#mUla_Oxyogika_rasAyana#noun#3#RM
basic_industries	mUla_uxyoga#mUla_uxyoga#noun#2#RM
basic_industry	mUla_uxyoga#mUla_uxyoga#noun#2#RM
basic_input	AXArI_niveSa#AXArI_niveSa#noun#2#RM
basic_instruction	AXAraBUwa_anuxeSa#AXAraBUwa_anuxeSa#noun#2#RM
basic_level	AXAra_swara#AXAra_swara#noun#2#RM
basic_linkage	AXArI_sahalagnawA#AXArI_sahalagnawA#noun#2#RM
basic_looping	AXArI_pASana#AXArI_pASana#noun#2#RM
basic_output	AXArI_nirgama#AXArI_nirgama#noun#2#RM
basic_pay	mUla-vewana#mUla-vewana#noun#2#RM
basic_period	mUla_avaXi#mUla_avaXi#noun#2#RM
basic_real_constant	AXAraBUwa_vAswavika_acara#AXAraBUwa_vAswavika_acara#noun#3#RM
basic_scale_of_pay	AXAra_vewanamAna#AXAra_vewanamAna#noun#2#RM
basic_sequential_access_method	AXAraBUwa_anukramI_aBigama#AXAraBUwa_anukramI_aBigama#noun#4#RM
basic_step	mUla_caraNa#mUla_caraNa#noun#2#RM
basic_training	buniyAxI_praSikRaNa#buniyAxI_praSikRaNa#noun#2#RM
basic_value	AXAra_mUlya#AXAra_mUlya#noun#2#RM
basic_work_week	mUla_kArya_sapwAha#mUla_kArya_sapwAha#noun#3#RM
basil_balm	wulasI_kA_malahama#wulasI_kA_malahama#noun#2#RM
basing_up	WAlA_banAnA#WAlA_banAnA#noun#2#RM
basis_of_estimate	prAkkalana_AXAra#prAkkalana_AXAra#noun#1#RM
basket_of_currencies	viviXa_muxrA_samUha#viviXa_muxrA_samUha#noun#1#RM
basket_system_of_valuation	mUlya_nirXAraNa_kI_viviXa_muxrA_samUha_praprAlI#mUlya_nirXAraNa_kI_viviXa_muxrA_samUha_praprAlI#noun#2#RM
basketball_backboard	bAsketabAla_pqRTaBUmi#bAsketabAla_pqRTaBUmi#noun#2#RM
basketball_clinic	bAsketabAla_kA_cikiwsAlaya#bAsketabAla_kA_cikiwsAlaya#noun#2#RM
basketball_coach	bAsketabAla_SikRaka#bAsketabAla_SikRaka#noun#2#RM
basketball_team	boYsketaboYla_xala#boYsketaboYla_xala#noun#2#RM
bass_clarinet	manxra_suRira_vAxya#manxra_suRira_vAxya#noun#2#RM
bass_drum	manxa_svara_kA_Dola#manxa_svara_kA_Dola#noun#2#RM
batch_costing	KepalAgawa_Akalana#KepalAgawa_Akalana#noun#2#RM
batch_file	bEca_PAIla#bEca_PAIla#noun#2#RM
batch_operating_system	bEca_pracAlana_waMwra#bEca_pracAlana_waMwra#noun#3#RM
batch_partition	bEca_viBAjana#bEca_viBAjana#noun#2#RM
batch_position	bEca_sWiwi#bEca_sWiwi#noun#2#RM
batch_processing	samUha_aiBasaMskaraNa_aaMsAXana#samUha_aiBasaMskaraNa_aaMsAXana#noun#2#RM
batch_region	bEca_kRewra#bEca_kRewra#noun#2#RM
batch_session	bEca_sawra#bEca_sawra#noun#2#RM
batch_system	bEca_waMwra#bEca_waMwra#noun#2#RM
batch_terminal	bEca_tarminala#bEca_tarminala#noun#2#RM
batch_total	samUha_yoga_aodZa#samUha_yoga_aodZa#noun#2#RM
batched_communication	samUha_saMcAra#samUha_saMcAra#noun#2#RM
batched_job	pracayiwa_kArya#pracayiwa_kArya#noun#2#RM
bath_chair	nahAne_kI_kursI#nahAne_kI_kursI#noun#2#RM
bath_towel	nahAne_kA_wOliyA#nahAne_kA_wOliyA#noun#2#RM
bathing_cap	nahAne_kI_topI#nahAne_kI_topI#noun#2#RM
bathing_suit	^nahAne_kA_sUta#^nahAne_kA_sUta#noun#2#RM
bathroom_cleaner	gZusalaKZAnA_sAPZa_karane_vAlA#gZusalaKZAnA_sAPZa_karane_vAlA#noun#2#RM
bathtub_gin	snAna-kuNda_jina#snAna-kuNda_jina#noun#2#RM
baton_rouge	kufkumI_CadZI^lipastika#kufkumI_CadZI^lipastika#noun#2#RM
baton_round	nakalI_kArawUsa#nakalI_kArawUsa#noun#2#RM
battalion_commander	batAliyana_kamAMdara#batAliyana_kamAMdara#noun#2#RM
batter's_box	Ate_kA_dibbA#Ate_kA_dibbA#noun#2#RM
battering_ram	yuxXarawa_BeMdZA#yuxXarawa_BeMdZA#noun#2#RM
battery_attendant	bEtarI_paricara#bEtarI_paricara#noun#2#RM
battery_charging_technician	bEtarI_cArjakArI_wakanIkavix#bEtarI_cArjakArI_wakanIkavix#noun#3#RM
battery_gunner	bEtarI_wopacI#bEtarI_wopacI#noun#2#RM
batting_average	ballebAjZI_kA_Osawa#ballebAjZI_kA_Osawa#noun#2#RM
batting_cage	wahabaMxa_rUI_kA_piMjarA#wahabaMxa_rUI_kA_piMjarA#noun#2#RM
batting_coach	ballebAjZa_kA_SikRaka#ballebAjZa_kA_SikRaka#noun#2#RM
battle_cruiser	eka_bafA_yuxXa_powa#eka_bafA_yuxXa_powa#noun#2#RM
battle_cry	yuxXa_kA_nArA#yuxXa_kA_nArA#noun#2#RM
battle_dress	yuxXa_kI_poSAka#yuxXa_kI_poSAka#noun#2#RM
battle_flag	yuxXa_kA_JaNdA#yuxXa_kA_JaNdA#noun#2#RM
battle_line	yuxXa_reKA#yuxXa_reKA#noun#2#RM
battle_royal	BayAnaka_yuxXa#BayAnaka_yuxXa#noun#2#RM
baud_rate	boYda_xara#boYda_xara#noun#2#RM
baudot_supervisor	boxo_paryavekRaka#boxo_paryavekRaka#noun#2#RM
bazar_bill_rate	bAjZAra_bila_xara#bAjZAra_bila_xara#noun#3#RM
bazar_inspector	bAjZAra_nirIkRaka#bAjZAra_nirIkRaka#noun#2#RM
bcd_adder	bIsIdI_yojaka#bIsIdI_yojaka#noun#2#RM
be_found_wanting	aBAva_honA#aBAva_honA#noun#3#RM
be_on_the_fiddle	beImAnI_karanA#beImAnI_karanA#noun#4#RM
beach_chair	samuxra_wata_kursI#samuxra_wata_kursI#noun#2#RM
beach_master	pulinapAla#pulinapAla#noun#2#RM
beacon_light	mArgaxarSI_prakASa#mArgaxarSI_prakASa#noun#2#RM
beam_balance	warAjZU#warAjZU#noun#2#RM
beam_deflection	kiraNa_puMja_vikRepana#kiraNa_puMja_vikRepana#noun#2#RM
beam_intensity	kiraNa_puMja_wIvrawA#kiraNa_puMja_wIvrawA#noun#2#RM
beam_scale	warAjU#warAjU#noun#2#RM
bean_blight	PalI__aMgamArI#PalI__aMgamArI#noun#2#RM
bean_caper	yoropiyana_bIna_kI_kalI#yoropiyana_bIna_kI_kalI#noun#2#RM
bean_dip	sema_kA_warala_paxArWa#sema_kA_warala_paxArWa#noun#2#RM
bear_hug	kuSwI_kI_jZoraxAra_pakadZa#kuSwI_kI_jZoraxAra_pakadZa#noun#2#RM
bear_in_mind	mana_meM_XAraNa_kareM#mana_meM_XAraNa_kareM#noun#3#RM
bear_raid	bAjAra_girAnA#bAjAra_girAnA#noun#2#RM
bearer_bond	XAraka_prawijFA_pawra#XAraka_prawijFA_pawra#noun#2#RM
bearer_cheque	XAraka_cEka#XAraka_cEka#noun#2#RM
bearer_scrip	XanIjoga_pawraka_akripa#XanIjoga_pawraka_akripa#noun#2#RM
bearer_security	XanIjoga_prawiBUwi#XanIjoga_prawiBUwi#noun#2#RM
bearing_false_witness	SapaWa_lekara_JUTe_bayAna_xenA#SapaWa_lekara_JUTe_bayAna_xenA#noun#3#RM
bearing_recorder_operator	beyariMga_rikoYrdara_oYparetara#beyariMga_rikoYrdara_oYparetara#noun#3#RM
beas_construction_board	byAsa_nirmANa_borda#byAsa_nirmANa_borda#noun#3#RM
beas_project	byAsa_pariyojanA#byAsa_pariyojanA#noun#2#RM
beat_frequency_oscillator	vispanxa_AvqjFilwalqA_xolaka#vispanxa_AvqjFilwalqA_xolaka#noun#3#RM
beat_guard	gaSwI_gAraxa#gaSwI_gAraxa#noun#2#RM
beat_the_record	rikArda_wodZanA#rikArda_wodZanA#noun#3#RM
beauty_bush	sunxara_JAdZI#sunxara_JAdZI#noun#2#RM
beauty_consultant	byUtI_salAhakAra#byUtI_salAhakAra#noun#2#RM
beauty_spot	ramaprIka_sWala#ramaprIka_sWala#noun#2#RM
because_of	kI_vajaha_se#kI_vajaha_se#noun#1#RM
become_a_mother	mAwA_honA#mAwA_honA#noun#3#RM
bed_bug	Katamala#Katamala#noun#2#RM
bed_check	SayyA_kA_nirIkRaNa#SayyA_kA_nirIkRaNa#noun#2#RM
bed_clothes	biCOne_para_ke_kapadZe#biCOne_para_ke_kapadZe#noun#2#RM
bed_clothing	bisware_ke_kapade#bisware_ke_kapade#noun#2#RM
bed_hop	biswara_para_eka_pEra_se_kUxanA#biswara_para_eka_pEra_se_kUxanA#noun#2#RM
bed_linen	gaxxe_kI_KolI#gaxxe_kI_KolI#noun#2#RM
bed_of_roses	PUlo_kI_seja#PUlo_kI_seja#noun#1#RM
bed_strength	SayyA_saMKyA#SayyA_saMKyA#noun#2#RM
bedroom_set	SayanakakRa_sAjosAmAna_kA_seta#SayanakakRa_sAjosAmAna_kA_seta#noun#2#RM
bee_balm	maXumakKI_kA_malahama#maXumakKI_kA_malahama#noun#2#RM
bee_beetle	maXumakKI_BqMga#maXumakKI_BqMga#noun#2#RM
bee_eater	makKI_KAne_vAlA#makKI_KAne_vAlA#noun#2#RM
bee_keeping	maXumakKI_pAlana#maXumakKI_pAlana#noun#2#RM
beef_cattle	gOSAlA#gOSAlA#noun#2#RM
beef_man	gomAMsa_becanevAlA_kasAI#gomAMsa_becanevAlA_kasAI#noun#2#RM
beef_up	suxqDZa_kara#suxqDZa_kara#noun#2#RM
beer_barrel	biyara_kA_pIpA#biyara_kA_pIpA#noun#2#RM
beer_bottle	biyara_bowala#biyara_bowala#noun#2#RM
beer_brand	biyara_brEnda#biyara_brEnda#noun#2#RM
beer_can	bIyara_kA_dibbA#bIyara_kA_dibbA#noun#2#RM
beer_drinker	bIyara_pIne_vAlA#bIyara_pIne_vAlA#noun#2#RM
beer_house	SarAbaGara#SarAbaGara#noun#2#RM
beer_sales	biyara_kI_bikrI#biyara_kI_bikrI#noun#2#RM
beet_blight	cukanxara_aMgamArI#cukanxara_aMgamArI#noun#2#RM
before_cited	pUrva-kaWiwa#pUrva-kaWiwa#noun#2#RM
before_hand	samaya_se_pahale#samaya_se_pahale#noun#2#RM
before_long	jalxI_hI#jalxI_hI#noun#2#RM
before_the_expiry_of	kI_samApwi_se_pUrva#kI_samApwi_se_pUrva#noun#3#RM
beg_to_state	nivexana_hE#nivexana_hE#noun#3#RM
beg_to_submit	nivexana_hE_ki#nivexana_hE_ki#noun#3#RM
beg_your_pardon	nivexana_kara#nivexana_kara#noun#3#RM
behavioural_pattern	vyavahAra_svarUpa#vyavahAra_svarUpa#noun#2#RM
behind_the_scenes_effort	parxe_ke_pICe_ke_prayAsa#parxe_ke_pICe_ke_prayAsa#noun#4#RM
being_compulsorily_wound_up	anivAryawaH_samApwa_kI_jA_rahI#anivAryawaH_samApwa_kI_jA_rahI#noun#4#RM
being_unable	asamarWa_howe_hue#asamarWa_howe_hue#noun#2#RM
being_voluntary_wound_up	svecCA_se_samApwa_ho_rahI#svecCA_se_samApwa_ho_rahI#noun#4#RM
bel_canto	gAyana_kI_saMgIwIya_SElI#gAyana_kI_saMgIwIya_SElI#noun#2#RM
belated_decision	vilamba_se_kiyA_gayA_nirNaya#vilamba_se_kiyA_gayA_nirNaya#noun#2#RM
belief_in_good_faith	saxBAvanA_se#saxBAvanA_se#noun#4#RM
bell_arch	GaNtA_meharAba#GaNtA_meharAba#noun#2#RM
bell_buoy	GaMtI_sambanXI_AvAjZa#GaMtI_sambanXI_AvAjZa#noun#2#RM
bell_hop	sUcaka#sUcaka#noun#2#RM
bell_pull	GaMtI_bajAne_kI_mUTa#GaMtI_bajAne_kI_mUTa#noun#2#RM
bell_ringer	GaMtI_bajAne_vAlA#GaMtI_bajAne_vAlA#noun#2#RM
bell_ringing	GaMtiyoM_kA_svara#GaMtiyoM_kA_svara#noun#2#RM
below_average	Osawa_se_kama#Osawa_se_kama#noun#2#RM
below_par	avamUlya_para#avamUlya_para#noun#2#RM
belt_buckle	bElta_kA_bakkala#bElta_kA_bakkala#noun#2#RM
benami_loan	benAmI_qNa_aarja#benAmI_qNa_aarja#noun#2#RM
bench_and_bar	nyAyAXISa_Ora_aXivakwA#nyAyAXISa_Ora_aXivakwA#noun#3#RM
bench_clamp	beMca_kA_SikaMjA#beMca_kA_SikaMjA#noun#2#RM
bench_clerk	nyAyapITa_lipika#nyAyapITa_lipika#noun#2#RM
bench_fitter	bEeMca_Pitara#bEeMca_Pitara#noun#2#RM
bench_mark	AXAra#AXAra#noun#2#RM
bench_mark_year	Fi_iFiAwata_nirXAraNa_aXAra_vaRar#Fi_iFiAwata_nirXAraNa_aXAra_vaRar#noun#3#RM
bench_press	CApAKAnA_kakRa#CApAKAnA_kakRa#noun#2#RM
benchmark_test	nirxeSa_cihna_parIkRaNa#nirxeSa_cihna_parIkRaNa#noun#2#RM
bend_dexter	xAez_hAWa_kA_modZa#xAez_hAWa_kA_modZa#noun#2#RM
beneficial_interest	PAyaxApraxa_hiwa#PAyaxApraxa_hiwa#noun#2#RM
beneficiary_owner	hiwAXikArI_svAmI#hiwAXikArI_svAmI#noun#2#RM
beneficient_expenditure	hiwakArI_vyaya#hiwakArI_vyaya#noun#2#RM
benefit_concert	hiwa_samAvewa#hiwa_samAvewa#noun#2#RM
benefit_of_clergy	purohiwa_varga_kI_suviXA#purohiwa_varga_kI_suviXA#noun#1#RM
benefit_of_doubt	saMxeha_lABa#saMxeha_lABa#noun#1#RM
benefit_of_partnership	sAJexArI_kI_suviXA#sAJexArI_kI_suviXA#noun#1#RM
benefit_period	hiwalABa_kI_avaXi#hiwalABa_kI_avaXi#noun#2#RM
benefit_society	hiwakArI_samiwi#hiwakArI_samiwi#noun#2#RM
benefit_theory	lABa_sixXAMwa#lABa_sixXAMwa#noun#2#RM
benefit_theory_of_taxation	hiwAnusAra_karAXAna_kA_sixXAMwa#hiwAnusAra_karAXAna_kA_sixXAMwa#noun#2#RM
benevolent_fund	hiwakArI_niXi#hiwakArI_niXi#noun#2#RM
berkeley_unix	barkale_yUniksa#barkale_yUniksa#noun#2#RM
berth_rate	sAmAnya_xara#sAmAnya_xara#noun#2#RM
bertillon_system	mApa_xvArA_aparAXiyoM_ko_pahacAnane_kA_DaMga#mApa_xvArA_aparAXiyoM_ko_pahacAnane_kA_DaMga#noun#2#RM
best_endeavours	pUrA_prayAsa#pUrA_prayAsa#noun#2#RM
best_fit_algorithm	besta_Pita_elgoriWma#besta_Pita_elgoriWma#noun#3#RM
best_friend	jigarI_xoswa#jigarI_xoswa#noun#2#RM
best_judgement_assessment	savorwwma#savorwwma#noun#3#RM
best_judgement_basis	sarvowwama_nirNaya_ke_AXAra_para#sarvowwama_nirNaya_ke_AXAra_para#noun#3#RM
best_of_all	sabase_acCA#sabase_acCA#noun#1#RM
best_price_obtainable	aXikawama_prApya_mUlya#aXikawama_prApya_mUlya#noun#3#RM
best_wishes	SuBakAmanA#SuBakAmanA#noun#2#RM
better_farming_society	kqRi_suXAra_samiwi#kqRi_suXAra_samiwi#noun#3#RM
better_known	sujFAwa#sujFAwa#noun#2#RM
better_living	behawara_jIvana_swara#behawara_jIvana_swara#noun#2#RM
better_off	behawara_sWiwi_meM#behawara_sWiwi_meM#noun#2#RM
better_tax_compliance	kara_sambanXI_AxeSoM_kA_behawara_paripAlana#kara_sambanXI_AxeSoM_kA_behawara_paripAlana#noun#3#RM
better_title	behawara_hakZa#behawara_hakZa#noun#2#RM
betterment_fund	suXAra_niXi#suXAra_niXi#noun#2#RM
betterment_levy	KuSahAlI_kara#KuSahAlI_kara#noun#2#RM
betterment_tax	KuSahAlI_kara#KuSahAlI_kara#noun#2#RM
betting_tax	bAjI_kara#bAjI_kara#noun#2#RM
beverage_can	peya_kEna#peya_kEna#noun#2#RM
beyond_reasonable_doubt	uciwa_saMxeha_se_pare#uciwa_saMxeha_se_pare#noun#3#RM
beyond_the_grave	mqwyu_uparAMwa#mqwyu_uparAMwa#preposition#1#RM
beyond_the_said_period	uwa_avaXi_ke_bAxa#uwa_avaXi_ke_bAxa#noun#4#RM
beyond_the_scope_of	kI_pariXi_ke_bAhara#kI_pariXi_ke_bAhara#noun#3#RM
bhabha_atomic_research_centre	BABA_paramApru_SoXa_keMxra#BABA_paramApru_SoXa_keMxra#noun#4#RM
bhakra_beas_management_board	BAKadZA_byAsa_prabaMXa_borda#BAKadZA_byAsa_prabaMXa_borda#noun#4#RM
bhakra_management_board	BAKadZA_prabaMXa_borda#BAKadZA_prabaMXa_borda#noun#3#RM
bhutanese_unit	BUtAnI_ekaka#BUtAnI_ekaka#noun#2#RM
biased_opinion	pUrvAgrahI_mawa#pUrvAgrahI_mawa#noun#2#RM
bible_belt	bAibala_belta#bAibala_belta#noun#2#RM
biconnected_graph	xviyojI_grAPa#xviyojI_grAPa#noun#2#RM
bidding_contest	bolI_prawiyogiwA#bolI_prawiyogiwA#noun#2#RM
bidding_sheet	bolI_pawraka#bolI_pawraka#noun#2#RM
bidirectional_communication	xvixiSa_saMcAra#xvixiSa_saMcAra#noun#2#RM
bidirectional_link	xvixiSa_kadZI#xvixiSa_kadZI#noun#2#RM
bidirectional_parallel_post	xvixiSa_samAMwara_posta#xvixiSa_samAMwara_posta#noun#3#RM
biennial_reports	xvivARirka_riporta#xvivARirka_riporta#noun#2#RM
big_band	badZI_pattI#badZI_pattI#noun#2#RM
big_bellied	baDZe_hue_petavAlA#baDZe_hue_petavAlA#noun#2#RM
big_blue	biga_blyU#biga_blyU#noun#2#RM
big_businessman	badZA_vyApArI#badZA_vyApArI#noun#2#RM
big_cat	badZI_billI#badZI_billI#noun#2#RM
big_cultivators	badZe_kqRaka#badZe_kqRaka#noun#2#RM
big_dipper	rolara_kostara#rolara_kostara#noun#2#RM
big_house	badZA_makAna#badZA_makAna#noun#2#RM
big_league	badZA_saMGa#badZA_saMGa#noun#2#RM
big_leaguer	badZe_logoM_ke_AsapAsa_bane_rahane_vAlA#badZe_logoM_ke_AsapAsa_bane_rahane_vAlA#noun#2#RM
big_o_notation	xIrGa_0_saMkewana#xIrGa_0_saMkewana#noun#3#RM
big_shot	badA_SoYta#badA_SoYta#noun#2#RM
big_ticket_item	kImawI_vaswu#kImawI_vaswu#noun#3#RM
big_ticket_line	kImawI_vaswu_vyayavasAya#kImawI_vaswu_vyayavasAya#noun#3#RM
bilateral_account_countries	xvixeSIya_avipakRIya_leKevAle_xeSa#xvixeSIya_avipakRIya_leKevAle_xeSa#noun#3#RM
bilateral_agreement	xvipakRIya_karAra#xvipakRIya_karAra#noun#2#RM
bilateral_balancing	xvipakRIya_avixeSIya_saMwulana#xvipakRIya_avixeSIya_saMwulana#noun#2#RM
bilateral_contract	xvipakRIya_anubanXa#xvipakRIya_anubanXa#noun#2#RM
bilateral_group_of_countries	xvipakRIya_KAwA_samUha_ke_xeSa#xvipakRIya_KAwA_samUha_ke_xeSa#noun#2#RM
bilateral_tariff_concession	xvixeSIya_avipakRIya_Sulka_riyAyawa#xvixeSIya_avipakRIya_Sulka_riyAyawa#noun#3#RM
bilateral_trade_accounts	xvixeSIya_avipakRIya_vyApAra_leKe#xvixeSIya_avipakRIya_vyApAra_leKe#noun#3#RM
bilateral_trade_agreement	xvipakRIya_avipakRIya_vyApAra_samaJOwA_AarAra#xvipakRIya_avipakRIya_vyApAra_samaJOwA_AarAra#noun#3#RM
bile_duct	piwwa_nalI#piwwa_nalI#noun#2#RM
bilingual_dictionary	xviBARI_SabxakoSa#xviBARI_SabxakoSa#noun#2#RM
bill_at_sight	xarSanI_huMdI_Iila#xarSanI_huMdI_Iila#noun#3#RM
bill_backing	huMdI_Iila_samarWana#huMdI_Iila_samarWana#noun#2#RM
bill_book	bila_auMdI_bahI#bila_auMdI_bahI#noun#2#RM
bill_broker	bila_auMdI_xalAla#bila_auMdI_xalAla#noun#2#RM
bill_buying	bila_auMdI_KarIxanA#bila_auMdI_KarIxanA#noun#2#RM
bill_clean	agraleKI_bila_auMdI#agraleKI_bila_auMdI#noun#2#RM
bill_clerk	bila_klarka#bila_klarka#noun#2#RM
bill_counter	bila_patala#bila_patala#noun#2#RM
bill_diary	huMdI_Iila_dAyarI_IEnikI#huMdI_Iila_dAyarI_IEnikI#noun#2#RM
bill_encashed_on	ko_bila_BunAyA_gayA#ko_bila_BunAyA_gayA#noun#3#RM
bill_for_collection	ugAhI_ke_lie_bila#ugAhI_ke_lie_bila#noun#3#RM
bill_form	huMdI_Iila_PArma#huMdI_Iila_PArma#noun#2#RM
bill_in_a_set	bahuprawi_huMdI_Iila#bahuprawi_huMdI_Iila#noun#4#RM
bill_journal	bila_jarnala#bila_jarnala#noun#2#RM
bill_market	huMdI_bAjAra#huMdI_bAjAra#noun#2#RM
bill_of_costs	lAgawa_bila#lAgawa_bila#noun#1#RM
bill_of_entry	Agama_pawra#Agama_pawra#noun#1#RM
bill_of_exchange	vinimaya_pawra#vinimaya_pawra#noun#1#RM
bill_of_health	svAsWya_viXeyaka#svAsWya_viXeyaka#noun#1#RM
bill_of_lading	laxAna_pawra#laxAna_pawra#noun#1#RM
bill_of_payment	xeyaka_bila#xeyaka_bila#noun#1#RM
bill_of_quantities	mAwrA_AarimANa_bila#mAwrA_AarimANa_bila#noun#1#RM
bill_of_sale	bikrI_bila#bikrI_bila#noun#1#RM
bill_payable_on_demand	mAMga_xeya_huMdI_Iila#mAMga_xeya_huMdI_Iila#noun#4#RM
bill_rate	huMdI_Iila_xara#huMdI_Iila_xara#noun#2#RM
bill_receivable_book	prApya_bila_bahI#prApya_bila_bahI#noun#3#RM
bill_renewal	huMdI_Iila_navIkaraNa#huMdI_Iila_navIkaraNa#noun#2#RM
bill_transit_register	bila_saMcalana_rajistara#bila_saMcalana_rajistara#noun#3#RM
billboard_chart	laMgara_pattI_cArta#laMgara_pattI_cArta#noun#2#RM
billed_weight	bila_meM_nirxiRta_BAra_aajana#bila_meM_nirxiRta_BAra_aajana#noun#2#RM
bills_discounted	BunAye_gaye_bila#BunAye_gaye_bila#noun#2#RM
bills_discounting	huMdI_Iila_BunAnA#huMdI_Iila_BunAnA#noun#2#RM
bills_for_collection	ugAhI_IasUlI_ke_lie_bila#ugAhI_IasUlI_ke_lie_bila#noun#3#RM
bills_for_collection_rate	ugAhI_bila_auMdI_xara#ugAhI_bila_auMdI_xara#noun#4#RM
bills_for_negotiation	parakrAmapra_aecAna_hewu_bila_auMdI#parakrAmapra_aecAna_hewu_bila_auMdI#noun#3#RM
bills_of_exchange_account	vinimaya_bila_leKA#vinimaya_bila_leKA#noun#1#RM
bills_payable	xeya_bila#xeya_bila#noun#2#RM
bills_payable_book	xeya_bila_bahI#xeya_bila_bahI#noun#3#RM
bills_purchased	KarIxe_gae_bila#KarIxe_gae_bila#noun#2#RM
bills_receivable	prApya_bila#prApya_bila#noun#2#RM
bills_under_collection	vasUlI_ke_lie_bila#vasUlI_ke_lie_bila#noun#3#RM
bimonthly_report	xvivARirka_riporta#xvivARirka_riporta#noun#2#RM
bin_card	bina_kArda#bina_kArda#noun#2#RM
bin_keeper	XAnIpAla#XAnIpAla#noun#2#RM
binary_arithmetic_operation	xviAXArI_aMkagaNiwIya_saMkriyA#xviAXArI_aMkagaNiwIya_saMkriyA#noun#3#RM
binary_code	xviAXArI_kUta#xviAXArI_kUta#noun#2#RM
binary_coded_character	xviAXArI_kUtaliKiwa_saMprawIka#xviAXArI_kUtaliKiwa_saMprawIka#noun#3#RM
binary_coded_decimal	xviAXArI_kUtaliKiwa_xaSamalava#xviAXArI_kUtaliKiwa_xaSamalava#noun#3#RM
