ecclesiastic commissioner	carca_kamiSnara
figured bass	aMkiwa_maMxra
file access method	saMcikA_aBigama_viXi
file activity ratio	saMcikA_sakriyawA_anupAwa
file allocation table	saMcikA_niyawana_sAraNI
file an appeal	apIla_PZAila_karanA
file an application	Avexanapawra_xenA
file attribute	saMcikA_guNa
file board	PZAila_borda
file cabinet	PZAila_kEbineta
file caching	saMcikA_yukwikaraNa
file cleanup	saMcikA_pariSoXana
file clerk	sUcI_klarka
file composition	saMcikAyana
file compression	saMcikA_sampIdZaNa
file control system	saMcikA_niyaMwraNa_waMwra
file control	saMcikA_niyaMwraNa
file conversion	saMcikA_rUpAMwaraNa
file copying	saMcikA_prawilipikaraNa

file description	saMcikA_vivaraNa
file descriptor	saMcikA_vivaraNaka
file event	saMcikA_GatanA
file exchange utilities	saMcikA_vinimaya_upayogiwA
file flap	PZAila_pattI
file handle	saMcikA_prahaswana
file index	PAila_sUcI
file information retrieval	saMcikA_sUcanA_prawinayana
file key	saMcikA_kuMjI
file label	saMcikA_lebala
file layout	saMcikA_vinyAsa
file length	saMcikA_xEGrya
file mainagement	saMcikA_prabaMXana
file maintenance	saMcikA_anurakRaNa
file management system	saMcikA_prabaMXana_waMwra
file map	saMcikA_prawiciwra
file merge	saMcikA_vilaya
file movement register	PZAila_saMcalana_rajistara
file movement	misila-saMcalana
file name	saMcikA_nAma
file naming	saMcikA_nAmakaraNa
file operation	saMcikA_pracalana
file organization	saMcikA_saMgaTana
file processing operation	saMcikA_prakramaNa_saMkriyA
file processing	saMcikA_saMsAXana
file protection	saMcikA_rakRaNa
file recovery	saMcikA_punaH_prApwi
file register	PZAila_rajistara
file request	saMcikA_nivexana
file search	saMcikA_Koja
file security	saMcikA_surakRA
file selection	saMcikA_varaNa
file server	saMcikA_parisevaka
file service	saMcikA_sevA
file sharing	saMcikA_sahaBAjana
file storage unit	saMcikA_BaMdAraNa_ekaka
file storage	saMcikA_BaMdAraNa
file structure	saMcikA_saMracanA
file system performance	saMcikA_waMwra_niRpAxana
file system reliability	saMcikA_waMwra_viSvasanIyawA
file system security	saMcikA_waMwra_surakRA
file system	saMcikA_waMwra
file transfer protocol	saMcikA_anwaraNa_protokOYla
file transfer	saMcikA_anwaraNa
file updating	saMcikA_axyawanIkaraNa
file usage	saMcikA_upayoga
file variable	saMcikA_cara
filial duty	puwra_Xarma
filing a return	vivaraprI_xAKila_karanA
filing cabinet	PAileM_raKane_kI_alamArI
filing system	PZAila_paxXawi
fill the shoes	xUsare_ke_sWAna_para_kAma_kara_sakane_kI_yogyawA
filler cap	petrola_kI_taMkI_para_lagAne_vAlA_Dakkana
filler character	pUraka_saMprawIka
filler station	petrola_becane_kI_jagaha
filling in casual vacancies	aniyawa_akasmika_rikwa_saWauWAnoM_kI_pUrwi
film and television institute of india	BArawIya_calawaciwra_evaM_xUraxarSana_sawaMsWAna
film censor officer	Pi_ilma_seMsara_aXikArI
film character	Pilma_kA_pAwra
film checker	Pi_ilma_cekara
film clip	Pilma_klipa
film editing	Pilma_kA_saMpAxana
film editor	Pi_ilma_saMpAxaka
film frame	Pilma_Prema
film joiner	Pi_ilma_yojaka
film librarian	Pi_ilma_lAyabreriyana
film maker	Pilma_nirmAwA
film music	PilmI_saMgIwa
film officer	Pi_ilma_aXikArI
film processionist	Pi_ilma_saMsAXaka
film production officer	Pi_ilma_nirmANa_aXikArI
film project operator	Pi_ilma_prakRepiwra_pracAlaka
film projectionist	Pi_ilma_prakRepaka
film scanner	Pilma_kramavIkRaka
film star	Pilma_kalAkAra
film storage	Pilma_BaMdAraNa
films division	Pi_ilma_praBAga
filter bed	nisyaMxana_swara
filter plant operator	nispaMxana_saMyaMwra_pracAlaka
filter plant overseer	nispaMxana_saMyaMwra_ovarasiyara
filter tipped	noMka_para_CalanI_vAlI_vaswu
filtered frames	Piltara_Prema
filtertipped cigarette	nokaxAra_CannI_sigareta
filthy language	gaMxI_BARA
final accounts	aMwima_leKe
final assessment	aMwima_nirXAraNa
final balance	aMwima_SeRa_aAkI
final call account	aMwima_mAMga_leKA
final call money	aMwima_mAMga_rASi_iakama
final call register	aMwima_mAMga_rajistara
final call	aMwima_mAMga
final copy	aMwima_prawilipi
final decision	aMwima_nirNaya
final disposal	aMwima_nipatAna
final evidence	aMwima_sAkRya_aavAhI
final meeting	aMwima_bETaka
final order	aMwima_AxeSa
final outcome	anwima_pariNAma
final payment	aMwima_axAyagI
final pension	pakkI_peMSana
final product	aMwima_uwpAxa
final repor	aMwima-riporta
final report	aMwima_riporta
final selection	aMwima_cayana
final stage	aMwima_caraNa
final state	aMwima_avasWA
final total	aMwima_yoga_aodZa
final valuation	aMwima_mUlyAMkana
final warning	aMwima_cewAvanI
final withdrawal	aMwima_nikAsI
final write off	aMwima_rUpa_se_batte_KAwe_dAlanA
finance accounts section	vwwi_leKA_anuBAga
finance accounts	vwwia_leKeM
finance act	vwwi_aXiniyama
finance administration	vwwi_praSAsana
finance bill	viwwa_viXeyaka
finance commission	viwwa_Ayoga
finance committee	vwwi_samiwi
finance company	viwwa_kaMpanI
finance compilation section	vwwiwa_saMkalana_anuBAga
finance corporation	vwwi_nigama
finance house	pEsoM_kA_lena_xena_karane_vAlI_saMsWA
finance minister	vwwi_maMwrI
finance officer	vwwi_aXikArI
finance secretary	vwwi_saciva
financial accommodation	vwwiIya_niBAva_aahAyawA
financial administration	viwwIya_praSAsana
financial advice	vwwiIya_salAha
financial adviser and chief accounts officer	vwwi_salAhakAra_evaM_muKya_leKA_aXikArI
financial adviser	vwwi_salAhakAra
financial affair	vwwiIya_kAyeM
financial aid application	ArWika_sahAyawA_ke_liye_Avexanapawra
financial aid program	ArWika_sahAyawA_progrAma
financial aid	vwwiIya_sahAyawA
financial analysis	vwwiIya_viSleRapra
financial analyst	vwwiIya_viSleRaka
financial and investment companies	vwwiIya_Ora_niveSa_kaMpaniyAM
financial arrangement	vwwiIya_vyavasWA
financial assessment	vwwiIya_mUlyAMkana
financial assistance	vwwiIya_sahAyawA
financial behaviour	vwwiIya_pravqwwi
financial burden	vwwiIya_BAra
financial capacity	vwwiIya_kRamawA
financial center	vwwiIya_kenxra
financial certificate	vwwiIya-pramANapawra
financial commissioner	vwwi_Ayukwa
financial commitment	viwwIya_vacana
financial competence	vwwiIya_kRamawA
financial complications	vwwiIya_jatilawAeM
financial concurrence	vwwiIya_sahamawi
financial condition	ArWika_xaSA
financial control	vwwiIya_niyaMwraNa
financial corporation	vwwiIya_nigama
financial discipline	vwwiIya_anuSAsana
financial emergency	vwwiIya_ApAwa
financial guarantee	vwwiIya_gAraMtI_IrawyABUwi
financial implications	viwwIya_vivakRAeM
financial institution	vwwiIya_saMsWA
financial integrity	vwwiIya_niRTA
financial interest	vwwiIya_hiwa
financial intermediary	vwwiIya_bicOliyA_AaXyasWa
financial irregularities	vwwiIya_aniyamiwawAeM
financial legislation	viwwa-viXAna
financial liabilities	vwwiIya_xeyawAeM
financial management control	vwwiIya_prabaMXa_Ora_niyaMwraNa
financial operation	vwwiIya_kAryakalApa
financial outlay	vwwiIya_parivyaya
financial penalty	vwwiIya_xaMda
financial planning	vwwiIya_AyojanA
financial position	vwwiIya_i_iFiAwa
financial powers	vwwiIya-aXikAra
financial procedure	vwwiIya_prakriyA_AriyAviXi
financial proceedings	vwwiIya_kAryavAhI
financial propriety	vwwiIya_Ociwya
financial provision	vwwiIya_prAvaXAna
financial prudence	vwwiIya_viveka
financial relief	vwwiIya_rAhawa
financial reporting	vwwiIya_riporta_xenA
financial repurcussion	vwwiIya_prawikriyA
financial resources	vwwiIya_saMsAXana
financial result	vwwiIya_pariprAma
financial results	vwwiIya_pariprAma
financial review	viwwIya_samIkRA
financial sanction	vwwiIya-maMjZUrI
financial settlement	vwwiIya_pariSoXana_aipatAna
financial standing	vwwiIya_i_iFiAwa
financial statement	viwwIya_vivaraNa
financial stock taking	vwwiIya_stAka_padZawAla
financial stringency	vwwiIya_kaTinAWa
financial system	viwwIya_paxXawi
financial year	ArWika_varRa
financially liable	viwwIya_xqRti_se_sakRama
financially sound	vwwiIya_iRta_se_xuruswa_avasWa
financing bank	vwwipoRaka_awwixAwA_bEMka
financing of acriculture	kqRi_kA_vwwipoRapra_awwiIyana
financing of exports and imports	niryAwoM_Ora_AyAwoM_kA_vwwipoRapra_awwiIyana
financing of priority sectors	prAWamikawA_prApwa_aRewroM_kA_vwwipoRapra_awwiIyana
find fault	galawI_nikAlanA
finder beam	anveRI_kiraNa_puMja
fine art	laliwa_kalA
fine arts and music department	laliwa_kalA_Ora_saMgIwa_viBAga
fine arts	laliwa_kalAez
fine charges	xaswAve_ejZI_Karca
fine fabric	mahIna_sUwa
fine print	bArIka_akRaroM_meM
fine rate	mUla_xara
fine sort	pariRkqwa_CAMEYta
fine tooth comb	sUkRmarUpa_se_KojabIna_karane_kI_kriyA
fineness of coins	sikkoM_kI_SuxXawA
finger bowl	uzgaliyAz_Xone_kA_katorA
finger daemon	aMgula_demOYna
finger mark	uMgalI_ke_niSAna
finger print examiner	aMgulI_CApa_parIkRaka
finger print expert	aMgulI_CApa_viSeRajFa
finger print	aMguliCApa
finished goods account	wEyAra_mAla_leKA
finished goods	wEyAra_mAla
finished product	pakkA_mAla
finished products	wEyAra_uwpAxa_aaswueM
finishing inspector	pariRkaraNa_nirIkRaka
finishing school	KAsa_skUla
finishing touch	samApana_sajjA
finite element method	parimiwa_avyava_viXi
finite state machine	parimiwa_avasWA_yaMwra
finiteness problem	parimiwawA_samasyA
fir clubmoss	xevaxAru_kA_lAikopodiyama_pAxapa
fir cone	Para_pedZa_kA_Pala
fire alarm	Aga_se_KZaware_kA_saMkewa
fire arm	wopa
fire arms expert	agniSa_awra_viSeRajFa
fire ball	Aga_kA_golA
fire bell	Aga_ke_KZaware_kI_GaMtI
fire bomb	Aga_lagAne_vAlA_bama
fire break	jaMgala_kI_Aga_rokane_ke_liye_nAPa_kI_jagaha
fire brigade inspector	xamakala_xala_nirIkRaka
fire brigade	agniSAmaka_xala
fire chief	agni_pramuKa
fire claim account	agni_bImA_xAvA_leKA
fire code	agni_saMkewa
fire control	Aga_kA_niyanwraNa
fire department	agniSAmaka_viBAga
fire door	Aga_rokane_ke_liye_banAyA_gayA_xaravAjZA
fire drill	Aga_buJAne_kI_wEyArI
fire eater	bAjIgara
fire engine driver	xamakala_drAivara
fire engine	xamakala
fire escape	Aga_laganaWaz_para_BAgane_kA_rAswA
fire extinguisher fitter	agniSAmaka_Pitara
fire extinguisher	agniSAmaka
fire fighter	Aga_buJAne_vAlA_vyakwi
fire fighting instructure	agniSamana_anuxeSaka
fire fighting	agni_Samana
fire guard	agnirakRaka
fire inspector	agniSamana_nirIkRaka
fire insurance	agni-bImA
fire lighter	Aga_lagAne_kA_sAXana
fire officer	agniSamana_aXikArI
fire power	ladZAI_kI_Sakwi
fire risk	Aga_KA_KawarA
fire sale	Aga_xvArA_kRawigraswa_vaswuoM_kA_vikraya
fire service training school	agniSamana_sevA_praSikRaNa_vixyAlaya
fire service	agniSamana_sevA
fire station office	xamakala_kenxra_kAryAlaya
fire station officer	xamakala_kenxra_aXikArI
fire station	xamakala_raKane_kI_jagaha
fire unit commander	PZAyara_yUnita_kamAMdara
fire water	kadZI_SarAba
firing chamber	agni_kakRa
firing line	ladZAI_meM_Age_kI_paMwwi
firing squad	golI_calAne_vAlA_xaswA
firm determination	pakkI_Xuna
firm export order	pakkA_niryAwa_AxeSa_ardara
firm market	majabUwa_bAjAra
firm order	pakkA_AxeSa_ardara
firm price	suDZa_aiSciwa_mUlya
firm value	niSciwa_mUlya
firmer chisel	majZabUwa_CenI
firmness and effectivenes	DZawA_Ora_saSawawA
first aid centre	praWama_upacAra_keMxra
first aid	prAWamika_cikiwsA
first aider	praWamopacAraka
first and foremost	sarva_praWama
first appearance	praWamaxarSana
first balcony	pahalA_CajjA
first base	praWama_AXAra
first born	pahalI_saMwAna
first call account	praWama_mAMga_leKA
first call money	praWama_mAMga_rASi_iakama
first call register	praWama_mAMga_rajistara
first call	praWama_mAMga
first cause	praWama_kAraNa
first charge	praWama_praBAra
first class magistrate	praWama_SreprI_majistreta
first class paper	variRTa_huMdI_IraleKa
first class	pahalA_xarjA
first come first serve	pahale_Ao_pahale_pAo
first crusade	praWama-XarmayuxXa
first day cover	dAka_tikata_jArI_karane_ke_xina_kI_muhara_kA_liPAPA
first degree	kama
first division	praWama_SreprI
first ever	praWama
first finger	warjanI
first fit	praWama_Pita
first floor	xUsarI_maMjila
first fruit	praWama_Pala
first gear	pahalA_giyara
first generation computer	praWama_pIDZI_aBikaliwra
first grade	praWama_SreNI
first half sales	AXI_kImawa_kI_bikrI
first in first out method	praWama_Avaka_praWama_jAvaka_paxXawi
first in first out	praWama_praveSa_praWama_nirgama
first information report	praWama_sUcanA_riporta
first lady	rARtrapawi_kI_pawnI
first leg	pahalA_caraNa
first lieutenant	PZasrta_lePZtineMta
first light	Bora
first name	nAma
first night	pahalI_bAra
first normal form	praWama_sAmAnya_rUpa
first offender	pahalI_bAra_aparAXa_karanevAlA
first order theory	praWama_koti_saxvAMwa
first person account	nijI_KAwA
first preference	praWama_aXimAna_aarajIha
first quarter sales	pahale_paKavAdZe_kI_bikrI
first rate	awi_uwwama
first refusal	prAWamikawA
first schedule	praWama_anusUcI
first school	prAimarI_skUla
first secretary	praWama_saciva
first series of bonds	bAMdoM_kI_praWama_SrqMKalA
first time	pahalI_bAra
fiscal incentives	rAjakoRIya_prowsAhana
fiscal monopoly	rAjakoRIya_ekAXikAra
fiscal policy	rAjakoRIya_nIwi
fiscal year	viwwa_varRa
fish and chips	maCalI_Ora_cipsa_kA_nASwA
fish cake	maCalI_kI_tikiyA
fish cannery	maCalI_kEnarI
fish chowder	maCalI_cAudara
fish duck	maCalI_KAne_vAlA_bawwaKa
fish eagle	maCalI_gixXa
fish eggs	maCalI_ke_aMde
fish eye	eka_waraha_kA_kEmare_kA_lEnsa
fish farm supervisor	maCalI_PArma_paryavekRaka
fish farm	maCalI_pAlana_kA_wAlAba
fish finger	maCalI_ke_wale_hue_kawale
fish hook	maCalI_pakadZane_kA_kAztA
fish knife	maCalI_KAne_kA_cAkU
fish lense	eka_waraha_kA_kEmare_kA_lEnsa
fish marketing officer	maCalI_paNana_aXikArI
fish slice	eka_waraha_kA_palatA
fish stick	maCalI_ke_wale_hue_kawale
fisheries development adviser	maCalI_uxyoga_vikAsa_salAhakAra
fisheries development officer	maCalI_uxyoga_vikAsa_aXikArI
fisheries extension officer	maCalI_uxyoga_viswAra_aXikArI
fisheries research investigation officer	maCalI_uxyoga_anusaMXAna_Ora_anveRapra_aXikArI
fisheries warden	maCalI_vArdana
fishing boat	maCalI_pakadZane_kI_nAva
fishing eagle	maCalI_pakadZane_vAlA_gixXa
fishing guard	maCalI_rakRaka
fishing line	maCalI_pakadZane_kI_dorI
fishing pole	maCalI_pakadZane_kA_daMdA
fishing rod	maCalI_pakadZane_kA_daMdA
fishpole bamboo	maCalI_pakadZane_kA_bAzsa
fit as a fiddle	acCI_sehawa_vAlA
fitment of salary	vewana_nirXAraNa
fitness certificate	ArogyawA-pramANapawra
five hundred	pAzcasO
five label code	paMca_swara_kUta
five year plan	paMcavaRarIya_yojanA
fixation of credit limit	qNa_sImA_AAKa_sImA_kA_nirXAraNa
fixation of pay	vewana_niyawana
fixed asset	acala_Aswi
fixed block	niyawa_KaMda
fixed capital formation	acala_pUMjI_nirmANa
fixed capital	acala_pUMjI
fixed charge	sWAI_mUlya
fixed costs	sWira_Karca
fixed date	niyawa_wiWi
fixed decimal	niyawa_xaSamalava
fixed deposit account	mIyAxI_IAvaXi_jamA_KAwA
fixed deposit receipt	mAyAxI_IAvaXi_jamA_rasIxa
fixed deposit	AvaXika_nikRepa
fixed disk	Piksada_diska
fixed exchange rate	niyawa_vinimaya_xara
fixed format message	niyawa_saMrUpa_saMxeSa
fixed grant	niyawa_anuxAna
fixed image graphics	niyawa_prawibiMba_AleKikI
fixed instalment method	niyawa_kiswa_praprAlI
fixed length block	niyawa_xErXya_KaMda
fixed length record	niyawa_xEGya_aBileKa
fixed monthly allowance	niyawa_mAsika_BawwA
fixed partition	niyawa_viBAjana
fixed pay	niyawa_vewana
fixed point arithmetic	niyawa_binxu_parikalana
fixed point number	niyawa_binxu_saMKyA
fixed point representation system	niyawa_biMxu_nirUpaNa_waMwra
fixed point	niyawa_sWala
fixed price	niyawa_kZImawa
fixed radix numeration system	niyawa_mUlAMka_saMKyAna_waMwra
fixed rate of exchange	niyawa_vinimaya_xara
fixed satellite	niyawa_upagraha
fixed shift	niyawa_aiSciwabaMXI_pArI
fixed sum	niSciwa_rASi
fixed term policy	niSciwa_aiyawa_avaXi_mIyAxI_pAlisI
fixed travelling allowance	niyawa_yAwrA_BawwA
fixed word length computer	niyawa_Sabxa_xErGya_aBikaliwra
fixing agent	jodZane_kA_paxArWa
fixtures and fittings	judZanAra
flag ceremony	JaMdA_samAroha
flag day	JaMdA_xivasa
flag indicator	cihnaka_sUcaka
flag lieutenant	PZlEga_lePtineMta
flag of convenience	xUsare_xeSa_kA_JaMdA
flag sequence	cihnaka_anukrama
flag waving	niRkarRa_rahiwa
flagship brand	JaMde_vAle_jahAja_kA_brEnda
flak catcher	havAI_AkramaNa_niroXaka
flak jacket	bacAva_kA_kota
flame bush	sunahare_raMga_kI_JAdZI
flame cell	jvAlA_koSA
flame thrower	Aga_kI_lapateM_PeMkane_vAlA_yaMwra
flannel bush	PalAlena_JAdZI
flare path	prakASiwa_mArga
flare up	Aga_BadZakanA
flash bulb	PlESa_balba
flash camera	PlESa_kEmarA
flash card	kRaNa_Bara_ke_liye_xiKAyA_jAne_vAlA_kArda
flash cube	PlESa_balba_lagAne_kA_warIkA
flash flood	acAnaka_AI_bADZa
flash welding	cApa_prakASa_se_jodZane_kI_kriyA
flashlight battery	prakASa_bEtarI
flat arch	samawala_meharAba
flat as a pancake	bilkula_samawala
flat bed plotter	sapAta_wala_AleKaka
flat bed scanner	sapAta_wala_kramavIkRaka
flat bench	samawala_beMca
flat bone	capatI_haddI
flat bottomed	samawala_wale_vAlA
flat bread	capatI_dabalarotI
flat broke	kadZakA_honA
flat cap	capatI_topI
flat car	rela_kA_KulA_xibbA
flat coat	capatA_kota
flat cost	mUla_lAgawa
flat filing system	anuprasWa_PZAila_paxXawi
flat fish	eka_waraha_kI_maCalI
flat footed	pEra_meM_GumAva_na_honA
flat out	SIGrawA_se
flat racing	samawala_jagaha_para_GudZaxOdZa
flat rate	sapAta_xara
flavour of the month	Ajakala_ke_PESana_meM
flea beetle	pissU_BqMga
flea bite	pissU_kA_kAtanA
flea market	kabAdZI_bAjZAra
fleet admiral	nOsenA_edmirala
flesh and blood	SArIrika_BAvanAez
flesh wound	GAva
fleur de lis	eka_PUla_Ora_wIna_pawwiyoM_kA_namUnA
flexible disk	namya_diska
flick knife	spriMga_vAlA_cAkU
flight attendant	vimAna_paricAraka
flight cancellation	havAI_yAwrA_raxa_karanA
flight commander	PZlAita_kamAMdara
flight crew	vimAna_rkamacArI
flight deck	vimAna_meM_cAlaka_ke_bETane_kA_sWAna
flight engineer	udZAna_aiBayaMwA
flight instructure	udZAna_anuxeSaka
flight lieutenant	vAyusenA_kA_aXikArI
flight path	udZAna_kA_mArga
flimsy ground	awi_AXAraNa_AXAra
flimsy grounds	sArahIna_AXAra
flint corn	kadZI_makaI
flip chart	AzkadZoM_kA_cArta
flip flop	eka_waraha_kI_cappala
flip side	xUsarA_pahalU
float on air	awi_uwsAhiwa_honA
floatation of debentures	dibeMcaroM_kA_nirgama
floating around	iXara_uXara_GUmawe_hue
floating assets	cala_asWAyI_parisaMpwwiyAM_MswiyAM
floating bridge	wErane_vAlA_pula
floating capital	plavamAna_pUzjI
floating charge	cala_praBAra
floating currency	mukwa_muxrA
floating debt	plavamAna_qNa
floating dock	wErawA_nOkA_GAta
floating funds	cala_niXi
floating mortgage	cala_baMXaka
floating point arithmetic instruction	cala_binxu_parikalana_anuxeSa
floating point arithmetic unit	cala_binxu_parikalana_ekaka
floating point arithmetic	cala_binxu_parikalana
floating point number	cala_binxu_saMKyA
floating point precision	cala_binxu_pariSuxXawA
floating point radix	cala_binxu_mUlAMka
floating point register	cala_binxu_paMjI
floating point representation	cala_binxu_nirUpaNa
floating policy	cala_pAlisI
floating rate	mukwa_asWAyI_xara
floating security	cala_asWAyI_prawiBUwi
floating stocks	KarIxane_yA_becane_ke_lie_wawkAla_upalabXa_Seyara
floating voter	vota_xene_meM_arniNIwa_vyakwi
flog a dead horse	vyarWa_kA_prayawna_karanA
flog to death	bora_karanA
flood control wing	bADZa_niyaMwraNa_viMga
flood control	bADZa_niyanwraNa
flood investigation division	bADZa_anveRapra_praBAga
flood of tears	AzsuoM_kI_bADZa
flood plain	bADZa_se_praBAviwa_hone_vAlI_jZamIna
flood relief	bADZa_rAhawa
flood tide	UMcA_jvAra
flood victims	bADZa_pIdZiwa
flood water	bADZa_kA_pAnI
floopy diskette	PlOpI_diska
floor above	Upara_kI_maMjZila
floor area	ParSIr_r_kRewraPala
floor below	nicalI_maMJila
floor board	ParSa_kA_waKwA
floor interest rate	nyUnawama_byAja_xara
floor price	nyUnawama_aimnawama_mUlya
floor show	klaba_yA_hotala_meM_praxarSana
floppy disk	PlOpI_diska
floral envelope	puRpa_liPAPA
florid faced	lAla_muzhavAlA
flotilla supervisor	bedZA_paryavekRaka
flotsam and jetsam	nirASraya_Ora_nirXana_loga
flour beetle	gehUz_yA_xUsare_anAjoM_ke_Ate_kA_BqMga
flour corn	makkI_kA_AtA
flow based routing	pravAha_AXAriwa_anumArgana
flow chart	krama_sAraNI
flow curve	pravAha_vakra
flow diagram	prakriyA_kI_jAnakArI_kA_AreKa
flow graph	pravAha_AreKa
flow machine framing	pravAha_grAPa
flow of adequate credit	samuciwa_aaryApwa_qNa_kI_upalabXawA
flow of control	niyaMwraNa_pravAha
flow of credit	qNa_upalabXi
flow of funds	xravya_pravAha
flow production	puMja_uwpAxana
flowchart symbol	pravAha_saMciwra_prawIka
flowchart technique	pravAha_saMciwra_wakanIka
flower arrangement	PUloM_kI_vyavasWA
flower bed	PUloM_kI_kyArI
flower bud	PUla_kI_kalI
flower chain	PUloM_kI_cena
flower chidren	SAMwi_ke_prawIka_meM_PUla_le_jAne_vAle
flower children	SAMwi_ke_prawIka_meM_PUla_le_jAne_vAle
flower earthstar	puRpa_BU_wArA
flower garden	PUloM_kA_bagIcA
flower people	SAMwi_ke_prawIka_meM_PUla_le_jAne_vAle
flower power	SAMwi_ke_prawIka_meM_PUla_le_jAne_vAloM_ke_vicAra
flowering ash	PUloM_vAlA_aMgU_vqkRa
flowering cherry	puRpana_cerI
fluctuating charges	xatawe_baDZawe_vyaya_araBAra
fluctuation in price	kImawa_kA_caDZAva_uwAra
flue cured	XueM_se_siJAyA_huA_wambAkU
fluid binding	asWira_baMXana
fluid dram	vhiskI_kI_niSciwa_mAwrA
fluid drive	xrava_kA_xabAva
fluid ounce	xrava_paxArWa_nApane_kA_mApaxaMda
fluid resources	warala_saMsAXana
flunk out	nikAla_xenA
fluorescent dye	xexIpyamAna_raMga
fluorescent light	prawixIpwa_bawwI
flute player	vAzsurI_vAxaka
fly a kite	xUsaroM_kI_prawikriyA_jAnane_ke_liye_kiyA_kAma
fly away	biKaranA
fly blown	KarAba_hAlawa_meM
fly by night	aviSvasanIya_loga
fly fishing	nakalI_cAre_se_maCalI_pakadZanA
fly high	saPala_honA
fly in the face of	asvIkAra_honA
fly into a passion	acAnaka_kroXa_karanA
fly into a rage	acAnaka_kroXa_karanA
fly into a temper	acAnaka_kroXa_karanA
fly leaf	PZlAI_lIPZa
fly off the handle	kroXa_karanA
fly paper	makKI_pakadZane_kA_lesayukwa_kAgajZa
flying and tanning	camadZA_uwAranA_Ora_kamAnA
flying bird	udZawA_pakRI
flying boat	udZane_vAlI_nAva
flying bomb	havAI_bama
flying buttress	arXa_gumbaja
flying colors	pUrNa_saPalawA
flying colours	pUrNa_saPalawA
flying dragon	udZanevAlA_dregana
flying drainpipe	udZana_gaMxe_pAnI_ke_nikAsI_kA_pAipa
flying fish	udZana_maCalI
flying jump	xOdZa_kara_lI_kuxAna
flying officer	PZlAiMga_aPZasara
flying picket	strAika_karane_ko_wEyAra_kAmagara
flying saucer	udZana_waSwarI
flying sqad	pulisa_kA_eka_xaswA
flying squad inspector	udZanaxaswA_nirIkRaka
flying squad	udZanaxaswA
flying visit	kama_samaya_kI_BeMta
focal distance	lEMsa_se_usake_Pokasa_kI_xUrI
focal epilepsy	nABIya_mirgI
focal length	lEMsa_se_usake_Pokasa_kI_xUrI
focal point bank	kenxra_bEMka
focal point branch	kenxra_SAKA
focal point	muKya_AkarRaNa_kA_keMxra
fodder development officer	cArA_vikAsa_aXikArI
fodder inspector	cArA_nirIkRaka
fog bound	kohare_xvArA_huI_pareSAnI
fog horn	kohare_kI_sUcanA_xene_kA_sAyarana
fog lamp	kohare_meM_iswemAla_karane_ke_liye_wejZa_roSanI
fog light	kohare_meM_iswemAla_karane_ke_liye_wejZa_roSanI
foggiest idea	mAlUma_na_honA
folding chair	mudZane_vAlI_kursI
folding door	PoldiMga_xaravAjZA
folding ratio	valana_anupAwa
folk art	loka_kalA
folk ballad	lokagAWA_gIwa
folk dance	loka_nqwya
folk memory	purAnI_yAxeM
folk singer	loka_gAyaka
folk song	loka_gIwa
folk tale	loka_kaWA
follow in sbs footsteps	paxacihnoM_para_calanA
follow suit	vahI_karanA
follow the crowd	sabake_sAWa_honA
follow up	anuvarwana
following factors contributed to insatisfactory working	asaMwoRajanaka_kAryacAlana_meM_nimnaliKiwa_kAraNoM_kA_yoga_WA
font cartridge	PAnta_kAtrija
font downloader	PAnta_aBiBAraka
font family	PAnta_parivAra
font smoothering	PAnta_pariRkaraNa
font substitution	PAnta_prawirUpaNa
food additive	AhAra_yojya
food aid	KAxya_sahAyawA
food allowance	AhAra_BawwA
food and agricuture division	KAxya_Ora_kqRi_praBAga
food and nutrition board	KAxya_Ora_poRapra_borda
food and supplies and consumer affairs	KAxya_pUrwi_evaM_upaBokwA_kArya_
food articles	KAxya_paxArWa
food brand	KAxya_paxArWa_kA_baWaurEnda
food cache	KAne_kA_gupwa_BaMdAra
food chain	jIvoM_kA_krama_jisameM_ewaka_xUsare_ko_KAwA_hE
food color	KAxya_raMga
food coloring	KAxya_paxArWoM_kA_raMga
food company	KAxya_kampanI
food controller	KAxya_niyaMwraka
food corporation of india	BArawIya_KAxya_nigama
food elevator	anna_BaMdAra
food fermentation and forest products department	KAxya_kiprvana_Ora_vana_upaja_viBAga
food fermentation department	KAxya_kiprvana_viBAga
food inspector	KAxya_nirIkRaka
food loans	KAxya_qNa
food poisoning	KarAba_KAnA_KAne_se_huI_bImArI
food processing	KAxya_saMsAXana
food processor	sAga-sabjI_kAtane_kI_maSIna
food shortage	KAxyapaxArWoM_kI_kamI
food stamp	rASana_kArda
food stuff	Bojana-sAmagrI
food supply inspector	KAxya_pUrwi_nirIkRaka
foodgrains inspector	KAxyA_Ana_nirIkRaka
foodgrains production drive department	KAxyA_Ana_uwpAxana_aiBayAna_viBAga
foodscape sheet	PUlaskepa_kAgZajZa
foot board	pAyaxAna
foot brake	pEra_para_niyanwraNa
foot march	paxa_yAwrA
foot note	pAxa_tippaNI
foot patrol parties	pExala_gaSwI_xala
foot print expert	paxa_CApa_viSeRajFa
foot rot	Kuragalana
foot stool	pAzva_raKane_kI_cOkI
football coach	PutabAla_koca
football match	PutabAla_mEca
football pool	PutabAla_Kela_sambanXI_juA
football team	PutabAla_tIma
for a great while	bahuwa_xera_waka
for a little while	WodZe_samaya_waka
for a long while	laMbe_samaya_waka
for a song	saswe_meM
