ANSI system	ena_sI_(e_ena_esa_AI_)_praNAlI
message circuit noise	saMxeSa_paripaWa_rava
message circuit	saMxeSa_paripaWa
message control flag	saMxeSa_niyaMwraNa_pawAkA
message data set	saMxeSa_AMkadZA_samuccaya
message display console	saMxeSa_praxarSa_kansola
message error record	saMxeSa_wruuti_aBileAKa
message exchange	saMxeSa_vinimaya
message field	saMxeSa_kRewra
message format	saMxeSa_saMrUpa
message handling service	saMxeSa_niyaMwraNa_sevA
message handling system	saMxeSa_niyaMwraNa_praNAlI
message header	saMxeSa_praveSikA
message logging	saMxeSa_saMleKana
message mode	saMxeSa_viXA
message numbering	saMxeSa_aMkana
message passing	saMxeSa_preRaNa
message polling	saMxeSa_kramavaraNa
message processing program	saMxeSa_prakramaNa_kramAxeSa
message queue	saMxeSa_paMkwi
message routing	saMxeSa_anumArgaNa
message sequence number	saMxeSa_anukrama_saMKyA
message service	saMxeSa_sevA
message source	saMxeSa_srowa
message switch	saMxeSa_svica
message switching centre	saMxeSa_svicana_kenxra
message switching network	saMxeSa_svicana_netavarka
message switching	saMxeSa_svicana
message system	saMxeSa_praNAlI
message telecommunication	saMxeSa_xUrasaMcAra
message text	saMxeSa_pATa
message transfer agent	saMxeSa_aMwaraNa_aBikarwA
message transfer part	saMxeSa_aMwaraNa_BAga
messenger boy	saMxeSa_vAhaka
meta assembler	aXikodAMwaraka
meta compilation	aXi_anuBARaNa
meta compiler	aXi_anuBARaka
meta language	mahABARA
metal detector	XAwu_Kojaka
metal drum	XAwu_kA_drama
metal fatigue	XAwu_kamajorI
metal worker	XAwu_kA_kAma_karane_vAlA
metalled road	pakkI_sadZaka
metallic bond	XAwu_sambanXa
metallic element	XAwvika_wawva
metallic facility terminal	XAwvika_suviXA_tarminala
metallic money	XAwu_muxrA
metallic reserve	XAwu_rijarva
metallurgical engineer	XAwu_vijFAna_kA_iMjIniyara
metalworking machine	XAwu_kA_kAma_karane_kI_maSIna
meteorological assistant	mOsama_sahAyaka
meteorological conditions	mOsama_saMbanXI_hAlAwa
meteorological department	mOsama_vijFAna_viBAga
meteorological observatory	mOsama_prekRaprAlaya
meteorological observer	mOsama_prekRaka
meter inspector	mItara_nirIkRaka
meter mechanic	mItara_mekEnika
meter reader	mItara_vAcaka
meter repairer	mItara_mi_iwrI
meter testing superintendent	mItara_parIkRaNa_aXIkRaka
metering software	mApana_sOYPtaveyara
method of accounting	leKA_viXi
method of computation of profitability	lABa_aiBakalana_viXi
methods of operations	paricAlana_praprAliyAM
methods study	kAryaviXi_aXyayana
metropolitan area	mahAnagara_kRewra
metropolitan centres	mahAnagarIya_kenxra
metropolitan clearing house	mahAnagarIya_samASoXana_gqha
metropolitan council department	mahAnagara_pariRax_viBAga
metropolitan council	mahAnagara_pariRax
mica mines labour welfare fund advisory committee	aBa_aka_KAna_Srama_kalyANa_niXi_salAhakAra_samiwi
micro chip	sUkRma_cipa
micro code	mAikro_kUta
micro computer specialist	mAikro_kaMpyUtara_viSeRajFAmpalq
micro controller	mAikro_niyaMwraka
micro economics	vyiRta_arWaSA_Awra
micro electronics	mAikro_cakra
micro instruction	mAikro_anuxeSa_anukrama
micro kernel	mAikro_aRTi
micro organism	sUkRma_jIva
micro scheduler	mAikro_anusUcaka
micro segmentation	mAikro_KaMdIkaraNa
micro\
microbiologist department	sUkRmajIvavijFAna_viBAga
microcircuit isolation	mAikro_paripaWa_vilagana
microcom networking protocol	mAikro_netavarkiMga_protokOYla
microcomputer component	mAikro_kaMpyUtara_Gataka
microcomputer development system	mAikro_kaMpyUtara_vikAsa_waMwra
microcomputer network protocols	mAikro_netavarka_protokOYla
microcomputer word processing	mAikro_kaMpyUtara_Sabxa_saMsAXana
microform reader copier	mAikro_rUpa_pATaka_prawilipaka
microform reader printer	mAikroPOYrma_pATaka_priMtara
microform reader	mAikro_rUpa_pATaka
microinstruction sequence	mAikro_anuxeSa_anukrama
microprocessing unit	mAikroprosesara_ekaka
microprocessor analyzer	sUkRma_saMsAXiwra_viSleRaka
microprocessor architecture	mAikro_saMsAXiwra_vAswukalA
microprocessor bit slice	sUkRma_saMsAXiwra_bita_kawalI
microprocessor chip	mAikroprosesara_cipa
microprocessor compiler	mAikro_saMsAXaka_anuBARaka
microprocessor memory interface	mAikro_saMsAXaka_smqwi_aMwarApqRTa
microprogram control logic	sUkRmakramAxeSI_niyaMwraNa_warka
microprogram control store	sUkRmakramAxeSI_niyaMwraNa_BaMdAra
microprogram field	sUkRmakramAxeSI_kRewra
microprogram instruction set	sUkRmAxeSI_anuxeSa_samuccaya
microprogram microassembler	sUkRmAxeSa_sUkRma_kodAMwaraka
microprogram microcode	sUkRmAxeSa_sUkRma_kUta
microprogram sequencer	sUkRmAxeSa_anukramaka
microprogram store	sUkRmAxeSa_BaMdAra
microprogrammed microprocessor	sUkRma_progrAmiwa
microsoft network	mAikrosOYPta_jAlakrama
microsoft windows	mAikrosOYPta_vindojZa
microwave antenna	sUkRma_waraMga_entenA
microwave link	mAikro_waMraga_kadZI
microwave linkers	sUkRma_waraMga_SrqMKalaka
microwave propagation	sUkRma_waraMga_saMcaraNa
microwave radio signal	sUkRma_waraMga_rediyo_saMkewa
microwave radio	sUkRma_waraMga_rediyo
microwave receiver	sUkRma_waraMga_aBigrAhI
microwave transistors	sUkRma_waraMga_trAMjistara
microwave tubes	sUkRma_waraMga_nalikA
mid day meal	maXyAMwara_AhAra
mid range	maXyama_SreNI_kA
mid term appraisal	maXyAvaXi_mUlyAMkana
mid term correction	maXyAvaXi_saMSoXana
mid term	sawra_ke_bIca_meM
midas touch	hara_kAma_se_PAyaxA_honA
middle age	maXyakAla
middle aged	prODZa
middle ages	maXya_kAla
middle class index	maXya_varga_sUcakAMka
middle class	maXya_SreNI
middle distance	bIca_kI_xUrI
middle ear	bIca_kA_kAna
middle east	maXya_pUrva
middle income group	maXya_Aya_varga
middle line	maXya_reKA
middle man	xalAla
middle management	maXya_prabaMXana
middle price	maXya_mUlya
middle punch	maXyama_Cixra
middle rate of exchange	vinimaya_kI_maXyavarwI_xara
middle school	midila_skUla
middleware software	maXyaveyara_sOYPtaveyara
middy blouse	lambI_skarta_kA_blAUjZa
midwifery tutor	prasUwi_anuSikRaka
might and main	pUrI_Sakwi_se
migration certification	pravAsa_pramANapawra
migration of capital	pUMjI_kA_xeSAMwaraNa
migration of labour	Sramika_pravasana_aWAnAMwaraNa
migration officer	pravAsa_aXikArI
migration path	pravAsana_paWa
migratory character	pravAsana_aWAnAMwaraNa_pravqwwi
mike operator	mAika_pracAlaka
milch cattle scheme	xuXArU_paSu_yojanA
mild pain	mITA_xarxa
mild steel	narama_ispAwa
mileage allowance	mIla_BawwA
miles per hour	xUrI_prawi_GantA
military academy	senA_akAxamI
military action	sEnika_kAryavAhI
military assault	sEnika_xvArA_hamalA
military attache	senA_se_judZA_huA
military band	sEnya_vAxya
military base	senA_kA_ASraya
military blockade	POjI_nAkAbaMxI
military campaign	senA_kA_abiyAna
military capability	senA_kI_sAmarWya
military censorship	sEnya_niyaMwraNa
military ceremony	sEnya_samAroha
military chaplain	senA_kA_pAxarI
military commission	senA_Ayoga
military control	senA_niyanwraNa
military credit note	sEnika_jamApawra
military drill	pUrNa_sEnika_SikRA
military engineer	sEnika_iMjIniyara
military engineering service	sEnika_iMjIniyarI_sevA
military estate officer	senA_saMpaxA_aXikArI
military expedition	POjI-aBiyAna
military force	sEnika_bala
military lands and contonments directorate	sEnika_BUmi_Ora_CAvanI_nixeSAlaya
military mission	POjI-kAryavAhI
military network	senA_jAla
military officer	senA_aXikArI
military operation	POjI-kAryavAI
military pay allowance	sEnika_vewana_Ora_BawwA
military police	senA_pulisa
military secretary of the president	rARtrapawi_kA_sEnika_saciva
military service	sEnika_sevA
military treasure remittances	sEnika_koRa_preRapra
militia accounts section	miliSiyA_leKA_anuBAga
milk bonnet	saPexatopa
milk can	xUXa_kA_dibbA
milk chocolate	milka_cAkaleta
milk colletion and chilling centre	xugXa_saMgraha_waWA_xruwaSIwana_kenxra
milk dispenser	xugXa_viwaraka
milk supply scheme	xugXa_pUrwi_yojanA
milky way	AkASa_gaMgA
mill agent	mila_prawiniXi
miller machinist	ixasAWa_maSIna_mi_iwrI
milling of paddy	XAna_ko_xalanA_FapIsanAta
millwright inspector	milarAita_nirIkRaka
mimosa bush	mimosA_JAdZI
mind your own business	apane_kAma_se_kAma_raKo
mine disposal	KZAna_kA_nipatArA
mineral development board	Kanija_vikAsa_borda
mineral dressing	Kanija_KAxa
mineral fuel	Kanija_WaMXana
mineral oil	Kanija_wela
mineral ore	Kanija_ayaska
mineral resources	Kanija_saMsAXana
mineral technologist	Kanija_SilpavijFAnI
mineral technology laboratory	Kanija_SilpavijFAna_prayogaSAlA
minerals and metals trading coporation	Kanija_waWA_XAwu_vyApAra_nigama
mini bar	CotA_SarAbaKAnA
minicomputer assembler	laGukaMpyUtara_kodAMwaraNa
minicomputer sales	minI_kampyUtara_kI_bikrI
minicoy light house	minikAya_prakASa_swa_aBa
minifloppy disk	laGu_PlopI_diska
minimal kernel	alpiRTa_karnala
minimal machine	alpiRTa_yaMwra
minimal product	alpiRTa_guNanaPala
minimal sum	alpiRTa_yogaPala
minimal tree	alpiRTa_warU
minimax algorithm	minimEksa_elgoriWama
minimax procedure	alpamahiRTa_kriyAviXi
minimum access coding	nyUnawama_aBigama_kUtaleKana
minimum call pay	nyUnawama_hAjirI_vewana
minimum capital requirements	nyUnawama_pUMjIgawa_AvaSyakawAeM
minimum comfort level	nyUnawama_ArAma_swara_auviXA_swara
minimum cost spanning tree	nimnawama_lAgawa_viwAna_warU
minimum delay programming	alpawama_vilaMba_kramAxeSana
minimum distance code	alpa_xUrI_koda
minimum holdings	nyUnawama_jowa
minimum involvement	nyUnawama_yogaxAna_aoga
minimum latency coding	alpawama_prasUpwi_kUtaleKana
minimum living wage	nyUnawama_nirvAha_majaxUrI
minimum margin	nyUnawama_mArjina
minimum pay	nyUnawama_vewana
minimum price	nyUnawama_kZImawa
minimum qualification	nyUnawama_yogyawA
minimum re sale price	nyUnawama_punarvikraya_kImawa_aUlya
minimum recovery performance	nyUnawama_vasUlI_niRpAxana_aArya
minimum reserve	nyUnawama_prArakRiwa_niXi
minimum seek time order	nyUnawama_Koja_kAlakrama
minimum subscription	nyUnawama_aBixAna
minimum support price	nyUnawama_samarWana_kImawa_aUlya
minimum taxable limit	nyUnawama_karayogya_sImA
minimum wage legislation	nyUnawama_majaxUrI_viXAna
minimum wage	nyUnawama_majaxUrI
minimum wages act	nyUnawama_majaxUrI_aXiniyama
minimum wages inspector	nyUnawama_majZaxUrI_nirIkRaka
minimum wages	nyUnawama_majZaxUrI
mining and quarrying	Kanana_Ora_uwKanana
mining company	KAna_kampanI
mining engineer	KAna_iMjIniyara
mining machinery	KAna_waMwra
mining officer	Kanana_aXikArI
mining project	Kanana_pariyojanA
minister envoy	maMwrI_xUwa
minister of state	rAjya_maMwrI
minister without portfolio	nirviBAga_maMwrI
ministerial staff	lipikavarrgIya_karmacArI
ministrial establishment	lipika_vargIya_karmacArI_sWApanA
ministrial govt servant	lipika_vargIya_sarakArI_karmacArI
ministry money	manwrAlaya_kA_Xana
ministry of agriculture	kqRi_maMwrAlaya
ministry of atomic energy	paramApru_UrjA_maMwrAlaya
ministry of civil aviation tourism	nAgara_vimAnana_Ora_paryatana_maMwrAlaya
ministry of commerce	vAprijya_maMwrAlaya
ministry of communication	saMcAra_maMwrAlaya
ministry of defence	rakRA_maMwrAlaya
ministry of education and social welfare	SikRA_Ora_samAja_kalyANa_maMwrAlaya
ministry of education and youth services	SikRA_Ora_yuvaka_sevA_maMwrAlaya
ministry of electronics	ilektrOYnikI_maMwrAlaya
ministry of energy	UrjA_maMwrAlaya
ministry of environment and forests	paryAvaraNa_Ora_vana_maMwrAlaya
ministry of external affairs	vixeSa_maMwrAlaya
ministry of finance have accepted the mistake	viwwa_maMwrAlaya_ne_BUla
ministry of finance	vwwi_maMwrAlaya
ministry of food and civil supplies	KAxya_Ora_nAgarika_pUrwi_maMwrAlaya
ministry of food processing industries	KAxya_saMsAXana_uxyoga_maMwrAlaya
ministry of foreign trade and supply	vixeSa_vyApAra_Ora_pUrwi_maMwrAlaya
ministry of health and family welfare	svAsWya_Ora_parivAra_kalyANa_maMwrAlaya
ministry of health	svAsWya_maMwrAlaya
ministry of home affairs	gqha_maMwrAlaya
ministry of human resource development	mAnava_saMsAXana_vikAsa_maMwrAlaya
ministry of industrial development and company affairs	Oxyogika_vikAsa_waWA_kaMpanI_kArya_maMwrAlaya
ministry of industry	uxyoga_maMwrAlaya
ministry of information and broadcasting	sUcanA_Ora_prasAraNa_maMwrAlaya
ministry of labour	Srama_maMwrAlaya
ministry of law and justice	viXi_Ora_nyAya_maMwrAlaya
ministry of ocean development	mahAsAgara_vikAsa_maMwrAlaya
ministry of parliamentary affairs	saMsaxIya_kArya_maMwrAlaya
ministry of personnel public grievances pensions	kArmika
ministry of petroleum and natural gas	petroliyama_Ora_prAkqwika_gEsa_maMwrAlaya
ministry of planning	yojanA_maMwrAlaya
ministry of programme implementation	kAryakrama_kAryAnvayana_maMwrAlaya
ministry of railways	rela_maMwrAlaya
ministry of science and technology	vijFAna_Ora_prOxyogikI_maMwrAlaya
ministry of shipping and transport	jahAjZarAnI_waWA_parivahana_maMwrAlaya
ministry of space	aMwarikRa_maMwrAlaya
ministry of steel and mines	ispAwa_Ora_KAna_maMwrAlaya
ministry of surface transport	BUwala_parivahana_maMwrAlaya
ministry of textiles	va_awra_maMwrAlaya
ministry of tourism	paryatana_maMwrAlaya
ministry of transport	parivahana_maMwrAlaya
ministry of transportation test	purAne_motara_vAhanoM_kA_anivArya_parIkRaNa
ministry of urban development	SaharI_vikAsa_maMwrAlaya
ministry of water resources	jala_saMsAXana_maMwrAlaya
ministry of welfare	kalyANa_maMwrAlaya
minivan sales	CotI_gAdI_kI_bikrI
mink coat	minka_kota
minor account	avayaska_aAbAliga_KAwA
minor axis	sUkRma_akRa
minor declaration	nAbAliga_avayaska_xoRaprA
minor device	laGu_yukwi
minor estimate	laxu_anumAna
minor forest produce officer	laxuvana_upaja_aXikArI
minor head	gONa-SIrRa
minor industry	laxu_uxyoga
minor irregularities	CotI_IAmUlI_aniyamiwawAeM
minor irrigation project	laxu_siMcAWa_pariyojanA
minor irrigation	laxu_siMcAWa
minor league	laGu_saMGa
minor oscillation	WodZA_sA_uwAra_caDZAva
minor works	Cote_nirmANa_kArya
minority candidate	alpasaMKyaka_ummIxavAra
minority capital participation	AXe_se_kama_Seyara_honA
minority commission	alpasaMKyaka_Ayoga
minority employee	alpasaMKyaka_karmacArI
minority on line information service	alpasaMKyka_yugapawa_sUcanA_sevA
minority representation	alpamawa_prawiniXiwva
minority representetion	alpamawa-prawiniXiwva
mint candy	puxIne_kI_kEMdI
mint furnace	takasAla_BatTI
mint par of exchange	muxrA_vinimaya_kI_takasAla_xara
mint price of gold	sone_kI_takasAla_kImawa
mint superintendent	takasAla_aXIkRaka
minus balance	qNa_SeRa
minus debit	qNa_debita
minus entry	qNa_praviiRta_aMxarAja
minus flag	qNa_pawAkA
minus zone	qNa_kRewra
minute book	kArya_vivaraNa_paMjikA
minutes book	kAryavqwwa-puswaka
mirror account	prawirUpa_leKA
mirror carp	xIrGa_Salka_SaPara
mirror site	xarpaNa_sWala
mirrored disks	prawibimbiwa_diska
mirrored partition	prawibimbiwa_viBAjana
mis planner	prabaMXana_sUcanA_sevA
mis utilization	xurupayoga
misappropriate amount	xurviniyukwa_rASi
misappropriation of cash	rokadZa_kA_xurviniyojana
misappropriation of funds	niXiyoM_kA_xurviniyojana
misappropriation of money	Xana_xurviniyojana
miscellaneous account	viviXa_leKA
miscellaneous deposits	viviXa_jamA
miscellaneous documents	viviXa_xaswAveja_aAgajAwapraleKa
miscellaneous expenditure	viviXa_Karca
miscellaneous expenses	viviXa_vyaya
miscellaneous receipts	viviXa_prApwiyAz
miscellaneous time	viviXa_kAla
miscelleneous clerk	viviXa_kArya_lipika
mischief making	SEwAnI_karanA
misleading statement	Ba_aAmaka_bayAna
missing disk block	lupwa_diska_KaMda
missionary zeal	va_awa_BAva
misstatement of facts	waWyoM_kI_gZalawabayAnI
mistake apparent from record	aiBaleKa_se_prakata_BUla
mite box	aMSa_xAna_petI
mitre box	biSapa_topa_raKane_kA_dibbA
mix up	asamaMjasa_meM_padZanA
mixed banking system	miSra_aiSriwa_bEMkiMga_praprAlI
mixed banking	miSra_aiSriwa_bEMkiMga
mixed bud	miSriwa_kalI
mixed crop	miSriwa_PZasala
mixed drink	miSriwa_peya
mixed economy	miSriwa_arWavyavasWA
mixed farming	miSriwa_ailI_julI_KewI_IqRi
mixed radix notation	miSriwa_mUlAMka_aMkana_paxXawi
mixed shipment	miSriwa_powa_laxAna
mixing bowl	kuCa_cIjZa_milAne_kA_katorA
mmagnetic core	cuMbakIya_kora
mnemonic address	smaraka_pawA
mnemonic name	smaraka_nAma
mnemonic symbol	smaraka_prawIka
mobile canteen	cala_jalapAna_gqha
mobile computing	cala_aBikalana
mobile health unit	cala_svAsWya_yUnita_akAWa
mobile home	kAravAz
mobile labour	cala_Sramika_aajZaxUra_gawiSIla_Sramika
mobile library	cala_puswakAlaya
mobile office	calawA_PirawA_kAryAlaya
mobile patrol parties	calawe_Pirawe_gaSwI_xala
mobile phone	cala_xUraBARa
mobile squad inspector	calaxaswA_nirIkRaka
mobile squad	cala_xaswA
mobile users	mobAila_upayokwA
mobile worker	gawiSIla_kAmagAra
mobilisation of capital	pUMjI_jutAnA
mobilisation of deposits	jamArASiyoM_kA_saMgrahaNa
mobilisation of manpower	Srama_Sikwa_aana_bala_saMxa
mobility of labour	Srama_gawiSIlawA
mobilization of resources	saMsAXana_jutAnA
mocking bird	nakalacI_cidZiyA
mod cons	AXunika_suviXAez
mode of adjustment	samAyojana_viXi
mode of dispatch of	preRaNa_prakAra
mode of farming	KewI_kI_paxXawi
mode of payment	BugawAna_kI_rIwi
mode of production	uwpAxana_rIwi
mode of promotion	paxonnawi_kI_rIwi
model building	AxarSa_aamUnA_Bavana
model class	AxarSa_varga
model estimation	mOYdala_AMkalana
model limitation	mOYdala_parisImA
model room supervisor	prawirUpa_kakRa_paryavekRaka
model selection	mOYdala_cunAva
model statement	nixarSa_kaWana
modeless editor	viXi_rahiwa_saMpAxaka
modelling teacher	prawirUpaNa_SikRaka
modem bank	mOYdama_bEMka
modem encryption device	mOYdama_gUDZaleKana_yukwi
modem(modulator demodulator)	mOYdama
moderate breeze	sAmAnya_havA
moderate means	sAXAraNa_sAXana
modern ballet	AXunika_narwaka_maNdalI
modern turnaround time	mOYdema_prawyAvarwana_avaXi
modernisation of industry	uxyoga_kA_AXunikIkaraNa
modernization effort	AXunikaraNa_prayAsa
modification level	Aparivarwana_swara
modified provisions	ASoXiwa_upabaMXa_arAvaXAna
modifier bit	Aparivarwaka_bita
modifier register	Aparivarwaka_paMjI
modify instruction	Aparivarwana_anuxeSa
modular approach	mOYdayUlara_xqRtikoNa
modular counter	mApAMka_gaNaka
modular expansion	mOYdayUlara_viswAra
modular programming	mOYdayUlara_progrAmana
modulation method	mOYdayUlana_viXi
modulation rate	mOYdulana_xara
modulator demodulator	mOYdulaka_vimAdulaka
modulator programming	prawirUpaka_kramAxeSana
module architecture	mOYdayUla_saMracanA
module diagram	mOYdayUla_reKAciwra
module loader	mOYdayUla_BAraka
module specification	prawirUpaka_vinirxeSa
modus operandi	kArya_praNAlI
molasses cookie	SIrA_biskuta
molecular computing multimedia network	ANvika_aBikalana_maltImIdiyA
molecular computing multimedia networking	ANvika_aBikalana_maltImIdiyA
molotov Cocktail	bowala_meM_petrola_Bara_kara_banAyA_visPotaka
molotov cocktail	bowala_meM_petrola_Bara_kara_banAyA_visPotaka
momentary contact	wAwkAlika_saMparka
monery measurement	Xana_mApana
monetary adjustment	mOxrika_samAyojana
monetary adjustments	xrava_arWika_samAyojana_aOxrika_samAyojana
monetary area	muxrA_kRewra
monetary authority	muxrA_prAXikArI
monetary contraction	muxrA_saMkucana
monetary crisis	muxrA_saMkata
monetary economy	muxrA_arWa_vyavasWA
monetary expansion	muxrA_prasAra
monetary factors	muxrAgawa_kAraka_aawva
monetary gold	mOxrika_svarNa
monetary grant	ArWika-anuxAna
monetary institutions	mOxrika_saMsWAeM
monetary limit	ArWika-sImA
monetary policy	muxrA_nIwi
monetary pressure	xrava_kI_BArI_mAMga
monetary problems	muxrA_samasyAeM
monetary reforms	mOxrika_suXAra
monetary reserve	prArakRiwa_muxrA_niXi
monetary resources	muxrAgawa_sAXana
monetary stability	muxrA_sWirawA
monetary standard	muxrA_mAna
monetary system	muxrA_praprAlI
monetary unit	mOxrika_ikAWa
monetization of debt	qNa_kA_muxrIkaraNa
money Bank	gullaka
money Man	XanI
money allotment	muxrA_Aravya_kA_AvaMtana
money at call and short notice	mAMga_Ora_alpa_sUcanA_para_xeya_rASi
money back policy with profits	prawyASiwa_avaXi_XanAgama_pAlisI_lABasahiwa
money bag	batuA
money bags	pEse_Bare_WEle
money bill	Xana_viXeyaka
money bills	Xana_viXeyaka
money box	Xana_raKane_kA_dibbA
money capital	muxrA_Aravya_pUMjI
money changer	muxrA_parivarwaka
money columns	rakama_ke_KAne
money cost of production	uwpAxana_kI_xravya_lAgawa
money due on mortgage	baMXaka_para_xeya_Xana_aravya
money due	pEse_kA_hissA
money earning	muxrA_rUpa_kamAWa
money flow	xravya_pravAha
money in circulation	saMcalanagawa_muxrA
money laundering case	kAle_Xana_sambanXiwa_mukaxamA
money laundering charge	kAlA_Xana_Aropa
money laundering investigation	kAle_Xana_kI_jAMca
money laundering law	kAlA_Xana_kA_viXi
money laundering operations	kAlA_Xana_vyApAra
money laundering	kAle_Xana_ko_vEXa_banAnA
money lender	sAhUkAra
money lending	sAhUkArI
money machine	pEse_kI_maSIna
money market account	muxrAbAjAra_KAwA
money market chart	muxrAbAjZAra_kA_cArta
money market deposit	muxrAbAjZAra_kI_jamA_rASi
money market savings account	muxrAbAjAra_bacawa_KAwA
money market	muxrA_bAjAra
money order clerk	manIOYrdara_klarka
money order issue clerk	manIOYrdara_nirgama_klarka
money order paid clerk	manIOYrdara_BugawAna_klarka
money order	XanAxeSa
money problem	pEse_kI_samasyA
money rate	muxrA_xara
money shortage	pEse_kA_aBAva
money stock	muxrApUrwi
money supply with the public	janawA_ke_pAsa_muxrA_upalabXi_iuxrA_pUrwi
money talks	pEse_kI_carcA
money value	muxrA_mUlya
money wage rate	nakaxa_majaxUrI_xara
money wage	nakZaxa_majZaxUrI
money woe	pEse_kA_saMkata
monic polynomial	ekawva_meM_anekawva
monitor console	mOYnitara_kansola
monitor printer	mOYnitara_muxraka
monitor program	mOYnitara_progrAma
monitor response curve	mOYnitara_anukriyA_vakra
monitor unit	mOYnitara_ekaka
monitoring and information system	parivIkRaNa_Ora_sUcanA_paxXawi
monitoring department	mAEYnItarana_viBAga
monitoring field reliability	mOYnitara_PIlda_viSvanIyawA
monitoring of programs	kramAxeSana_mOYnitarana
monitoring organization central directorate	manItarana_saMgaTana_keMxrIya_nixeSAlaya
monitoring organization	mAEYnItarana_saMgaTana
monitoring program	mOYnitarana_kramAxeSa
monitoring technician	mAEYnItarana_wakanISiyana
monkey bread	baMxara_ko_KilAne_kI_dabalarotI
monkey bridge	pula_kA_nAma
mono attendant	mono_paricara
mono caster	mono_DalAWakAra
mono cropped	eka_PZasalI
mono key board operator	mono_kuMjI_patala_pracAlaka
mono mechanic	mono_mekEnika
mono operator	mono_OYparetara
mono programming	ekala_prowagrAmiMga
monolithic integrated circuit	ekAXAra_ekIkqwa_paripaWa
monolithic storage	ekAXAra_BaMdAraNa
monolithic technology	ekAAXAra_prOxyogikI
monopolies and restrictive trade practices commission	ekAXikAra_Ora_prawibaMXiwa_vyApAra_Ayoga
monopoly board	Kela_pata
monopoly control	ekAXikAra_niyaMwraNa
monopoly money	ekAXipawya_Xana
monopoly price	ekAXikAra_mUlya
monopoly procurement of cotton	kapAsa_kI_ekAXikAra_vasUlI
monopoly revenue	ekAXikAra_rAjasva
monospace font	ekala_sWala_POYnta
monostable multivibrator	ekasWiwika_bahukaMpiwra
monostable trigger circuit	ekasWiwika_parivarwaka_paripaWa
monotype caster	monotAipa_DalAWakAra
monotype learner	monotAipa_SikRArWIr
month long	mahIne_Bara
month to month	mAsAnumAsa
monthly abstract	mAsika_sAra
monthly arrears statement	bakZAyA_mAsika_vivaraNa
monthly progress report	mAsika_pragawi_riporta
monthly statement	mAsika_vivaraNa
monthly summary	mAsika_sArAMSa
monthly tour diary	mAsika_xOrA_dAyarI
monthly trial balance	mAsika_SeRa_parIkRaNa
monthly work report	mAsika_kArya_riporta
mooch about	binA_uxxeSya_ke_iXara_uXara_GUmanA
moon beam	canxrakiraNa
moon blind	niSAnXA
moon flower	canxrakAnwi
moon shot	caMxramA_ke_ciwra
moonless night	amAvasa_kI_rAwa
moonlit night	cAzxinI_rAwa
mop up	saPAyA_kara_xenA
moral obligation	nEwika_xAyiwva
moral turpitude	nEwika_aXamawA
morale booster	nEwika_vqxXi
morale builder	manobala_banAne_vAlA
morale building	nEwika_bala_banAnA
moratorium period	aXisWagana_avaXi
more affluent sections of society	samAja_ke_jyAxA_amIra_loga
more often than not	jZyAxAwara
more or less	lagaBaga
more over	isake_awirikwa
more than a little	bahuwa
more than	se_aXika
morgue supervisor	murxAxara_paryavekRaka
mority table	mqwyu_saMKyA_sAriNI
morning class	subaha_kI_kakRA
morning coat	prAwa:kAlIna_pahanane_kA_kota
morning dress	prAwaHkAlIna_vaswra
morning paper	samAcAra_pawra
morning prayer	prAwaHkAlIna_ArAXanA
morning room	prAwaHkAla_bETane_kA_kakRa
morning sickness	ultI{garBaXAraNa_kI_sWiwi_meM}
morning star	praBAwa_wArA
morphophonemic system	saMXi_vyavasWA
morse code	morsa_koda
morse signaller	morsa_siganalara
mortal enemy	GAwaka_Sawru
mortality rate	mqwyu_xara
mortality table	mqwyu_saMKyA_sAriNI
mortgae debt	baMXaka_qNa
mortgage application	giravI_nivexana_pawra
mortgage bank	baMXaka_bEMka
mortgage by conditional sale	saSarwa_bikrI_baMXaka
mortgage by deposit of title deeds	svawva_vileKa_ke_nikRepa_xvArA_baMXaka
mortgage collateral	saMpArSvika_baMXaka
mortgage debenture bond	baMXaka_dibeMcara_bAMda
mortgage debenture	baMXaka_dibeMcara
mortgage deed	baMXaka_pawra
mortgage encumbrance	baMXaka_BAra
mortgage forms	baMXakiwa_prapawra
mortgage holder	baMXakaXArI
mortgage indebtedness	baMXaka_qNagraswawA
mortgage lease	baMXaka-pattA
mortgage money	baMXaka_Xana
mortgage of bond	baMXaka_dibeMcara_bAMda
mortgage of properties	saMpwwiyoM_kA_baMXaka
mortgage property	baMXaka_saMpwwi
mortgage redemption assurance policy without profits	baMXaka_vimocana_bImA_pAlisI_lABarahiwa
mortgage security company	baMXaka_prawiBUwi_iamAnawa_kaMpanI
mortgage security	baMXaka_prawiBUwi_iamAnawa
mortgaged property	baMXaka_sampwwi
mortor non commissioned officer	mortara_ohaxexAra
mortor position controller	mortara_pojISana_kaMtrolara
mortuary clerk	murxAxara_klarka
mortuary house	Savagqha
mosaic proof	kIdZAsaha
mosquito bite	macCara_kA_kAtA
most advantageous	sarvAXika_lABxAyaka
most confidential	parama_gopanIya
most distant	bahuwa_xUra_kA
most immediate	awi_wawkAla
most important	awi_mahawvapUrNa
most momentous	sarvAXika_mahwvapUrNa
most of the	jZyAxAwara
most ordinary	bilakula_sAXAraNa
most secret	awigupwa
most significant bit	sArWakawama_rxvi_aMka
most significant character	sArWakawama_saMprawIka
most urgent	awi_wuraMwa
