#_@Structure_@of_@the_@file:		
#@wrd	@paxasuwra	@source
# @Girl @standing @in @front @of @me ..		
##_@I_@was_@fond_@of_@her_@music.		
#@GOD	paramAwmA	@PADA
#@These_@are_@the_@people_@who_@most_@need_@our_@help.		
#@aBiyAna_->_@aBiyAna_@calAnA		
#@anybody	kisI~BI^koI~BI	@PADA
#@anything's	koI~BI{cIjZa~yA~kAma}	@SABDA
#@anything	koI~BI{cIjZa~yA~kAma}	@SABDA
#@drift's	bahanA{@vib:kA}	@SABDA
#@drift	bahanA{0}	@SABDA
#@drifted	bahanA~{@ed/@en}	@SABDA
#@drifting	bahanA~{@ing}	@SABDA
#@drifts'	bahanA{@s}{@vib:kA}	@SABDA
#@drifts	bahanA~{@s}	@SABDA
#@fond	pasanxa~honA2[-]	@SABDA
#@most	aXikawama	@PADA
#@nervous	vyagra^snAyavika[-]	@SABDA
#@nobody	koI~nahIM{0}	@SABDA
#@none	koI~nahIM	@SABDA
#@nothing	kuCa~BI~nahIM^SUnya{0}	@SABDA
#@retain	sWira~raKanA{0}	@SABDA
#@retained	sWira~raKanA~{@ed/@en}	@SABDA
#@retaining	sWira~raKanA~{@ing}	@SABDA
#@retains	sWira~raKanA~{@s}	@SABDA
#@some	kuCa^koI	@SABDA
#@standing	sWAI/prawiRTA[-]~{@ing}	@SABDA
#@urge's	preraNA[>preriwa~karanA]{@vib:kA}	@SABDA
#@urge	preraNA[>preriwa~karanA]{0}	@SABDA
#@urged	preraNA[>preriwa~karanA]~{@ed/@en}	@SABDA
#@urges'	preraNA[>preriwa~karanA]{@s}{@vib:kA}	@SABDA
#@urges	preraNA[>preriwa~karanA]~{@s}	@SABDA
#@urging	preraNA[>preriwa~karanA]~{@ing}	@SABDA
#@walking	pExala~calanA[-]~{@ing}	@SABDA
#@writing	liKAI	@PADA
binomials	xvipaxIya{@s}	@SABDA
binominal's	xvipaxIya{@vib:kA}	@SABDA
binominal	xvipaxIya{0}	@SABDA
binominals'	xvipaxIya{@s}{@vib:kA}	@SABDA
binominals	xvipaxIya{@s}	@SABDA
biodata	jIvanavqwwa	@Administration_@Glossary:@HARIRAM
biologic's	jIvavijFAna^saMbaMXI{@vib:kA}	@SABDA
biologic	jIvavijFAna^saMbaMXI-1[-]	@PADA
biological's	jIvavijFAna^saMbaMXI{@vib:kA}	@SABDA
biological	jIvavijFAna^saMbaMXI-2[-]	@PADA
biologicals'	jIvavijFAna^saMbaMXI{@s}{@vib:kA}	@SABDA
biologicals	jIvavijFAna^saMbaMXI{@s}	@SABDA
biologics'	jIvavijFAna^saMbaMXI{@s}{@vib:kA}	@SABDA
biologics	jIvavijFAna^saMbaMXI{@s}	@SABDA
bios	bOYyasa	@Operating-@System
bipartite	xvixalIya/xvipakRIya/uBayapakRI	@Administration_@Glossary:@HARIRAM
bird's	paMCI{@vib:kA}	@SABDA
bird	paMCI{0}	@SABDA
birds'	paMCI{@s}{@vib:kA}	@SABDA
birds	paMCI{@s}	@SABDA
birth's	janma{@vib:kA}	@SABDA
birth	janma{0}	@SABDA
birthday's	janmaxina{@vib:kA}	@SABDA
birthday	janmaxina{0}	@SABDA
birthdays'	janmaxina{@s}{@vib:kA}	@SABDA
birthdays	janmaxina{@s}	@SABDA
birthed	janma~{@ed/@en}	@SABDA
birthing	janma~{@ing}	@SABDA
births'	janma{@s}{@vib:kA}	@SABDA
births	janma~{@s}	@SABDA
bishop's	XarmAcArya{@vib:kA}	@SABDA
bishop	XarmAcArya{0}	@SABDA
bishops'	XarmAcArya{@s}{@vib:kA}	@SABDA
bishops	XarmAcArya{@s}	@SABDA
bist	honA	@SABDA
bisynchronous	xviwulyakAlika	@Electronics
bit	WodZA/kAtanA^pakadZanA~{@ed/@en}	@SABDA
bite's	kAtanA^pakadZanA{@vib:kA}	@SABDA
bite	kAtanA^pakadZanA{0}	@SABDA
bites'	kAtanA^pakadZanA{@s}{@vib:kA}	@SABDA
bites	kAtanA^pakadZanA~{@s}	@SABDA
biting	kAtanA^pakadZanA~{@ing}	@SABDA
bitten	kAtanA^pakadZanA~{@en}	@SABDA
bitter's	kadZuA/Gora{@vib:kA}	@SABDA
bitter	kadZuA/Gora{0}	@SABDA
bittered	kadZuA/Gora~{@ed/@en}	@SABDA
bittering	kadZuA/Gora~{@ing}	@SABDA
bitterly	kadZuvAhata~ke~sAWa	@SABDA
bitterness's	kadZuApana{@vib:kA}	@SABDA
bitterness	kadZuApana{0}	@SABDA
bitternesses'	kadZuApana{@s}{@vib:kA}	@SABDA
bitternesses	kadZuApana{@s}	@SABDA
bitters'	kadZuA/Gora{@s}{@vib:kA}	@SABDA
bitters	kadZuA/Gora~{@s}	@SABDA
bivalve's	samuxrI~janwu{GoMGA~Axi}{@vib:kA}	@SABDA
bivalve	samuxrI~janwu{GoMGA~Axi}{0}	@SABDA
bivalves'	samuxrI~janwu{GoMGA~Axi}{@s}{@vib:kA}	@SABDA
bivalves	samuxrI~janwu{GoMGA~Axi}{@s}	@SABDA
black's	kAlA^aprasanna{@vib:kA}	@SABDA
black	kAlA[baxanAma]~karanA{0}[-]	@SABDA
blacked	kAlA[baxanAma]~karanA~{@ed/@en}	@SABDA
blacken	kAlA[baxanAma]~karanA{0}	@SABDA
blackened	kAlA[baxanAma]~karanA~{@ed/@en}	@SABDA
blackening	kAlA[baxanAma]~karanA~{@ing}	@SABDA
blackens	kAlA[baxanAma]~karanA~{@s}	@SABDA
blacking	kAlA[baxanAma]~karanA~{@ing}	@SABDA
blackmail's	blEkamela~karanA{@vib:kA}	@SABDA
blackmail	blEkamela~karanA{0}	@SABDA
blackmailed	blEkamela~karanA~{@ed/@en}	@SABDA
blackmailer	blEkamela~karane~vAlA	@SHIVA
blackmailing	blEkamela~karanA~{@ing}	@SABDA
blackmails'	blEkamela~karanA{@s}{@vib:kA}	@SABDA
blackmails	blEkamela~karanA~{@s}	@SABDA
blackness	kAlApana	@FROMNET
blacks'	kAlA^aprasanna{@s}{@vib:kA}	@SABDA
blacks	kAlA[baxanAma]~karanA~{@s}	@SABDA
bladder	muwrASaya	@FROMNET
blade's	XAra`[<pawwI<KilanA]{@vib:kA}	@SABDA
blade	XAra`[<pawwI<KilanA]{0}	@SABDA
blades'	XAra`[<pawwI<KilanA]{@s}{@vib:kA}	@SABDA
blades	XAra`[<pawwI<KilanA]{@s}	@SABDA
blame's	xoRa`{@vib:kA}	@SABDA
blame	xoRa`{0}	@SABDA
blamed	xoRa~xenA~{@ed/@en}	@SABDA
blames'	xoRa`{@s}{@vib:kA}	@SABDA
blames	xoRa~xenA~{@s}	@SABDA
blaming	xoRa~xenA~{@ing}	@SABDA
blank's	KAlI^nirA{@vib:kA}	@SABDA
blank	KAlI^nirA[-]{0}	@SABDA
blanked	KAlI^nirA~{@ed/@en}	@SABDA
blanker	KAlI^nirA~{wara}	@SABDA
blankest	KAlI^nirA~{wama}	@SABDA
blanket's	kambala`{@vib:kA}	@SABDA
blanket	kambala`{0}	@SABDA
blanketed	kambala`~{@ed/@en}	@SABDA
blanketing	kambala`~{@ing}	@SABDA
blankets'	kambala`{@s}{@vib:kA}	@SABDA
blankets	kambala`~{@s}	@SABDA
blanking	KAlI^nirA~{@ing}	@SABDA
blanks'	KAlI^nirA{@s}{@vib:kA}	@SABDA
blanks	KAlI^nirA~{@s}	@SABDA
blast's	XamAkA`{@vib:kA}	@SABDA
blast	XamAkA`{0}	@SABDA
blasted	XamAkA`~{@ed/@en}	@SABDA
blasting	XamAkA`~{@ing}	@SABDA
blasts'	XamAkA`{@s}{@vib:kA}	@SABDA
blasts	XamAkA`~{@s}	@SABDA
bled	{KZUna}bahanA1^EMTanA~{@ed/@en}	@SABDA
bleed	{KZUna}bahanA1^EMTanA{0}	@SABDA
bleeding	{KZUna}bahanA1^EMTanA~{@ing}	@SABDA
bleeds	{KZUna}bahanA1^EMTanA~{@s}	@SABDA
bless	ASIrvAxa~xenA{0}	@SABDA
blessed	ASIrvAxa~xenA~{@ed/@en}	@SABDA
blesses	ASIrvAxa~xenA~{@s}	@SABDA
blessing	ASIrvAxa~xenA~{@ing}	@SABDA
blest	ASIrvAxa~xenA~{@ed/@en}	@SABDA
blew	PUzkanA[>udZanA]^XakkA[>GUzsA]~{@ed}	@SABDA
blinking	timatimAnA	@Graphical/@Multimedia-@System
blizzard	himawuPAna	@FROMNET
block's	KaNda`{badZA~capatA}^rodZA{@vib:kA}	@SABDA
block	KaNda`{badZA~capatA}^rodZA{0}	@SABDA
blockade's	nAkebaMxI{@vib:kA}	@SABDA
blockade	nAkebaMxI{0}	@SABDA
blockaded	nAkebaMxI~{@ed/@en}	@SABDA
blockades'	nAkebaMxI{@s}{@vib:kA}	@SABDA
blockades	nAkebaMxI~{@s}	@SABDA
blockading	nAkebaMxI~{@ing}	@SABDA
blocked	KaNda`{badZA~capatA}^rodZA~{@ed/@en}	@SABDA
blocking	KaNda`{badZA~capatA}^rodZA~{@ing}	@SABDA
blocks'	KaNda`{badZA~capatA}^rodZA{@s}{@vib:kA}	@SABDA
blocks	KaNda`{badZA~capatA}^rodZA~{@s}	@SABDA
blond's	gOra~varNa~Ora~sunahare~bAloMvAlA{@vib:kA}	@SABDA
blond	gOra~varNa~Ora~sunahare~bAloMvAlA[-]	@SABDA
blonde's	sunahare~bAloMvAlI~ladZakI{@vib:kA}	@SABDA
blonde	sunahare~bAloMvAlI~ladZakI{0}	@SABDA
blondes'	sunahare~bAloMvAlI~ladZakI{@s}{@vib:kA}	@SABDA
blondes	sunahare~bAloMvAlI~ladZakI{@s}	@SABDA
blonds'	gOra~varNa~Ora~sunahare~bAloMvAlA{@s}{@vib:kA}	@SABDA
blonds	gOra~varNa~Ora~sunahare~bAloMvAlA{@s}	@SABDA
blood's	KZUna[>vaMSa]{@vib:kA}	@SABDA
blood	KZUna[>vaMSa]{0}	@SABDA
blooded	KZUna[>vaMSa]~{@ed/@en}	@SABDA
blooding	KZUna[>vaMSa]~{@ing}	@SABDA
bloods'	KZUna[>vaMSa]{@s}{@vib:kA}	@SABDA
bloods	KZUna[>vaMSa]~{@s}	@SABDA
blouse	blAuJa	
blow's	PUzkanA[>udZanA]^XakkA[>GUzsA]{@vib:kA}	@SABDA
blow	PUzkanA[>udZanA]^XakkA[>GUzsA]{0}	@SABDA
blow-@off's	PUzkanA[>udZanA]^XakkA[>GUzsA]{@s}{@vib:kA}	@SABDA
blow-@off	PUzkanA[>udZanA]^XakkA[>GUzsA]{@s}	@SABDA
blowed	PUzkanA[>udZanA]^XakkA[>GUzsA]~{@en}	@SABDA
blowing	PUzkanA[>udZanA]^XakkA[>GUzsA]~{@ing}	@SABDA
blown	PUzkanA[>udZanA]^XakkA[>GUzsA]~{@en}	@SABDA
blowoff's	PUzkanA[>udZanA]^XakkA[>GUzsA]{@s}{@vib:kA}	@SABDA
blowoff	PUzkanA[>udZanA]^XakkA[>GUzsA]{@s}	@SABDA
blows	PUzkanA[>udZanA]^XakkA[>GUzsA]~{@s}	@SABDA
blue's	nIlA/xuKI/aSlIla{@vib:kA}	@SABDA
blue	nIlA/xuKI/aSlIla[-]{0}	@SABDA
blued	nIlA/xuKI/aSlIla~{@ed/@en}	@SABDA
blueing	nIlA/xuKI/aSlIla~{@ing}	@SABDA
blues'	nIlA/xuKI/aSlIla{@s}{@vib:kA}	@SABDA
blues	nIlA/xuKI/aSlIla~{@s}	@SABDA
bluing	nIlA/xuKI/aSlIla~{@ing}	@SABDA
bluntness	rAkSasIpana	@FROMNET
board's	waKwA`[borda]{@vib:kA}	@SABDA
board	waKwA`[borda]{0}	@SABDA
boarded	waKwA`[borda]~{@ed/@en}	@SABDA
boarding	waKwA`[borda]~{@ing}	@SABDA
boards'	waKwA`[borda]{@s}{@vib:kA}	@SABDA
boards	waKwA`[borda]~{@s}	@SABDA
boat's	nOkA{@vib:kA}	@SABDA
boat	nOkA{0}	@SABDA
boated	nOkA~{@ed/@en}	@SABDA
boathe's	nOkA{@s}{@vib:kA}	@SABDA
boathe	nOkA{@s}	@SABDA
boating's	nOkA~vihAra~karanA{@vib:kA}	@SABDA
boating	nOkA~vihAra~karanA~{@ing}	@SABDA
boatings'	nOkA~vihAra~karanA{@s}{@vib:kA}	@SABDA
boatings	nOkA~vihAra~karanA{@s}	@SABDA
boats	nOkA~{@s}	@SABDA
bob's	golaka[>dUbanA~uwarAnA]{@vib:kA}{@s}+kA	@SABDA
bob	golaka[>dUbanA~uwarAnA]{0/@s}	@SABDA
bobbed	golaka[>dUbanA~uwarAnA]~{@ed/@en}	@SABDA
bobbing	golaka[>dUbanA~uwarAnA]~{@ing}	@SABDA
bobs	golaka[>dUbanA~uwarAnA]~{@s}	@SABDA
bodied	SarIra[<piNda]~{@ed/@en}	@SABDA
bodies'	SarIra[<piNda]{@s}{@vib:kA}	@SABDA
bodies	SarIra[<piNda]~{@s}	@SABDA
body's	SarIra[<piNda]{@vib:kA}	@SABDA
body	SarIra[<piNda]{0}	@SABDA
bodying	SarIra[<piNda]~{@ing}	@SABDA
bog's	xalaxala{@vib:kA}	@SABDA
bog	xalaxala{0}	@SABDA
bogey	bogI	@Administration_@Glossary:@HARIRAM
bogs'	xalaxala{@s}{@vib:kA}	@SABDA
bogs	xalaxala{@s}	@SABDA
boil's	PaPolA[<ubAla]{@vib:kA}	@SABDA
boil	PaPolA[<ubAla]{0}	@SABDA
boiled	PaPolA[<ubAla]~{@ed/@en}	@SABDA
boiler's	ubAlanevAlA{yaMwrAxi}{@vib:kA}	@SABDA
boiler	ubAlanevAlA{yaMwrAxi}{0}	@SABDA
boilers'	ubAlanevAlA{yaMwrAxi}{@s}{@vib:kA}	@SABDA
boilers	ubAlanevAlA{yaMwrAxi}{@s}	@SABDA
boiling	PaPolA[<ubAla]~{@ing}	@SABDA
boils'	PaPolA[<ubAla]{@s}{@vib:kA}	@SABDA
boils	PaPolA[<ubAla]~{@s}	@SABDA
bold's	nidara^suspaRta{@vib:kA}	@SABDA
bold	nidara^suspaRta[-]	@SABDA
bolder	nidara^suspaRta~{wara}	@SABDA
boldest	nidara^suspaRta~{wama}	@SABDA
boldness	xilasI	@FROMNET
bolds'	nidara^suspaRta{@s}{@vib:kA}	@SABDA
bolds	nidara^suspaRta{@s}	@SABDA
bomb's	bama{@vib:kA}	@SABDA
bomb	bama{0}	@SABDA
bombardment	golAbArI/bamavarRA	@Administration_@Glossary:@HARIRAM
bombay	mumbaI	@SHIVA
bombed	bama~{@ed/@en}	@SABDA
bomber's	bamavarRaka{@vib:kA}	@SABDA
bomber	bamavarRaka{0}	@SABDA
bombers'	bamavarRaka{@s}{@vib:kA}	@SABDA
bombers	bamavarRaka{@s}	@SABDA
bombing	bama~{@ing}	@SABDA
bombs'	bama{@s}{@vib:kA}	@SABDA
bombs	bama~{@s}	@SABDA
bonafide	vAswavika/saxBAva/saxBAvI/saxASayI	@Administration_@Glossary:@HARIRAM
bonafides	nekanIyawI/saxBAva/saxASayawA	@Administration_@Glossary:@HARIRAM
bonafied	vAswavika{asalI}	@BHATIA
bond's	banXana^anubanXapawra{@vib:kA}	@SABDA
bond	banXana^anubanXapawra{0}	@SABDA
bonded	banXana^anubanXapawra~{@ed/@en}	@SABDA
bonding	banXana^anubanXapawra~{@ing}	@SABDA
bonds'	banXana^anubanXapawra{@s}{@vib:kA}	@SABDA
bonds	banXana^anubanXapawra~{@s}	@SABDA
bone's	haddI{@vib:kA}	@SABDA
bone	haddI{0}	@SABDA
boned	haddI~{@ed/@en}	@SABDA
bones'	haddI{@s}{@vib:kA}	@SABDA
bones	haddI~{@s}	@SABDA
boning	haddI~{@ing}	@SABDA
book's	puswaka{@vib:kA}	@SABDA
book	puswaka{0}	@SABDA
book-@keeper	bahI~leKaka/munIma	@Administration_@Glossary:@HARIRAM
book-@keeping	bahIKAwA~liKanA/bahIKAwA~paxXawi	@Administration_@Glossary:@HARIRAM
booked	puswaka~{@ed/@en}	@SABDA
booking	puswaka~{@ing}	@SABDA
bookmark	pqRTiwa~smqwi	@Miscelleneous
books'	puswaka{@s}{@vib:kA}	@SABDA
books	puswaka~{@s}	@SABDA
boolean	bUliyo~/~bUliyana	@Miscelleneous
boom-@man	bUma~mEna	@Designation_@and_@Department_@Names:@HARIRAM
boost's	baDZAvA~xenA{@vib:kA}	@SABDA
boost	baDZAvA~xenA{0}	@SABDA
boosted	baDZAvA~xenA~{@ed/@en}	@SABDA
boosting	baDZAvA~xenA~{@ing}	@SABDA
boosts'	baDZAvA~xenA{@s}{@vib:kA}	@SABDA
boosts	baDZAvA~xenA~{@s}	@SABDA
boot's	bUta`{@vib:kA}	@SABDA
boot	bUta`{0}	@SABDA
booted	bUta`~{@ed/@en}	@SABDA
booting	bUta`~{@ing}	@SABDA
boots'	bUta`{@s}{@vib:kA}	@SABDA
boots	bUta`~{@s}	@SABDA
border's	sImA^kinArA{@vib:kA}	@SABDA
border	sImA^kinArA{0}	@SABDA
bordered	sImA^kinArA~{@ed/@en}	@SABDA
bordering	sImA^kinArA~{@ing}	@SABDA
borders'	sImA^kinArA{@s}{@vib:kA}	@SABDA
borders	sImA^kinArA~{@s}	@SABDA
bore's	nalI~[banAnA]/ubAU{@vib:kA}	@SABDA
bore	nalI~[banAnA]/ubAU{0/@ed}	@SABDA
bores'	nalI~[banAnA]/ubAU{@s}{@vib:kA}	@SABDA
bores	nalI~[banAnA]/ubAU{@s}	@SABDA
born	janana~{@en}	@PADA
borne	JelanA~{@en}	@PADA
borrow	uXAra~lenA{0}	@SABDA
borrowed	uXAra~lenA~{@ed/@en}	@SABDA
borrowing	uXAra~lenA~{@ing}	@SABDA
borrows	uXAra~lenA~{@s}	@SABDA
bosom	CAwI^swana	
boss's	mAlika{@vib:kA}	@SABDA
boss	mAlika[-]{0}	@SABDA
bossed	mAlika~{@ed/@en}	@SABDA
bosses'	mAlika{@s}{@vib:kA}	@SABDA
bosses	mAlika~{@s}	@SABDA
bossies'	mAlika{@s}{@vib:kA}	@SABDA
bossies	mAlika{@s}	@SABDA
bossing	mAlika~{@ing}	@SABDA
bossy's	mAlika{@vib:kA}	@SABDA
bossy	mAlika{0}	@SABDA
both	xonoM~BI	@SABDA
bother's	waMga~karanA{@vib:kA}	@SABDA
bother	waMga~karanA{0}	@SABDA
bothered	waMga~karanA~{@ed/@en}	@SABDA
bothering	waMga~karanA~{@ing}	@SABDA
bothers'	waMga~karanA{@s}{@vib:kA}	@SABDA
bothers	waMga~karanA~{@s}	@SABDA
bottle's	bowala`{@vib:kA}	@SABDA
bottle	bowala`{0}	@SABDA
bottled	bowala`~{@ed/@en}	@SABDA
bottles'	bowala`{@s}{@vib:kA}	@SABDA
bottles	bowala`~{@s}	@SABDA
bottling	bowala`~{@ing}	@SABDA
bottom's	nicalA[>peMxA^wala]{@vib:kA}	@SABDA
bottom	nicalA[>peMxA^wala][-]{0}	@SABDA
bottomed	nicalA[>peMxA^wala]~{@ed/@en}	@SABDA
bottoming	nicalA[>peMxA^wala]~{@ing}	@SABDA
bottoms'	nicalA[>peMxA^wala]{@s}{@vib:kA}	@SABDA
bottoms	nicalA[>peMxA^wala]~{@s}	@SABDA
bought	KarIxanA~{@ed/@en}	@SABDA
bounce's	uCalanA`{takarA~kara}{@vib:kA}	@SABDA
bounce	uCalanA`{takarA~kara}{0}	@SABDA
bounced	uCalanA`{takarA~kara}~{@ed/@en}	@SABDA
bounces'	uCalanA`{takarA~kara}{@s}{@vib:kA}	@SABDA
bounces	uCalanA`{takarA~kara}~{@s}	@SABDA
bouncing	uCalanA`{takarA~kara}~{@ing}	@SABDA
bound's	bazXA~huA^sImA/CalAzga{@vib:kA}	@SABDA
bound	bazXA~huA^sImA/CalAzga[-]{@ed/@en}	@SABDA
boundaries'	sImA{@s}{@vib:kA}	@SABDA
boundaries	sImA{@s}	@SABDA
boundary's	sImA{@vib:kA}	@SABDA
boundary	sImA{0}	@SABDA
bounded	bazXA~huA^sImA/CalAzga~{@ed/@en}	@SABDA
bounding	bazXA~huA^sImA/CalAzga~{@ing}	@SABDA
bounds'	bazXA~huA^sImA/CalAzga{@s}{@vib:kA}	@SABDA
bounds	bazXA~huA^sImA/CalAzga~{@s}	@SABDA
bow's	XanuRa{@vib:kA}	@SABDA
bow	XanuRa{0}	@SABDA
bowed	XanuRa~{@ed/@en}	@SABDA
bowel's	Azwa{@vib:kA}	@SABDA
bowel	Azwa{0}	@SABDA
bowels'	Azwa{@s}{@vib:kA}	@SABDA
bowels	Azwa{@s}	@SABDA
bowing	XanuRa~{@ing}	@SABDA
bowl's	katorA/geMxa~PeMkanA{@vib:kA}	@SABDA
bowl	katorA/geMxa~PeMkanA{0}	@SABDA
bowled	katorA/geMxa~PeMkanA~{@ed/@en}	@SABDA
bowler's	geMxabAja{@vib:kA}	@SABDA
bowler	geMxabAja{0}	@SABDA
bowlers'	geMxabAja{@s}{@vib:kA}	@SABDA
bowlers	geMxabAja{@s}	@SABDA
bowling	katorA/geMxa~PeMkanA~{@ing}	@SABDA
bowls'	katorA/geMxa~PeMkanA{@s}{@vib:kA}	@SABDA
bowls	katorA/geMxa~PeMkanA~{@s}	@SABDA
bows'	XanuRa{@s}{@vib:kA}	@SABDA
bows	XanuRa~{@s}	@SABDA
box's	dibbA`{@vib:kA}	@SABDA
box	dibbA`{0}	@SABDA
boxed	dibbA`~{@ed/@en}	@SABDA
boxes'	dibbA`{@s}{@vib:kA}	@SABDA
boxes	dibbA`~{@s}	@SABDA
boxing's	bOYksiMga{GUzsebAjZI}{@vib:kA}	@SABDA
boxing	bOYksiMga{GUzsebAjZI}~{@ing}	@SABDA
boxings'	bOYksiMga{GUzsebAjZI}{@s}{@vib:kA}	@SABDA
boxings	bOYksiMga{GUzsebAjZI}{@s}	@SABDA
boy's	ladakA{@vib:kA}	@SABDA
boy	ladakA{0}	@SABDA
boycott's	bahiRkAra~karanA{@vib:kA}	@SABDA
boycott	bahiRkAra~karanA{0}	@SABDA
boycotted	bahiRkAra~karanA~{@ed/@en}	@SABDA
boycotting	bahiRkAra~karanA~{@ing}	@SABDA
boycotts'	bahiRkAra~karanA{@s}{@vib:kA}	@SABDA
boycotts	bahiRkAra~karanA~{@s}	@SABDA
boys'	ladakA{@s}{@vib:kA}	@SABDA
boys	ladakA{@s}	@SABDA
brace's	baMXanI[>gelisa>majZabUwa~pakadZa]{@vib:kA}	@SABDA
brace	baMXanI[>gelisa>majZabUwa~pakadZa]{0}	@SABDA
braced	baMXanI[>gelisa>majZabUwa~pakadZa]~{@ed/@en}	@SABDA
braces'	baMXanI[>gelisa>majZabUwa~pakadZa]{@s}{@vib:kA}	@SABDA
braces	baMXanI[>gelisa>majZabUwa~pakadZa]~{@s}	@SABDA
bracing	baMXanI[>gelisa>majZabUwa~pakadZa]~{@ing}	@SABDA
brahman	brAhmaNa	@FROMNET
brain's	ximAga{@vib:kA}	@SABDA
brain	ximAga{0}	@SABDA
brained	ximAga~{@ed/@en}	@SABDA
braining	ximAga~{@ing}	@SABDA
brains'	ximAga{@s}{@vib:kA}	@SABDA
brains	ximAga~{@s}	@SABDA
brake's	breka{@vib:kA}	@SABDA
brake	breka{0}	@SABDA
braked	breka~{@ed/@en}	@SABDA
brakes'	breka{@s}{@vib:kA}	@SABDA
brakes	breka~{@s}	@SABDA
brakesman	brekamEna	@Designation_@and_@Department_@Names:@HARIRAM
braking	breka~{@ing}	@SABDA
branch's	SAKA`{@vib:kA}	@SABDA
branch	SAKA`{0}	@SABDA
branched	SAKA`~{@ed/@en}	@SABDA
branches'	SAKA`{@s}{@vib:kA}	@SABDA
branches	SAKA`~{@s}	@SABDA
branching	SAKA`~{@ing}	@SABDA
brand's	CApa`{@vib:kA}	@SABDA
brand	CApa`{0}	@SABDA
branded	CApa`~{@ed/@en}	@SABDA
branding	CApa`~{@ing}	@SABDA
brands'	CApa`{@s}{@vib:kA}	@SABDA
brands	CApa`~{@s}	@SABDA
brass's	pIwala`[>guswAKI]{@vib:kA}	@SABDA
brass	pIwala`[>guswAKI]{0}	@SABDA
brasses'	pIwala`[>guswAKI]{@s}{@vib:kA}	@SABDA
brasses	pIwala`[>guswAKI]{@s}	@SABDA
brassiere	angiyA/colI	@FROMNET
brave's	sAhasI{@vib:kA}	@SABDA
brave	sAhasI[-]{0}	@SABDA
braved	sAhasI~{@ed/@en}	@SABDA
braver	sAhasI~{wara}	@SABDA
braves'	sAhasI{@s}{@vib:kA}	@SABDA
braves	sAhasI~{@s}	@SABDA
bravest	sAhasI~{wama}	@SABDA
braving	sAhasI~{@ing}	@SABDA
bread's	breda{@vib:kA}	@SABDA
bread	breda{0}	@SABDA
breaded	breda~{@ed/@en}	@SABDA
breading	breda~{@ing}	@SABDA
breads'	breda{@s}{@vib:kA}	@SABDA
breads	breda~{@s}	@SABDA
break's	wodZa1`{@vib:kA}	@SABDA
break	wodZa1`{0}	@SABDA
break-@up	byorA	@Administration_@Glossary:@HARIRAM
breakdown	KarAbI^rukAvata	
breakfast's	jalapAna{@vib:kA}	@SABDA
breakfast	jalapAna{0}	@SABDA
breakfasted	jalapAna~{@ed/@en}	@SABDA
breakfasting	jalapAna~{@ing}	@SABDA
breakfasts'	jalapAna{@s}{@vib:kA}	@SABDA
breakfasts	jalapAna~{@s}	@SABDA
breaking's	tUta^PUta{@vib:kA}	@SABDA
breaking	tUta^PUta~{@ing}	@SABDA
breakings'	tUta^PUta{@s}{@vib:kA}	@SABDA
breakings	tUta^PUta{@s}	@SABDA
breaks'	wodZa1`{@s}{@vib:kA}	@SABDA
breaks	wodZa1`~{@s}	@SABDA
breast's	CAwI{@vib:kA}	@SABDA
breast	CAwI{0}	@SABDA
breasted	CAwI~{@ed/@en}	@SABDA
breasting	CAwI~{@ing}	@SABDA
breasts'	CAwI{@s}{@vib:kA}	@SABDA
breasts	CAwI~{@s}	@SABDA
breath's	sAzsa[>JoMkA]{@vib:kA}	@SABDA
breath	sAzsa[>JoMkA]{0}	@SABDA
breathe	sAzsa~lenA{0}	@SABDA
breathed	sAzsa~lenA~{@ed/@en}	@SABDA
breathes	sAzsa~lenA~{@s}	@SABDA
breathing's	Svasana{@vib:kA}	@SABDA
breathing	Svasana~{@ing}	@SABDA
breathings'	Svasana{@s}{@vib:kA}	@SABDA
breathings	Svasana{@s}	@SABDA
breaths'	sAzsa[>JoMkA]{@s}{@vib:kA}	@SABDA
breaths	sAzsa[>JoMkA]{@s}	@SABDA
bred	nasla^pExA~karanA~{@ed/@en}	@SABDA
breech	nAlapqRTa/birajisa{pAyajAmA}/peMxA	
breed's	nasla^pExA~karanA{@vib:kA}	@SABDA
breed	nasla^pExA~karanA{0}	@SABDA
breeding	nasla^pExA~karanA~{@ing}	@SABDA
breeds'	nasla^pExA~karanA{@s}{@vib:kA}	@SABDA
breeds	nasla^pExA~karanA~{@s}	@SABDA
breeze's	manxa~samIra{@vib:kA}	@SABDA
breeze	manxa~samIra{0}	@SABDA
breezed	manxa~samIra~{@ed/@en}	@SABDA
breezes'	manxa~samIra{@s}{@vib:kA}	@SABDA
breezes	manxa~samIra~{@s}	@SABDA
breezing	manxa~samIra~{@ing}	@SABDA
bribe's	riSvawa{@vib:kA}	@SABDA
bribe	riSvawa{0}	@SABDA
bribed	riSvawa~{@ed/@en}	@SABDA
bribes'	riSvawa{@s}{@vib:kA}	@SABDA
bribes	riSvawa~{@s}	@SABDA
bribing	riSvawa~{@ing}	@SABDA
brick's	IMta{@vib:kA}	@SABDA
brick	IMta{0}	@SABDA
bricked	IMta~{@ed/@en}	@SABDA
bricking	IMta~{@ing}	@SABDA
bricks'	IMta{@s}{@vib:kA}	@SABDA
bricks	IMta~{@s}	@SABDA
bride's	xulhana{@vib:kA}	@SABDA
bride	xulhana{0}	@SABDA
brides'	xulhana{@s}{@vib:kA}	@SABDA
