aa	e~e
conflict	xvaMxva^viroXa~honA2{0}
confluence	saMgama{0}
confluences'	saMgama{ba.}{@vib:kA}
confluences	saMgama{@s}
confluence's	saMgama{@vib:kA}
confluxes'	saMgama{ba.}{@vib:kA}
confluxes	saMgama{@s}
conflux	saMgama{0}
conflux's	saMgama{@vib:kA}
conformance	anupAlana{0}
conformances	anurUpawA{@s}
conformances'	anurUpawA{@s}{@vib:kA}
conformance's	anurUpawA{@vib:kA}
conformances'	svIkAra/anusAra{ba.}{@vib:kA}
conformances	svIkAra/anusAra{@s}
conformance's	svIkAra/anusAra{@vib:kA}
conformance	svIkAra/anusAra{0}
conformation	racanA
conformed	mAnanA^ekamela~karanA~{@ed/@en}
conforming	mAnanA^ekamela~karanA~{@ing}
conformist	anusAraka
conformities	anurUpawA{@s}
conformities'	anurUpawA{@s}{@vib:kA}
conformities'	svIkAra/anusAra{ba.}{@vib:kA}
conformities	svIkAra/anusAra{@s}
conformity	anurUpawA{0}
conformity's	anurUpawA{@vib:kA}
conformity's	svIkAra/anusAra{@vib:kA}
conformity	svIkAra/anusAra{0}
conform	mAnanA^ekamela~karanA{0}
conforms	mAnanA^ekamela~karanA~{@s}
confounded	hakkA-bakkA~karanA~{@ed/@en}
confound	hakkA-bakkA~karanA{0}
confounding	hakkA-bakkA~karanA~{@ing}
confounds	hakkA-bakkA~karanA~{@s}
confrontation	sAmanA^BidZaMwa{0}
confrontations	sAmanA^BidZaMwa{@s}
confrontations'	sAmanA^BidZaMwa{@s}{@vib:kA}
confrontation's	sAmanA^BidZaMwa{@vib:kA}
confronted	sAmanA~karanA2{viroXa~meM}~{@ed/@en}
confronted	sAmanA~karanA~{@ed/@en}
confronting	sAmanA~karanA2{viroXa~meM}~{@ing}
confronting	sAmanA~karanA~{@ing}
confrontment	sAmanA^BidZaMwa{0}
confrontments	sAmanA^BidZaMwa{@s}
confrontments'	sAmanA^BidZaMwa{@s}{@vib:kA}
confrontment's	sAmanA^BidZaMwa{@vib:kA}
confront	sAmanA~karanA{0}
confront	sAmanA~karanA2{viroXa~meM}{0}
confronts	sAmanA~karanA2{viroXa~meM}~{@s}
confronts	sAmanA~karanA~{@s}
confused	GabadZA~jAnA~{@ed/@en}
confusedly	saMBramiwa~ho~kara
confused	xiSA{L}~Bramiwa~karanA2~{@ed/@en}
confuse	GabadZA~jAnA{0}
confuses	GabadZA~jAnA~{@s}
confuses	xiSA{L}~Bramiwa~karanA2~{@s}
confuse	xiSA{L}~Bramiwa~karanA2{0}
confusing	GabadZA~jAnA~{@ing}
confusingly	saMBramiwa~karawe~hue
confusing	xiSA{L}~Bramiwa~karanA2~{@ing}
confusion	saMBrama{0}
confusions'	saMBrama{ba.}{@vib:kA}
confusions	saMBrama{@s}
confusion's	saMBrama{@vib:kA}
confute	asixXa~karanA
congenial	anukUla/suKaxa[-]
congenialer	anukUla/suKaxa~{wara}
congenialest	anukUla/suKaxa~{wama}
congenitaler	janmajAwa~{wara}
congenitalest	janmajAwa~{wama}
congenital	janmajAwa[-]
congested	saMkuliwa/BarA~huA
congestion	saMkulana/BarA~huA~honA{0}
congestions'	saMkulana/BarA~huA~honA{ba.}{@vib:kA}
congestions	saMkulana/BarA~huA~honA{@s}
congestion's	saMkulana/BarA~huA~honA{@vib:kA}
conglomerated	saMpIdZana~{@ed/@en}
conglomerater	saMpIdZana~{wara}
conglomerate	saMpIdZana[-]{0}
conglomerates'	saMpIdZana{ba.}{@vib:kA}
conglomerates	saMpIdZana~{@s}
conglomerate's	saMpIdZana{@vib:kA}
conglomeratest	saMpIdZana~{wama}
conglomerating	saMpIdZana~{@ing}
conglomeration	saMgutIkaraNaa^saMguitakASmana
congratulate	baXAI~xenA{0}
congratulate	baXAI~xenA{0}
congratulated	baXAI~xenA~{@ed/@en}
congratulated	baXAI~xenA~{@ed/@en}
congratulates	baXAI~xenA~{@s}
congratulates	baXAI~xenA~{@s}
congratulating	baXAI~xenA~{@ing}
congratulating	baXAI~xenA~{@ing}
congratulation	baXAI{0}
congratulations'	baXAI{ba.}{@vib:kA}
congratulations=baXAI!	HARI
congratulations	baXAI{@s}
congratulation's	baXAI{@vib:kA}
congregated	ekawra~honA~{@ed/@en}
congregate	ekawra~honA[-]{0}
congregater	ekawra~honA~{wara}
congregates	ekawra~honA~{@s}
congregatest	ekawra~honA~{wama}
congregating	ekawra~honA~{@ing}
congregationalest	maMdalI~kA~{wama}
congregational	maMdalI~kA[-]
congregation	maMdalI^saBA{0}
congregations	maMdalI^saBA{@s}
congregations'	maMdalI^saBA{@s}{@vib:kA}
congregation's	maMdalI^saBA{@vib:kA}
congregations'	XArmika~saBA{ba.}{@vib:kA}
congregations	XArmika~saBA{@s}
congregation's	XArmika~saBA{@vib:kA}
congregation	XArmika~saBA{0}
congresses	kAMgresa{@s}
congresses'	kAMgresa{@s}{@vib:kA}
congresses'	kAMgresa/vyavasWApikA~saBA{ba.}{@vib:kA}
congresses	kAMgresa/vyavasWApikA~saBA{@s}
congressionalest	kAMgresa~saMbaMXI~{wama}
congressional	kAMgresa~saMbaMXI[-]
congress	kAMgresa{0}
congress	kAMgresa/vyavasWApikA~saBA{0}
congressman	kOYMgresa~saxasya{0}
congressman's	kOYMgresa~saxasya{@vib:kA}
congressmen	kOYMgresa~saxasya{@s}
congressmen's	kOYMgresa~saxasya{@s}{@vib:kA}
congress's	kAMgresa{@vib:kA}
congress's	kAMgresa/vyavasWApikA~saBA{@vib:kA}
congruenter	samarUpa^{reKAgaNiwa}sarvAgasama~{wara}
congruentest	samarUpa^{reKAgaNiwa}sarvAgasama~{wama}
congruent	samarUpa^{reKAgaNiwa}sarvAgasama[-]
conicer	SAMkva~{wara}
conicest	SAMkva~{wama}
conic	SAMkva[-]
conics'	SAMkva{ba.}{@vib:kA}
conics	SAMkva{@s}
conic's	SAMkva{@vib:kA}
coniferouser	SaMkuXArI~{wara}
coniferousest	SaMkuXArI~{wama}
coniferous	SaMkuXArI[-]
conifer	SaMkuvqkRa{0}
conifers'	SaMkuvqkRa{ba.}{@vib:kA}
conifers	SaMkuvqkRa{@s}
conifer's	SaMkuvqkRa{@vib:kA}
coning	kona{SuNdAkAra~vaswu}~{@ing}
conjecture	anumAna/anumAna~karanA{0}
conjectured	anumAna/anumAna~karanA~{@ed/@en}
conjectures'	anumAna/anumAna~karanA{ba.}{@vib:kA}
conjectures	anumAna/anumAna~karanA~{@s}
conjecture's	anumAna/anumAna~karanA{@vib:kA}
conjecturing	anumAna/anumAna~karanA~{@ing}
conjugaler	vivAha~saMbanXI/vEvAhika~{wara}
conjugalest	vivAha~saMbanXI/vEvAhika~{wama}
conjugal	vivAha~saMbanXI/vEvAhika[-]
conjugated	kriyA~rUpa~karanA/saMyukwa~{@ed/@en}
conjugate	kriyA~rUpa~karanA/saMyukwa{0}[-]
conjugates	kriyA~rUpa~karanA/saMyukwa~{@s}
conjugatest	kriyA~rUpa~karanA/saMyukwa~{wama}
conjugating	kriyA~rUpa~karanA/saMyukwa~{@ing}
conjunction	saMyoga/mela^samuccaya~boXaka~avyaya{0}
conjunction	saMyojana^yojaka{0}
conjunctions'	saMyoga/mela^samuccaya~boXaka~avyaya{ba.}{@vib:kA}
conjunctions	saMyoga/mela^samuccaya~boXaka~avyaya{@s}
conjunction's	saMyoga/mela^samuccaya~boXaka~avyaya{@vib:kA}
conjunctions	saMyojana^yojaka{@s}
conjunctions'	saMyojana^yojaka{@s}{@vib:kA}
conjunction's	saMyojana^yojaka{@vib:kA}
conjunctivitis	newraSoWa
conjured	jAxU~karanA~{@ed/@en}
conjure	jAxU~karanA{0}
conjures	jAxU~karanA~{@s}
conjuring	jAxU~karanA~{@ing}
conjuror	jAxUgara
connected	jodZanA~{@ed/@en}
connected	jodZanA^saMbaxXa~karanA~{@ed/@en}
connecting	jodZanA~{@ing}
connecting	jodZanA^saMbaxXa~karanA~{@ing}
connection	saMbaMXa^jodZa{0}
connection	saMyojana/jodZa^saMbanXa{0}
connections	saMbaMXa^jodZa{@s}
connections'	saMbaMXa^jodZa{@s}{@vib:kA}
connection's	saMbaMXa^jodZa{@vib:kA}
connections'	saMyojana/jodZa^saMbanXa{ba.}{@vib:kA}
connections	saMyojana/jodZa^saMbanXa{@s}
connection's	saMyojana/jodZa^saMbanXa{@vib:kA}
connective	jodZane~vAlA
connectivity	saMyojakawA
connect	jodZanA{0}
connect	jodZanA^saMbaxXa~karanA{0}
connector	saMbaMXaka
connects	jodZanA^saMbaxXa~karanA~{@s}
connects	jodZanA~{@s}
connexion	saMbaMXa^jodZa{0}
connexion	saMyojana/jodZa^saMbanXa{0}
connexions	saMbaMXa^jodZa{@s}
connexions'	saMbaMXa^jodZa{@s}{@vib:kA}
connexion's	saMbaMXa^jodZa{@vib:kA}
connexions'	saMyojana/jodZa^saMbanXa{ba.}{@vib:kA}
connexions	saMyojana/jodZa^saMbanXa{@s}
connexion's	saMyojana/jodZa^saMbanXa{@vib:kA}
connivance	milIBagawa^kisI~ke~sAWa~milakara~avEXa~kArya~karanA{0}
connivances'	milIBagawa^kisI~ke~sAWa~milakara~avEXa~kArya~karanA{ba.}{@vib:kA}
connivances	milIBagawa^kisI~ke~sAWa~milakara~avEXa~kArya~karanA{@s}
connivance's	milIBagawa^kisI~ke~sAWa~milakara~avEXa~kArya~karanA{@vib:kA}
connived	upekRA~karanA^kisI~ke~sAWa~milakara~avEXa~kArya~karanA~{@ed/@en}
connives	upekRA~karanA^kisI~ke~sAWa~milakara~avEXa~kArya~karanA~{@s}
connive	upekRA~karanA^kisI~ke~sAWa~milakara~avEXa~kArya~karanA{0}
conniving	upekRA~karanA^kisI~ke~sAWa~milakara~avEXa~kArya~karanA~{@ing}
connoisseur	guNajFa/parIkRaka{0}
connoisseurs'	guNajFa/parIkRaka{ba.}{@vib:kA}
connoisseurs	guNajFa/parIkRaka{@s}
connoisseur's	guNajFa/parIkRaka{@vib:kA}
connote	arWa~sUciwa~karanA{0}
connoted	arWa~sUciwa~karanA~{@ed/@en}
connotes	arWa~sUciwa~karanA~{@s}
connoting	arWa~sUciwa~karanA~{@ing}
conoscenti	bAvarcI{0}
conoscenti's	bAvarcI{@vib:kA}
conquered	jIwanA~{@ed/@en}
conquering	jIwanA~{@ing}
conquer	jIwanA{0}
conqueror	jIwane~vAlA{0}
conquerors'	jIwane~vAlA{ba.}{@vib:kA}
conquerors	jIwane~vAlA{@s}
conqueror's	jIwane~vAlA{@vib:kA}
conquers	jIwanA~{@s}
conquest	jIwa{0}
conquests'	jIwa{ba.}{@vib:kA}
conquests	jIwa{@s}
conquest's	jIwa{@vib:kA}
conscience	aMwaHkaraNa{0}
consciences	aMwaHkaraNa{@s}
consciences'	aMwaHkaraNa{@s}{@vib:kA}
conscience's	aMwaHkaraNa{@vib:kA}
consciences'	viveka{ba.}{@vib:kA}
consciences	viveka{@s}
conscience's	viveka{@vib:kA}
conscience	viveka{0}
conscientiouser	karwavyaniRTa/SuxXa~aMwaHkaraNavAlA~{wara}
conscientiousest	karwavyaniRTa/SuxXa~aMwaHkaraNavAlA~{wama}
conscientious	karwavyaniRTa/SuxXa~aMwaHkaraNavAlA[-]
conscientiously	karwavyaniCaTA_se
conscientiousness	karwavyaniCaTA
conscioulsy	jAnabUJakara
consciouser	sacewa/cewana^sABiprAya~{wara}
consciouses'	sacewa/cewana^sABiprAya{ba.}{@vib:kA}
consciouses	sacewa/cewana^sABiprAya{@s}
consciouses	sacewa^sABiprAya{@s}
consciouses'	sacewa^sABiprAya{@s}{@vib:kA}
consciousest	sacewa/cewana^sABiprAya~{wama}
consciousest	sacewa^sABiprAya~{wama}
consciousness	cewanA{0}
consciousness	cewanawA{0}
consciousness's	cewanA{@vib:kA}
consciousness's	cewanawA{@vib:kA}
conscious	sacewa/cewana^sABiprAya[-]
conscious	sacewa^sABiprAya[-]
conscious's	sacewa/cewana^sABiprAya{@vib:kA}
conscious's	sacewa^sABiprAya{@vib:kA}
conscripted	sEnA~meM~anivArya~BarawI~{@ed/@en}
conscripting	sEnA~meM~anivArya~BarawI~{@ing}
conscription	anivArya~sEnika~sevA{0}
conscriptions'	anivArya~sEnika~sevA{ba.}{@vib:kA}
conscriptions	anivArya~sEnika~sevA{@s}
conscription's	anivArya~sEnika~sevA{@vib:kA}
conscript	sEnA~meM~anivArya~BarawI{0}
conscripts'	sEnA~meM~anivArya~BarawI{ba.}{@vib:kA}
conscripts	sEnA~meM~anivArya~BarawI~{@s}
conscript's	sEnA~meM~anivArya~BarawI{@vib:kA}
consecrate	arpaNa~karanA[-]{0}
consecrated	arpaNa~karanA~{@ed/@en}
consecrater	arpaNa~karanA~{wara}
consecrates	arpaNa~karanA~{@s}
consecratest	arpaNa~karanA~{wama}
consecrating	arpaNa~karanA~{@ing}
consecutive	kramika/lagAwAra[-]
consecutively	krama~se
consecutiver	kramika/lagAwAra~{wara}
consecutivest	kramika/lagAwAra~{wama}
consensuses'	mawEkya/anukUlawA{ba.}{@vib:kA}
consensuses	mawEkya/anukUlawA{@s}
consensus	mawEkya/anukUlawA{0}
consensus's	mawEkya/anukUlawA{@vib:kA}
consent	anumawi/mAnanA{0}
consent	anumawi^sammawi{0}
consented	anumawi/mAnanA~{@ed/@en}
consented	anumawi^sammawi~{@ed/@en}
consenting	anumawi/mAnanA~{@ing}
consenting	anumawi^sammawi~{@ing}
consents'	anumawi/mAnanA{ba.}{@vib:kA}
consents	anumawi/mAnanA~{@s}
consent's	anumawi/mAnanA{@vib:kA}
consents	anumawi^sammawi~{@s}
consents'	anumawi^sammawi{@s}{@vib:kA}
consent's	anumawi^sammawi{@vib:kA}
consequence	pariNAma^mahawva{0}
consequence	pariNAma^mahawva{0}
consequences'	pariNAma^mahawva{ba.}{@vib:kA}
consequences	pariNAma^mahawva{@s}
consequences	pariNAma^mahawva{@s}
consequences'	pariNAma^mahawva{@s}{@vib:kA}
consequence's	pariNAma^mahawva{@vib:kA}
consequence's	pariNAma^mahawva{@vib:kA}
consequenter	Pala~svarUpa~{wara}
consequentest	Pala~svarUpa~{wama}
consequentialer	Pala~svarUpa~{wara}
consequentialest	Pala~svarUpa~{wama}
consequentially	piraNAmasvaopa
consequential	Pala~svarUpa[-]
consequently	awaH/isaliye
consequently	pariNAmasvarUpa
consequent	Pala~svarUpa[-]
consequents'	Pala~svarUpa{ba.}{@vib:kA}
consequents	Pala~svarUpa{@s}
consequent's	Pala~svarUpa{@vib:kA}
conservancy	saMrakRaNa~saMsWA
conservationist	saMrakRaka{paryAvaraNa}{0}
conservationists'	saMrakRaka{paryAvaraNa}{ba.}{@vib:kA}
conservationists	saMrakRaka{paryAvaraNa}{@s}
conservationist's	saMrakRaka{paryAvaraNa}{@vib:kA}
conservation	saMrakRaNa
conservatism	anuxAravAxa^oDivAxa
conservative	anuxAravAxI[-]
conservatively	xikayAnUsI~DaMga~se
conservativer	rUDZivAxI~{wara}
conservative	rUDZivAxI[-]
conservatives	anuxAravAxI{@s}
conservatives'	anuxAravAxI{@s}{@vib:kA}
conservative's	anuxAravAxI{@vib:kA}
conservatives'	rUDZivAxI{ba.}{@vib:kA}
conservatives	rUDZivAxI{@s}
conservative's	rUDZivAxI{@vib:kA}
conservativest	anuxAravAxI~{wama}
conservativest	rUDZivAxI~{wama}
conserved	murabbA/surakRiwa~raKanA~{@ed/@en}
conserve	murabbA/surakRiwa~raKanA{0}
conserves'	murabbA/surakRiwa~raKanA{ba.}{@vib:kA}
conserves	murabbA/surakRiwa~raKanA~{@s}
conserve's	murabbA/surakRiwa~raKanA{@vib:kA}
conserving	murabbA/surakRiwa~raKanA~{@ing}
considerable	bahuwa~aXika[-]
considerable	paryApwa^vicAraNIya[-]
considerabler	bahuwa~aXika~{wara}
considerablest	bahuwa~aXika~{wama}
considerablest	prayApwa^vicAraNIya~{wama}
considerably	bahuwa~aXikawA~se
considerately	XyAna_raKawe_hue
considerater	XyAna~raKanevAlA~{wara}
consideratest	XyAna~raKanevAlA~{wama}
considerate	XyAna~raKanevAlA[-]
consideration	lihAjZa{0}
considerations'	lihAjZa{ba.}{@vib:kA}
considerations	lihAjZa{@s}
consideration's	lihAjZa{@vib:kA}
considerations	XyAna~[yogya~viRaya]{@s}
considerations'	XyAna~[yogya~viRaya]{@s}{@vib:kA}
consideration's	XyAna~[yogya~viRaya]{@vib:kA}
consideration	XyAna~[yogya~viRaya]{0}
considered	vicAra~karanA~{@ed/@en}
considered	XyAna~xenA{vicArapUrvaka}^samaJanA~{@ed/@en}
considering	vicAra~karanA~{@ing}
considering	XyAna~xenA{vicArapUrvaka}^samaJanA~{@ing}
considers	vicAra~karanA~{@s}
considers	XyAna~xenA{vicArapUrvaka}^samaJanA~{@s}
consider	vicAra~karanA{0}
consider	XyAna~xenA{vicArapUrvaka}^samaJanA{0}
consign	arpaNa~karanA{0}
consigned	arpaNa~karanA~{@ed/@en}
consignee	pareRiwI
consigner	pareRaka/mAla~BejanevAlA
consigning	arpaNa~karanA~{@ing}
consignment	preRiwa~mAla{0}
consignments'	preRiwa~mAla{ba.}{@vib:kA}
consignments	preRiwa~mAla{@s}
consignment's	preRiwa~mAla{@vib:kA}
consignor	pareRaka
consigns	arpaNa~karanA~{@s}
consist	banA^nihiwa~honA{0}
consisted	banA^nihiwa~honA~{@ed/@en}
consisted	yukwa~ho~{@ed/@en}
consistence	sAmaMjasya^gADZApana{0}
consistences'	sAmaMjasya^gADZApana{ba.}{@vib:kA}
consistences	sAmaMjasya^gADZApana{@s}
consistence's	sAmaMjasya^gADZApana{@vib:kA}
consistences	sWirawA^gADZApana{@s}
consistences'	sWirawA^gADZApana{@s}{@vib:kA}
consistence's	sWirawA^gADZApana{@vib:kA}
consistence	sWirawA^gADZApana{0}
consistencies'	sAmaMjasya^gADZApana{ba.}{@vib:kA}
consistencies	sAmaMjasya^gADZApana{@s}
consistencies	sWirawA^gADZApana{@s}
consistencies'	sWirawA^gADZApana{@s}{@vib:kA}
consistency	sAmaMjasya^gADZApana{0}
consistency's	sAmaMjasya^gADZApana{@vib:kA}
consistency's	sWirawA^gADZApana{@vib:kA}
consistency	sWirawA^gADZApana{0}
consistent	aparivarwanaSIla[-]
consistent	eka~sA^aparivarwanaSIla/samAna/eka~sA[-]
consistenter	eka~sA^aparivarwanaSIla/samAna/eka~sA~{wara}
consistentest	aparivarwanaSIla~{wama}
consistentest	eka~sA^aparivarwanaSIla/samAna/eka~sA~{wama}
consistently	sWirawA~se
consisting	banA^nihiwa~honA~{@ing}
consisting	yukwa~ho~{@ing}
consists	banA^nihiwa~honA~{@s}
consists	yukwa~ho~{@s}
consist	yukwa~ho{0}
consolation	ASvAsana{0}
consolations'	ASvAsana{ba.}{@vib:kA}
consolations	ASvAsana{@s}
consolation's	ASvAsana{@vib:kA}
consoled	sAnwvanA~xenA~{@ed/@en}
console	sAnwvanA~xenA{0}
consoles'	sAnwvanA~xenA{ba.}{@vib:kA}
consoles	sAnwvanA~xenA~{@s}
console's	sAnwvanA~xenA{@vib:kA}
consolidated	samekiwa
consolidated	Tosa~honA/karanA~{@ed/@en}
consolidates	Tosa~honA/karanA~{@s}
consolidate	Tosa~honA/karanA{0}
consolidating	Tosa~honA/karanA~{@ing}
consolidation	jamAvata{0}
consolidations'	jamAvata{ba.}{@vib:kA}
consolidations	jamAvata{@s}
consolidation's	jamAvata{@vib:kA}
consolidator	samekiwra
consoling	sAnwvanA~xenA~{@ing}
consol	kanasola/bemiyAxI~bAMda
consonants	vyaMjana/samasvara{@s}
consonants'	vyaMjana/samasvara{@s}{@vib:kA}
consonant's	vyaMjana/samasvara{@vib:kA}
consonant	vyaMjana/samasvara{0}
consorted	pawnI/pawi~KAsakara~kisI~SAsaka~kI^saMgIwajFoM~yA~vAxya~yaMwroM~kA~samUha~{@ed/@en}
consortia	alpakAlIna~saMGatana{@s}
consortia's	alpakAlIna~saMGatana{ba.}{@vib:kA}
consorting	pawnI/pawi~KAsakara~kisI~SAsaka~kI^saMgIwajFoM~yA~vAxya~yaMwroM~kA~samUha~{@ing}
consortium	alpakAlIna~saMGatana{0}
consortium's	alpakAlIna~saMGatana{@vib:kA}
consort	pawnI/pawi~KAsakara~kisI~SAsaka~kI^saMgIwajFoM~yA~vAxya~yaMwroM~kA~samUha{0}
consorts	pawnI/pawi~KAsakara~kisI~SAsaka~kI^saMgIwajFoM~yA~vAxya~yaMwroM~kA~samUha~{@s}
conspectus	xigxarSana/saMxarSikA/saMkRipwa~vivaraNa
conspicious	sahaja~xqSya/suspaRta
conspicuouser	prawyakRa~{wara}
conspicuousest	prawyakRa~{wama}
conspicuously	suspaCata~rUpa~se
conspicuousness	spaCatawAA
conspicuous	prawyakRa[-]
conspiracies	RadyaMwra{@s}
conspiracies'	RadyaMwra{@s}{@vib:kA}
conspiracies'	sAjiSa{ba.}{@vib:kA}
conspiracies	sAjiSa{@s}
conspiracy	RadyaMwra{0}
conspiracy	sAjiSa{0}
conspiracy's	RadyaMwra{@vib:kA}
conspiracy's	sAjiSa{@vib:kA}
conspiratorially	RadyaMwrapUrNa~DaMga~se
conspiratorial	Radyauwra~saMbaMXI^RadyaMwrapUrNa
conspirator	RadZayaMwrakArI{0}
conspirators'	RadZayaMwrakArI{ba.}{@vib:kA}
conspirators	RadZayaMwrakArI{@s}
conspirator's	RadZayaMwrakArI{@vib:kA}
conspired	RadZayaMwra~racanA~{@ed/@en}
conspire	RadZayaMwra~racanA{0}
conspires	RadZayaMwra~racanA~{@s}
conspiring	RadZayaMwra~racanA~{@ing}
constable	sipAhI/kAnstebula{0}
constables'	sipAhI/kAnstebula{ba.}{@vib:kA}
constables	sipAhI/kAnstebula{@s}
constable's	sipAhI/kAnstebula{@vib:kA}
constabularies'	sipAhiyoM~kA~xala{ba.}{@vib:kA}
constabularies	sipAhiyoM~kA~xala{@s}
constabulary	sipAhiyoM~kA~xala{0}
constabulary's	sipAhiyoM~kA~xala{@vib:kA}
constancy	niRTA
constant	aparivarwanaSIla/sWAyI^niwya[-]
constant	atUta^barAbara[-]
constanter	aparivarwanaSIla/sWAyI^niwya~{wara}
constantest	aparivarwanaSIla/sWAyI^niwya~{wama}
constantest	atUta^barAbara~{wama}
constantly	lagAwAra
constantly	niraMwara
constellation	nakRawra/wAroM~kA~samUha{0}
constellations'	nakRawra/wAroM~kA~samUha{ba.}{@vib:kA}
constellations	nakRawra/wAroM~kA~samUha{@s}
constellation's	nakRawra/wAroM~kA~samUha{@vib:kA}
consternations'	vismaya/GabarAhata{ba.}{@vib:kA}
consternations	vismaya/GabarAhata{@s}
consternation's	vismaya/GabarAhata{@vib:kA}
consternation	vismaya/GabarAhata{0}
constipated	kabjZa~se~pIdZiwa
constipation	kZabjZa{0}
constipations'	kZabjZa{ba.}{@vib:kA}
constipations	kZabjZa{@s}
constipation's	kZabjZa{@vib:kA}
constituencies'	nirvAcana~kRewra{ba.}{@vib:kA}
constituencies	nirvAcana~wakRewra{@s}
constituency	nirvAcana~kRewra{0}
constituency's	nirvAcana~kRewra{@vib:kA}
constituenter	saMviXAnI^Gataka~{wara}
constituentest	saMviXAnI^Gataka~{wama}
constituent	Gataka^saMviXAnI
constituent	saMviXAnI^Gataka[-]
constituents	Gataka^saMviXAnI~{@s}
constituents'	saMviXAnI^Gataka{ba.}{@vib:kA}
constituents	saMviXAnI^Gataka{@s}
constituent's	saMviXAnI^Gataka{@vib:kA}
constitute	banAnA{0}
constitute	banAnA1{saMgaTana}{0}
constituted	banAnA1{saMgaTana}~{@ed/@en}
constituted	banAnA~{@ed/@en}
constitutes	banAnA1{saMgaTana}~{@s}
constitutes	banAnA~{@s}
constituting	banAnA1{saMgaTana}~{@ing}
constituting	banAnA~{@ing}
constitutionaler	saMviXAnI^svAsWya~saMbaMXI~{wara}
constitutionalest	saMvEXAnika^SArIrika~{wama}
constitutionalest	saMviXAnI^svAsWya~saMbaMXI~{wama}
constitutionally	samvEXAnika~rUpa~se
constitutional	saMvEXAnika^SArIrika[-]
constitutional	saMviXAnI^svAsWya~saMbaMXI[-]
constitutionals	saMvEXAnika^SArIrika{@s}
constitutionals'	saMvEXAnika^SArIrika{@s}{@vib:kA}
constitutional's	saMvEXAnika^SArIrika{@vib:kA}
constitutionals'	saMviXAnI^svAsWya~saMbaMXI{ba.}{@vib:kA}
constitutionals	saMviXAnI^svAsWya~saMbaMXI{@s}
constitutional's	saMviXAnI^svAsWya~saMbaMXI{@vib:kA}
constitution	saMviXAna[gaTana]^saMviXAna{0}
constitutions'	saMviXAna[gaTana]^saMviXAna{ba.}{@vib:kA}
constitutions	saMviXAna[gaTana]^saMviXAna{@s}
constitution's	saMviXAna[gaTana]^saMviXAna{@vib:kA}
constitutions	viXAna^saMgaTana{@s}
constitutions'	viXAna^saMgaTana{@s}{@vib:kA}
constitution's	viXAna^saMgaTana{@vib:kA}
constitution	viXAna^saMgaTana{0}
constrain	balapUrvaka~rokanA^vivaSa~karanA{0}
constrained	balapUrvaka~rokanA^vivaSa~karanA~{@ed/@en}
constraining	balapUrvaka~rokanA^vivaSa~karanA~{@ing}
constrains	balapUrvaka~rokanA^vivaSa~karanA~{@s}
constraint	avaroXa^bahuwa~aXika~niyaMwraNa{0}
constraints'	avaroXa^bahuwa~aXika~niyaMwraNa{ba.}{@vib:kA}
constraints	avaroXa^bahuwa~aXika~niyaMwraNa{@s}
constraint's	avaroXa^bahuwa~aXika~niyaMwraNa{@vib:kA}
constricted	saMkIrNa
constrict	xabA~xenA^saMkuciwa~karanA^saMkuciwa~honA
construct	banAnA{0}
constructed	banAnA~{@ed/@en}
constructed	nirmiwa~karanA~{@ed/@en}
constructer	nirmAwA{0}
constructers'	nirmAwA{ba.}{@vib:kA}
constructers	nirmAwA{@s}
constructer's	nirmAwA{@vib:kA}
constructing	banAnA~{@ing}
constructing	nirmiwa~karanA~{@ing}
construction	nirmANa{0}
construction	nirmANa
constructions'	nirmANa{ba.}{@vib:kA}
constructions	nirmANa{@s}
construction's	nirmANa{@vib:kA}
constructively	racanAwmaka~rUpa~meM
constructive	racanAwmaka[-]
constructive	racanAwmaka[-]
constructiver	racanAwmaka~{wara}
constructivest	racanAwmaka~{wama}
constructivest	racanAwmaka~{wama}
construct	nirmiwa~karanA{0}
constructor	nirmAwA{0}
constructors'	nirmAwA{ba.}{@vib:kA}
constructors	nirmAwA{@s}
constructor's	nirmAwA{@vib:kA}
constructs'	banAnA{ba.}{@vib:kA}
constructs	banAnA~{@s}
construct's	banAnA{@vib:kA}
constructs	nirmiwa~karanA~{@s}
constructs'	nirmiwa~karanA{@s}{@vib:kA}
construct's	nirmiwa~karanA{@vib:kA}
construe	ASaya~samaJanA^ASaya~bawalAnA{0}
construed	ASaya~samaJanA^ASaya~bawalAnA~{@ed/@en}
construes	ASaya~samaJanA^ASaya~bawalAnA~{@s}
construing	ASaya~samaJanA^ASaya~bawalAnA~{@ing}
consularer	xUwAvAsa~saMbaMXI~{wara}
consularest	xUwAvAsa~saMbaMXI~{wama}
consular	xUwAvAsa~saMbaMXI[-]
consulates'	xUwAvAsa{ba.}{@vib:kA}
consulates	xUwAvAsa{@s}
consulate's	xUwAvAsa{@vib:kA}
consulate	xUwAvAsa{0}
consul	rAjaxUwa{0}
consuls'	rAjaxUwa{ba.}{@vib:kA}
consuls	rAjaxUwa{@s}
consul's	rAjaxUwa{@vib:kA}
consultancy	salAhakArI~saMsWA
consultant	parAmarSaxAwA
consultation	parAmarSa
consultations'	vimarSa{ba.}{@vib:kA}
consultations	vimarSa{@s}
consultation's	vimarSa{@vib:kA}
consultation	vimarSa{0}
consultative	parAmarSaka[-]
consultativer	parAmarSaka~{wara}
consultativest	parAmarSaka~{wama}
consultatorier	parAmarSaka~{wara}
consultatoriest	parAmarSaka~{wama}
