# Girl standing in front of me ..
# Structure of the file:
##_I_was_fond_of_her_music.
#GOD,ÈÏÌÚÂèÌÚ,PADA,,
#These_are_the_people_who_most_need_our_help.
#_Girl_standing_in_front_of_me_..
#_Structure_of_the_file:
#aBiyAna_->_aBiyAna_calAnA
#anybody,³Û×Ü~ËÜ^³å§~ËÜ,PADA,kisI_oblque_form_of_koI,BI_is_optional_in_interrogative,
#anything's,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#anything,³å§~ËÜ{¸Üºé~ÍÚ~³ÚÌ},SABDA,,
#drift's,ÊØÆÚ{vib:³Ú},SABDA,,
#drift,ÊØÆÚ{0},SABDA,,
#drifted,ÊØÆÚ~{ed/en},SABDA,,
#drifting,ÊØÆÚ~{ing},SABDA,,
#drifts',ÊØÆÚ{s}{vib:³Ú},SABDA,,
#drifts,ÊØÆÚ~{s},SABDA,,
#fond,È×ÆèÄ~ØåÆÚ2[-],SABDA,,
#most,¤ÅÛ³ÂÌ,PADA,,
#nervous,ÔèÍµèÏ^×èÆÚÍÔÛ³[-],SABDA,,
#nobody,³å§~ÆØÜ¢{0},SABDA,,
#none,³å§~ÆØÜ¢,SABDA,,
#nothing,³İ¹~ËÜ~ÆØÜ¢^ÕŞÆèÍ{0},SABDA,,
#retain,×èÃÛÏ~Ï´ÆÚ{0},SABDA,,
#retained,×èÃÛÏ~Ï´ÆÚ~{ed/en},SABDA,,
#retaining,×èÃÛÏ~Ï´ÆÚ~{ing},SABDA,,
#retains,×èÃÛÏ~Ï´ÆÚ~{s},SABDA,,
#some,³İ¹^³å§,SABDA,,
#standing,×èÃÚ§/ÈèÏÂÛÖè¾Ú[-]~{ing},SABDA,,
#urge's,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{vib:³Ú},SABDA,,
#urge,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{0},SABDA,,
#urged,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ed/en},SABDA,,
#urges',ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]{s}{vib:³Ú},SABDA,,
#urges,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{s},SABDA,,
#urging,ÈèÏáÏÁÚ[>ÈèÏáÏÛÂ~³ÏÆÚ]~{ing},SABDA,,
#walking,ÈâÄÑ~¸ÑÆÚ[-]~{ing},SABDA,,
#wrd,paxasuwra,source,comment,path_of_essay_file
#writing,ÑÛ´Ú§,PADA,,
broadcast,ÈèÏ×ÚÏÁ~³ÏÆÚ{0},SABDA,,
broadcasted,ÈèÏ×ÚÏÁ~³ÏÆÚ~{ed/en},SABDA,,
broadcasting,ÈèÏ×ÚÏÁ~³ÏÆÚ~{ing},SABDA,,
broadcasts',ÈèÏ×ÚÏÁ~³ÏÆÚ{s}{vib:³Ú},SABDA,,
broadcasts,ÈèÏ×ÚÏÁ~³ÏÆÚ~{s},SABDA,,
broader,¸æ¿éÚ[>ÉâÑÚ~Øİ¥]~{ÂÏ},SABDA,,
broadest,¸æ¿éÚ[>ÉâÑÚ~Øİ¥]~{ÂÌ},SABDA,,
broads',¸æ¿éÚ[>ÉâÑÚ~Øİ¥]{s}{vib:³Ú},SABDA,,
broads,¸æ¿éÚ[>ÉâÑÚ~Øİ¥]{s},SABDA,,
brochure,ÔÛÔÏÁÛ³Ú,THAKURDASSJI,,
broke,³¿é³Ú/Âå¿é1`{ed},REF,,
broken,½Ş½^ÉŞ½[-]~{en},SABDA,,
bronchial,ÕèÔÚ×ÆÑÜ~×¢ÊÆèÅÜ[-],SABDA,,
brood's,Ê¸è¸á^¤¢¿á~×áÆÚ[>¸Û¢ÂÚ~³ÏÆÚ]{vib:³Ú},SABDA,,
brood,Ê¸è¸á^¤¢¿á~×áÆÚ[>¸Û¢ÂÚ~³ÏÆÚ]{0},SABDA,,/home/amba/anusAraka/ENGLISH/HND/paxa/essays/brood
brooded,Ê¸è¸á^¤¢¿á~×áÆÚ[>¸Û¢ÂÚ~³ÏÆÚ]~{ed/en},SABDA,,
brooding,Ê¸è¸á^¤¢¿á~×áÆÚ[>¸Û¢ÂÚ~³ÏÆÚ]~{ing},SABDA,,
broods',Ê¸è¸á^¤¢¿á~×áÆÚ[>¸Û¢ÂÚ~³ÏÆÚ]{s}{vib:³Ú},SABDA,,
broods,Ê¸è¸á^¤¢¿á~×áÆÚ[>¸Û¢ÂÚ~³ÏÆÚ]~{s},SABDA,,
brook's,ÆÄÜ/ÊÏÄÚÕèÂ~³ÏÆÚ{vib:³Ú},SABDA,,
brook,ÆÄÜ/ÊÏÄÚÕèÂ~³ÏÆÚ{0},SABDA,,
brooked,ÆÄÜ/ÊÏÄÚÕèÂ~³ÏÆÚ~{ed/en},SABDA,,
brooking,ÆÄÜ/ÊÏÄÚÕèÂ~³ÏÆÚ~{ing},SABDA,,
brooks',ÆÄÜ/ÊÏÄÚÕèÂ~³ÏÆÚ{s}{vib:³Ú},SABDA,,
brooks,ÆÄÜ/ÊÏÄÚÕèÂ~³ÏÆÚ~{s},SABDA,,
brother's,ËÚ§{vib:³Ú},SABDA,,
brother,ËÚ§{0},SABDA,,
brothers',ËÚ§{s}{vib:³Ú},SABDA,,
brothers,ËÚ§{s},SABDA,,
brougham,Ê¢Ä~¶å¿Ú~µÚ¿éÜ,REF,,
brought,ÑÚÆÚ[Ñá~ºÚÆÚ]~{ed/en},SABDA,,
brown's,ËŞÏÚ{vib:³Ú},SABDA,,
brown,ËŞÏÚ[-]{0},SABDA,,
browned,ËŞÏÚ~{ed/en},SABDA,,
browner,ËŞÏÚ~{ÂÏ},SABDA,,
browness,ËŞÏÚÈÆ,FROMNET,,
brownest,ËŞÏÚ~{ÂÌ},SABDA,,
browning,ËŞÏÚ~{ing},SABDA,,
browns',ËŞÏÚ{s}{vib:³Ú},SABDA,,
browns,ËŞÏÚ~{s},SABDA,,
browser,ÔÛ¸Ï³,Internet,,
brush's,ÊİÏİÕ^¹ŞÆÚ{ØÑè³á~×á}^»Ú¿éÆÚ{vib:³Ú},SABDA,,
brush,ÊİÏİÕ^¹ŞÆÚ{ØÑè³á~×á}^»Ú¿éÆÚ{0},SABDA,,
brushed,ÊİÏİÕ^¹ŞÆÚ{ØÑè³á~×á}^»Ú¿éÆÚ~{ed/en},SABDA,,
brushes,ÊİÏİÕ^¹ŞÆÚ{ØÑè³á~×á}^»Ú¿éÆÚ~{s},SABDA,,
brushing,ÊİÏİÕ^¹ŞÆÚ{ØÑè³á~×á}^»Ú¿éÆÚ~{ing},SABDA,,
brushoff's,ÊİÏİÕ^¹ŞÆÚ{ØÑè³á~×á}^»Ú¿éÆÚ{s}{vib:³Ú},SABDA,,
brushoff,ÊİÏİÕ^¹ŞÆÚ{ØÑè³á~×á}^»Ú¿éÆÚ{s},SABDA,,
bubble's,ÊİÑÊİÑÚ{vib:³Ú},SABDA,,
bubble,ÊİÑÊİÑÚ{0},SABDA,,
bubbled,ÊİÑÊİÑÚ~{ed/en},SABDA,,
bubbles',ÊİÑÊİÑÚ{s}{vib:³Ú},SABDA,,
bubbles,ÊİÑÊİÑÚ~{s},SABDA,,
bubbling,ÊİÑÊİÑÚ~{ing},SABDA,,
buck's,ØÛÏÁ/¹ÑÚ¡µ~ÑµÚÆÚ{vib:³Ú},SABDA,,
buck,ØÛÏÁ/¹ÑÚ¡µ~ÑµÚÆÚ{0},SABDA,,
bucked,ØÛÏÁ/¹ÑÚ¡µ~ÑµÚÆÚ~{ed/en},SABDA,,
bucket's,ÊÚÑè½Ü{vib:³Ú},SABDA,,
bucket,ÊÚÑè½Ü{0},SABDA,,
bucketed,ÊÚÑè½Ü~{ed/en},SABDA,,
bucketful,ÊÚÑè½Ü~ËÏ{0},PADA,,
bucketfuls,ÊÚÑè½ÜÍÚ¡~ËÏ~ËÏ,PADA,,
bucketing,ÊÚÑè½Ü~{ing},SABDA,,
buckets',ÊÚÑè½Ü{s}{vib:³Ú},SABDA,,
buckets,ÊÚÑè½Ü~{s},SABDA,,
bucking,ØÛÏÁ/¹ÑÚ¡µ~ÑµÚÆÚ~{ing},SABDA,,
bucks',ØÛÏÁ/¹ÑÚ¡µ~ÑµÚÆÚ{s}{vib:³Ú},SABDA,,
bucks,ØÛÏÁ/¹ÑÚ¡µ~ÑµÚÆÚ~{s},SABDA,,
buddy,Äå×èÂ,REF,,
budget's,Êº½{vib:³Ú},SABDA,,
budget,Êº½{0},SABDA,,
budgeted,Êº½~{ed/en},SABDA,,
budgeting,Êº½~{ing},SABDA,,
budgets',Êº½{s}{vib:³Ú},SABDA,,
budgets,Êº½~{s},SABDA,,
buff's,ÌİÑÚÍÌ~ÈÜÑÚ~¸Ì¿Ú{vib:³Ú},SABDA,,
buff,ÌİÑÚÍÌ~ÈÜÑÚ~¸Ì¿Ú[-]{0},SABDA,,
buffalo's,Ëâ¢×Ú{vib:³Ú},SABDA,,
buffalo,Ëâ¢×Ú{0},SABDA,,
buffaloed,Ëâ¢×Ú~{ed/en},SABDA,,
buffaloes's,Ëâ¢×Ú{s}{vib:³Ú},SABDA,,
buffaloes,Ëâ¢×Ú{s},SABDA,,
buffaloing,Ëâ¢×Ú~{ing},SABDA,,
buffalos,Ëâ¢×Ú~{s},SABDA,,
buffed,ÌİÑÚÍÌ~ÈÜÑÚ~¸Ì¿Ú~{ed/en},SABDA,,
buffer's,×İÏ³èÖÚ[×èÃÚÆ]^ÄÚÊ¿éÚ{vib:³Ú},SABDA,,
buffer,×İÏ³èÖÚ[×èÃÚÆ]^ÄÚÊ¿éÚ{0},SABDA,,
buffered,×İÏ³èÖÚ[×èÃÚÆ]^ÄÚÊ¿éÚ~{ed/en},SABDA,,
buffering,×İÏ³èÖÚ[×èÃÚÆ]^ÄÚÊ¿éÚ~{ing},SABDA,,
buffers',×İÏ³èÖÚ[×èÃÚÆ]^ÄÚÊ¿éÚ{s}{vib:³Ú},SABDA,,
buffers,×İÏ³èÖÚ[×èÃÚÆ]^ÄÚÊ¿éÚ~{s},SABDA,,
buffest,ÌİÑÚÍÌ~ÈÜÑÚ~¸Ì¿Ú~{ÂÌ},SABDA,,
buffing,ÌİÑÚÍÌ~ÈÜÑÚ~¸Ì¿Ú~{ing},SABDA,,
buffs',ÌİÑÚÍÌ~ÈÜÑÚ~¸Ì¿Ú{s}{vib:³Ú},SABDA,,
buffs,ÌİÑÚÍÌ~ÈÜÑÚ~¸Ì¿Ú~{s},SABDA,,
build's,ÆÛÏèÌÚÁ~³ÏÆÚ{vib:³Ú},SABDA,,
build,ÆÛÏèÌÚÁ~³ÏÆÚ{0},SABDA,,
builder's,ÆÛÏèÌÚÂÚ{vib:³Ú},SABDA,,
builder,ÆÛÏèÌÚÂÚ{0},SABDA,,
builders',ÆÛÏèÌÚÂÚ{s}{vib:³Ú},SABDA,,
builders,ÆÛÏèÌÚÂÚ{s},SABDA,,
building's,¦ÌÚÏÂ{vib:³Ú},SABDA,,
building,ÆÛÏèÌÚÁ~³ÏÆÚ~{ing}[>¦ÌÚÏÂ],SABDA,°Ñè¿è:¦ÌÚÏÂ~{ing},
buildings',¦ÌÚÏÂ{s}{vib:³Ú},SABDA,,
buildings,¦ÌÚÏÂ{s},SABDA,,
builds',ÆÛÏèÌÚÁ~³ÏÆÚ{s}{vib:³Ú},SABDA,,
builds,ÆÛÏèÌÚÁ~³ÏÆÚ~{s},SABDA,,
built,ÆÛÏèÌÚÁ~³ÏÆÚ~{ed/en},SABDA,,
bulk's,Ê¿Ú{vib:³Ú},SABDA,,
bulk,Ê¿Ú{0},SABDA,,
bulked,Ê¿Ú~{ed/en},SABDA,,
bulking,Ê¿Ú~{ing},SABDA,,
bulks',Ê¿Ú{s}{vib:³Ú},SABDA,,
bulks,Ê¿Ú~{s},SABDA,,
bull's,×Ú¡¿{vib:³Ú},SABDA,,
bull,×Ú¡¿[-]{0},SABDA,,
bulled,×Ú¡¿~{ed/en},SABDA,,
bullet's,µåÑÜ{vib:³Ú},SABDA,,
bullet,µåÑÜ{0},SABDA,,
bulletin's,ÔÛºè¼ÈèÂÛ{vib:³Ú},SABDA,,
bulletin,ÔÛºè¼ÈèÂÛ{0},SABDA,,
bulletined,ÔÛºè¼ÈèÂÛ~{ed/en},SABDA,,
bulletining,ÔÛºè¼ÈèÂÛ~{ing},SABDA,,
bulletins',ÔÛºè¼ÈèÂÛ{s}{vib:³Ú},SABDA,,
bulletins,ÔÛºè¼ÈèÂÛ~{s},SABDA,,
bulletproof,ÊİÑá½ÈèÏŞÉ,Miscelleneous,,
bullets',µåÑÜ{s}{vib:³Ú},SABDA,,
bullets,µåÑÜ{s},SABDA,,
bulling,×Ú¡¿~{ing},SABDA,,
bullock-cart's,ÊâÑ_µÚ¿Ü{vib:³Ú},SABDA,,
bullock-cart,ÊâÑ_µÚ¿Ü{0},SABDA,,
bullock-carts,ÊâÑ_µÚ¿Ü~{s},SABDA,,
bulls',×Ú¡¿{s}{vib:³Ú},SABDA,,
bulls,×Ú¡¿~{s},SABDA,,
bunch's,µİ¸è¹Ú{vib:³Ú},SABDA,,
bunch,µİ¸è¹Ú{0},SABDA,,
bunched,µİ¸è¹Ú~{ed/en},SABDA,,
bunches',µİ¸è¹Ú{s}{vib:³Ú},SABDA,,
bunches,µİ¸è¹Ú~{s},SABDA,,
bunching,µİ¸è¹Ú~{ing},SABDA,,
bundle's,Ê¢¿Ñ{vib:³Ú},SABDA,,
bundle,Ê¢¿Ñ{0},PADA,,
bundled,Ê¢¿Ñ~{ed/en},SABDA,,
bundles',Ê¢¿Ñ{s}{vib:³Ú},SABDA,,
bundles,Ê¢¿Ñ~{s},SABDA,,
bundling,Ê¢¿Ñ~{ing},SABDA,,
bunk's,ÕÚÍÛ³Ú{ºØÚº~Ìá¢}/Æ~ºÚÆÚ{vib:³Ú},SABDA,,
bunk,ÕÚÍÛ³Ú{ºØÚº~Ìá¢}/Æ~ºÚÆÚ{0},SABDA,,
bunked,ÕÚÍÛ³Ú{ºØÚº~Ìá¢}/Æ~ºÚÆÚ~{ed/en},SABDA,,
bunking,ÕÚÍÛ³Ú{ºØÚº~Ìá¢}/Æ~ºÚÆÚ~{ing},SABDA,,
bunks',ÕÚÍÛ³Ú{ºØÚº~Ìá¢}/Æ~ºÚÆÚ{s}{vib:³Ú},SABDA,,
bunks,ÕÚÍÛ³Ú{ºØÚº~Ìá¢}/Æ~ºÚÆÚ~{s},SABDA,,
burden's,Êå»{vib:³Ú},SABDA,,
burden,Êå»{0},SABDA,,
burdened,Êå»~{ed/en},SABDA,,
burdening,Êå»~{ing},SABDA,,
burdens',Êå»{s}{vib:³Ú},SABDA,,
burdens,Êå»~{s},SABDA,,
bureau's,ÑÛ´Æá~³Ü~Ìáºé[>ÔÛËÚµ]{vib:³Ú},SABDA,,
bureau,ÑÛ´Æá~³Ü~Ìáºé[>ÔÛËÚµ]{0},SABDA,,
bureaus',ÑÛ´Æá~³Ü~Ìáºé[>ÔÛËÚµ]{s}{vib:³Ú},SABDA,,
bureaus,ÑÛ´Æá~³Ü~Ìáºé[>ÔÛËÚµ]{s},SABDA,,
bureaux's,ÑÛ´Æá~³Ü~Ìáºé[>ÔÛËÚµ]{s}{vib:³Ú},SABDA,,
bureaux,ÑÛ´Æá~³Ü~Ìáºé[>ÔÛËÚµ]{s},SABDA,,
burgler,×áÆèÅÌÚÏ,FROMNET,,
burial's,ÄÉéÆ~³ÏÆÚ{vib:³Ú},SABDA,,
burial,ÄÉéÆ~³ÏÆÚ{0},SABDA,,
burials',ÄÉéÆ~³ÏÆÚ{s}{vib:³Ú},SABDA,,
burials,ÄÉéÆ~³ÏÆÚ{s},SABDA,,
buried,ÄÉéÆÚÆÚ~{ed/en},SABDA,,
buries,ÄÉéÆÚÆÚ~{s},SABDA,,
burn's,ºÑÚÆÚ{vib:³Ú},SABDA,,
burn,ºÑÚÆÚ{0},SABDA,,
burned,ºÑÚÆÚ~{ed/en},SABDA,,
burning,ºÑÚÆÚ~{ing},SABDA,,
burnout's,ºÑÚÆÚ{s}{vib:³Ú},SABDA,,
burnout,ºÑÚÆÚ{s},SABDA,,
burns,ºÑÚÆÚ~{s},SABDA,,
burnt,ºÑÚÆÚ~{ed/en},SABDA,,
burser,ÊÏè×Ï/³åÖ-¤ÅÜ³èÖ³,Designation_and_Department_Names:HARIRAM,,
burst's,É½~ÆÛ³ÑÆÚ{vib:³Ú},SABDA,,
burst,É½~ÆÛ³ÑÆÚ{0},SABDA,,
bursting,É½~ÆÛ³ÑÆÚ~{ing},SABDA,,
bursts',É½~ÆÛ³ÑÆÚ{s}{vib:³Ú},SABDA,,
bursts,É½~ÆÛ³ÑÆÚ~{s},SABDA,,
bury,ÄÉéÆÚÆÚ{0},SABDA,,
burying,ÄÉéÆÚÆÚ~{ing},SABDA,,
bus's,Ê×{vib:³Ú},SABDA,,
bus,Ê×{0},SABDA,,
buses',Ê×{s}{vib:³Ú},SABDA,,
buses,Ê×{s},SABDA,,
bush's,»Ú¿Ü{vib:³Ú},SABDA,,
bush,»Ú¿Ü[-]{0},SABDA,,
bushed,»Ú¿Ü~{ed/en},SABDA,,
bushes',»Ú¿Ü{s}{vib:³Ú},SABDA,,
bushes,»Ú¿Ü~{s},SABDA,,
bushing,»Ú¿Ü~{ing},SABDA,,
bushirt's,»Ú¿Ü{vib:³Ú},SABDA,,
bushirt,»Ú¿Ü{0},SABDA,,
bushirts',»Ú¿Ü{s}{vib:³Ú},SABDA,,
bushirts,»Ú¿Ü{s},SABDA,,
busied,ÔèÍ×èÂ~{ed/en},SABDA,,
busier,ÔèÍ×èÂ~{ÂÏ},SABDA,,
busies,ÔèÍ×èÂ~{s},SABDA,,
busiest,ÔèÍ×èÂ~{ÂÌ},SABDA,,
business's,ÔèÍÚÈÚÏ^ÌÚÌÑÚ{vib:³Ú},SABDA,,
business,ÔèÍÚÈÚÏ^ÌÚÌÑÚ{0},SABDA,,
businesses',ÔèÍÚÈÚÏ^ÌÚÌÑÚ{s}{vib:³Ú},SABDA,,
businesses,ÔèÍÚÈÚÏ^ÌÚÌÑÚ{s},SABDA,,
businessman's,ÔèÍÚÈÚÏÜ{vib:³Ú},SABDA,,
businessman,ÔèÍÚÈÚÏÜ{0},SABDA,,
businessmen's,ÔèÍÚÈÚÏÜ{s}{vib:³Ú},SABDA,,
businessmen,ÔèÍÚÈÚÏÜ{s},SABDA,,
businesswoman's,ÔèÍÚÈÚÏÜ{vib:³Ú},SABDA,,
businesswoman,ÔèÍÚÈÚÏÜ{0},SABDA,,
businesswomen's,ÔèÍÚÈÚÏÜ{s}{vib:³Ú},SABDA,,
businesswomen,ÔèÍÚÈÚÏÜ{s},SABDA,,
bussed,Ê×~{ed/en},SABDA,,
busses,Ê×~{s},SABDA,,
bussing,Ê×~{ing},SABDA,,
busy,ÔèÍ×èÂ{0}[-],SABDA,,
busying,ÔèÍ×èÂ~{ing},SABDA,,
but's,but{->Ñá³ÛÆ/³á~¤ÂÛÏÛ³èÂ}{vib:³Ú},SABDA,,
but,but{Ñá³ÛÆ/->³á~¤ÂÛÏÛ³èÂ},PREP,,
buts',but{->Ñá³ÛÆ/³á~¤ÂÛÏÛ³èÂ}{s}{vib:³Ú},SABDA,,
buts,but{->Ñá³ÛÆ/³á~¤ÂÛÏÛ³èÂ}{s},SABDA,,
butter's,Ì³è´Æ~[ÑµÚÆÚ]{vib:³Ú},SABDA,,
butter,Ì³è´Æ~[ÑµÚÆÚ]{0},SABDA,,
buttered,Ì³è´Æ~ÑµÚÆÚ~{ed/en},PADA,,
buttering,Ì³è´Æ~ÑµÚÆÚ~{ing},PADA,,
butters',Ì³è´Æ~[ÑµÚÆÚ]{s}{vib:³Ú},SABDA,,
butters,Ì³è´Æ~ÑµÚÆÚ~{s},PADA,,
button's,Ê½Æ{vib:³Ú},SABDA,,
button,Ê½Æ~{0},SABDA,,
buttoned,Ê½Æ~ÑµÚÆÚ~{ed/en},SABDA,,
buttoning,Ê½Æ~ÑµÚÆÚ~{ing},SABDA,,
buttons',Ê½Æ{s}{vib:³Ú},SABDA,,
buttons,Ê½Æ~{s},SABDA,,
buttonwood's,Ê½Æ~[ÑµÚÆÚ/Ê¢Ä~³ÏÆÚ]{vib:³Ú},SABDA,,
buttonwood,Ê½Æ~[ÑµÚÆÚ/Ê¢Ä~³ÏÆÚ]{0},SABDA,,
buttonwoods',Ê½Æ~[ÑµÚÆÚ/Ê¢Ä~³ÏÆÚ]{s}{vib:³Ú},SABDA,,
buttonwoods,Ê½Æ~[ÑµÚÆÚ/Ê¢Ä~³ÏÆÚ]{s},SABDA,,
buy's,´ÏÜÄÆÚ{vib:³Ú},SABDA,,
buy,´ÏÜÄÆÚ{0},SABDA,,
buying,´ÏÜÄÆÚ~{ing},SABDA,,
buys',´ÏÜÄÆÚ{s}{vib:³Ú},SABDA,,
buys,´ÏÜÄÆÚ~{s},SABDA,,
by's,by{->ÄèÔÚÏÚ[>×á]/ÈÚ×~Ìá¢}{vib:³Ú},SABDA,,
by,by{->ÄèÔÚÏÚ[>×á]/ÈÚ×~Ìá¢},PREP,,
by-and-by's,by{->ÄèÔÚÏÚ[>×á]/ÈÚ×~Ìá¢}{s}{vib:³Ú},SABDA,,
by-and-by,by{->ÄèÔÚÏÚ[>×á]/ÈÚ×~Ìá¢}{s},SABDA,,
by-law,¨ÈÔÛÅÛ,BHATIA,,
byandby's,by{->ÄèÔÚÏÚ[>×á]/ÈÚ×~Ìá¢}{s}{vib:³Ú},SABDA,,
byandby,by{->ÄèÔÚÏÚ[>×á]/ÈÚ×~Ìá¢}{s},SABDA,,
bye,ÊÚÍ,PADA,,
byelaw,¨ÈÔÛÅÛ,BHATIA,,
byte,ÊÚ¦½~/~¤Öè½~ÊÛ½,Symbols/Notations/Keywords,,
c++,×Ü~ÈèÑ×~ÈèÑ×,Programming-Languages,,
c,×Ü,Programming-Languages,,
cabin's,³³èÖ`{vib:³Ú},SABDA,,
cabin,³³èÖ`{0},SABDA,,
cabinet,³âÊÛÆá½,REF,,
cabins',³³èÖ`{s}{vib:³Ú},SABDA,,
cabins,³³èÖ`{s},SABDA,,
cablegram,×ÌİÄèÏÜ~ÂÚÏ,Administration_Glossary:HARIRAM,,
cache,³âÕ/~ÄèÏİÂÛ³Ú,Input-Output-Devices,,
cadre,×¢ÔÏèµ,THAKURDASSJI,,
cafeteria's,¤ÆèÆÈŞÏèÁÚ{vib:³Ú},SABDA,,
cafeteria,¤ÆèÆÈŞÏèÁÚ{0},SABDA,,
cafeterias',¤ÆèÆÈŞÏèÁÚ{s}{vib:³Ú},SABDA,,
cafeterias,¤ÆèÆÈŞÏèÁÚ{s},SABDA,,
cage's,ÈÛ¢ºÏÚ`{vib:³Ú},SABDA,,
cage,ÈÛ¢ºÏÚ`{0},SABDA,,
caged,ÈÛ¢ºÏÚ`~{ed/en},SABDA,,
cages',ÈÛ¢ºÏÚ`{s}{vib:³Ú},SABDA,,
cages,ÈÛ¢ºÏÚ`~{s},SABDA,,
caging,ÈÛ¢ºÏÚ`~{ing},SABDA,,
calculate,ØÛ×ÚÊ~ÑµÚÆÚ/ÍåºÆÚ~ÊÆÚÆÚ{0},SABDA,,
calculated,ØÛ×ÚÊ~ÑµÚÆÚ/ÍåºÆÚ~ÊÆÚÆÚ~{ed/en},SABDA,,
calculates,ØÛ×ÚÊ~ÑµÚÆÚ/ÍåºÆÚ~ÊÆÚÆÚ~{s},SABDA,,
calculating,ØÛ×ÚÊ~ÑµÚÆÚ/ÍåºÆÚ~ÊÆÚÆÚ~{ing},SABDA,,
calculator's,µÁÆÚ³ÏèÂÚ{vib:³Ú},SABDA,,
calculator,µÁÆÚ³ÏèÂÚ{0},SABDA,,
calculators',µÁÆÚ³ÏèÂÚ{s}{vib:³Ú},SABDA,,
calculators,µÁÆÚ³ÏèÂÚ{s},SABDA,,
calendar's,È¢¸Ú¢µ^³ÚÑÚÆİ³èÏÌÛ³~×Ş¸Ü{vib:³Ú},SABDA,,
calendar,È¢¸Ú¢µ^³ÚÑÚÆİ³èÏÌÛ³~×Ş¸Ü{0},SABDA,,
calendared,È¢¸Ú¢µ^³ÚÑÚÆİ³èÏÌÛ³~×Ş¸Ü~{ed/en},SABDA,,
calendaring,È¢¸Ú¢µ^³ÚÑÚÆİ³èÏÌÛ³~×Ş¸Ü~{ing},SABDA,,
calendars',È¢¸Ú¢µ^³ÚÑÚÆİ³èÏÌÛ³~×Ş¸Ü{s}{vib:³Ú},SABDA,,
calendars,È¢¸Ú¢µ^³ÚÑÚÆİ³èÏÌÛ³~×Ş¸Ü~{s},SABDA,,
calender,³âÑá¢¿Ï/×Ş¸Ü,Administration_Glossary:HARIRAM,,
calif's,´éÑÜÉÚ{vib:³Ú},SABDA,,
calif,´éÑÜÉÚ{0},SABDA,,
califs',´éÑÜÉÚ{s}{vib:³Ú},SABDA,,
califs,´éÑÜÉÚ{s},SABDA,,
caliph's,´éÑÜÉÚ{vib:³Ú},SABDA,,
caliph,´éÑÜÉÚ{0},SABDA,,
caliphs',´éÑÜÉÚ{s}{vib:³Ú},SABDA,,
caliphs,´éÑÜÉÚ{s},SABDA,,
call's,ÊİÑÚÆÚ{vib:³Ú},SABDA,,
call,ÊİÑÚÆÚ{0},SABDA,,
called,ÊİÑÚÆÚ~{ed/en},SABDA,,
calligraphist,×İÑá´³ÚÏ/´İÕÆÔÜ×,Designation_and_Department_Names:HARIRAM,,
calling,ÊİÑÚÆÚ~{ing},SABDA,,
calls',ÊİÑÚÆÚ{s}{vib:³Ú},SABDA,,
calls,ÊİÑÚÆÚ~{s},SABDA,,
callus,³¿éÜ~ÂèÔ¸Ú/ÂÔÑÚ~³Ú~ÔØ~ËÚµ~ºå~³¿éÚ~Øå,FROMNET,,
calm's,ÕÚ¢Â^ÕÚ¢ÂÛ{vib:³Ú},SABDA,,
calm,ÕÚ¢Â^ÕÚ¢ÂÛ[-]{0},SABDA,,
calmed,ÕÚ¢Â^ÕÚ¢ÂÛ~{ed/en},SABDA,,
calmer,ÕÚ¢Â^ÕÚ¢ÂÛ~{ÂÏ},SABDA,,
calmest,ÕÚ¢Â^ÕÚ¢ÂÛ~{ÂÌ},SABDA,,
calming,ÕÚ¢Â^ÕÚ¢ÂÛ~{ing},SABDA,,
calms',ÕÚ¢Â^ÕÚ¢ÂÛ{s}{vib:³Ú},SABDA,,
calms,ÕÚ¢Â^ÕÚ¢ÂÛ~{s},SABDA,,
came,¥ÆÚ~{ed},SABDA,,
camera's,³âÌáÏÚ{vib:³Ú},SABDA,,
camera,³âÌáÏÚ{0},SABDA,,
camerae's,³âÌáÏÚ{s}{vib:³Ú},SABDA,,
camerae,³âÌáÏÚ{s},SABDA,,
camp's,ÕÛÔÛÏ{vib:³Ú},SABDA,,
camp,ÕÛÔÛÏ[-]{0},SABDA,,
campaign's,¤ËÛÍÚÆ{vib:³Ú},SABDA,,
campaign,¤ËÛÍÚÆ{0},SABDA,,
campaigned,¤ËÛÍÚÆ~¸ÑÚÆÚ~{ed/en},SABDA,,
campaigning,¤ËÛÍÚÆ~¸ÑÚÆÚ~{ing},SABDA,,
campaigns',¤ËÛÍÚÆ{s}{vib:³Ú},SABDA,,
campaigns,¤ËÛÍÚÆ~{s},SABDA,,
camped,ÕÛÔÛÏ~{ed/en},SABDA,,
campest,ÕÛÔÛÏ~{ÂÌ},SABDA,,
camping,ÕÛÔÛÏ~{ing},SABDA,,
camps',ÕÛÔÛÏ{s}{vib:³Ú},SABDA,,
camps,ÕÛÔÛÏ~{s},SABDA,,
campus's,ÔÛÄèÍÚÑÍ~ÈÏÛ×Ï{vib:³Ú},SABDA,,
