attorney-at-law	pramANiwa_aBikarwA
meatball	Cote_tukadoM_meM_kate_mOYMsa_ke_gole
mecca	makkA
mechanic	mEkEnika
mechanical	yAMwrika
mechanically	yAMwrika_rUpa_se
mechanics	yaMwravijFAna
mechanise	maSInIkaraNa
mechanism	kriyA
mechanistic	yAMwrikIya
medal	paxaka
medallion	badA_paxaka
meddler	kAma_meM_haswakRepa_karane_vAlA
meddlesome	haswakRepa_karane_meM_lIna_rahanevAlA
media	saMcAra_mAXyama
mediaeval	maXyakAlIna
median	maXyasWa
mediate	maXyasWa_kA_kAma_kara
mediation	bIcabacAva_karanA
mediator	bIcabacAva_karane_vAlA
medic	dAktara
medicaid	medikeda
medicament	xavAxArU
medicate	xavA_yukwa
medication	xavA_kA_prayoga
medicinal	roganASaka
medico	cikiwsaka
medieval	maXyakAlIna
mediocre	sAXAraNa
meditate	wapasyA_kara
meditation	sAXanA
meditative	socane_meM_magna
mediterranean	BUmaXyasAgara
medley	alaga_alaga_kA_mela
meek	xabbU
meekly	cupacApa
meekness	namrawA
mega	bahuwa_badA
megabyte	kampyUtara_kI_smqwi_kA_mApa
megahertz	rediyo_PrIkvEMsI_kA_mApa
megalith	badA_pawWara
megalithic	bade_pawWaroM_kA_banA_huA
megalomania	kI_wIvra_lAlasA
megalomaniac	ke_lie_pAgala
megaphone	BoMpU
megastar	bada_siwArA
megaton	bahuwa_badA_XamAkA
melamine	momajAmA
melancholia	mAnasika_rugNawA
melancholic	uxAsI_kI_avasWA
melange	miSraNa
melanin	melenina
melanoma	camadI_para_eka_gaharA_xAga
meld	miSraNa_kara
melee	saMBramiwa_BIda
mellifluous	maXura
mellow	xayAlu
melodious	surIlA
melodrama	uwwejanAyukwa_nAtaka
melodramatic	awinAtakIya
melodramatically	awinAtakIyawA_se
melody	maXura_saMgIwa
melon	warabUja
meltdown	paramANu_xurGatanA
member	saxasya
membership	saxasyawA
membrane	JillI
memento	niSAnI
memo	purjA
memoir	jIvanI
memorabilia	smaraNIya_vaswuez
memorable	smaraNIya
memorandum	jFApana
memorial	smAraka
memorialise	yAxagAra_xivasa_manA
memorise	yAxa_kara
memory	smqwi
menacingly	XamakAwe_hue
menage	parivAra_ke_saxasya
menagerie	jAnavaroM_kA_samUha
mend	TIka_kara
mendacious	JUTA
mender	TIka_karane_vAlA
mendicant	BIkRu
menfolk	puruRa
menial	CotA_kAma
meningitis	garxana_woda_buKAra
menopause	mAsika_Xarma_kA_baMxa_ho_jAnA
menses	mAsika_Xarma
menstrual	mAsika_Xarma_se_saMbanXiwa
menswear	AxamiyoM_ke_kapade
mentality	mAnasika_xaSA
menthol	puxIne_kA_sawa
mentor	viSvasanIya_salAhakAra
menu	menU
mercantile	vANijyikIya
mercenary	kirAye_kA_sEnika
mercer	vaswra
merchandise	vyApArI_mAla
merchant	vyApArI
merchantable	vyApAra_yogya
merciful	xayAlu
mercifully	xayApUrvaka
merciless	kaTora
mercilessly	nirxayawA_se
mercurial	pArA_yukwa_xavA
mercury	pArA
mercy	xayA
merely	sirPa
meretricious	banAvatI_SoBA_yukwa
merge	vilaya_kara
merger	vilayana
meridian	xopahara
meringue	eka_prakAra_kI_miTAI
merino	Beda_kI_eka_jAwi
meritorious	sarAhanIya
merlin	CotA_bAja
mermaid	jalaparI
merrily	AnaMxiwa_waraha_se
merriment	Ananxa
merry	AnanxapUrNa
merrymaking	KuSI_manAnA
mesa	DaluA_paTAra
mescaline	eka_waraha_kI_naSIlI_xavA
mesmeric	sammohaka
mesmerise	sammohiwa_kara
message	saMxeSa
messenger	saMxeSavAhaka
messiah	mukwixAwA
messily	gaMxe_warIke_se
messiness	gaMxagI
messrs	sarvaSrI
messy	PElA_huA
metabolism	rasa_prakriyA
metal	XAwu
metalanguage	BARA
metallic	XAwu_jEsA
metallurgy	XAwu_vijFAna
metalwork	XAwu_para_kArya
metamorphose	baxalAva
metamorphosis	AkAra_baxalanA
metaphor	alaMkAra
metaphysics	wawvavijFAna
meteor	ulkA
meteorite	tUtA_huA_wArA
meteorological	mOsamavijFAna_sambanXI
meteorology	mOsama_vijFAna
meter	mApaka
methane	xalaxala_kI_vAyu
method	praNAlI
methodical	vyavasWiwa
methodism	niyamavAxa
methodologist	niyamavAxI
meticulous	awisAvaXAna
metre	Canxa
metric	mItara_kA
metrical	paxyAwmaka
metro	badA_Sahara
metronome	wAlamAna
metropolis	mahAnagarI
metropolitan	mahAnagarIya
mettle	sAhasa
mew	sAgara_kA_pakRI
mews	GudasAla
mezzanine	xuCawwI
miasma	xURiwa_vAyu
mica	aBaraka
mice	cUhe
michaelmas	saMwa_mAIkala_kI_yAxa_meM_badA_xina
mickey	mikI
micro	sUkRma
microbe	sUkRma_kItANu
microbiology	aNujIva_vijFAna
microchip	mAikrocipa
microcomputer	sUkRma_saMgaNaka
microcosm	sUkRma_brahmANda
microfiche	laGuPilma_kI_CotI_parawa
microfilm	laGuPilma
microlight	CotA_Ora_halakA_havAIjahAja
micron	mItara_kA_xasalAKavAz_BAga
microphone	mAika
microprocessor	CotA_saMgaNaka
microscope	sUkRmaxarSI
microscopic	sUkRma
microwave	sUkRma_waraMga
mid	maXya
midday	xopahara
middle-class_word	maXyavarga
middlebrow	jyAxA_buxXimAna_nahIM
middleman	bicOliyA
midfield	mExAna_kA_maXya
midge	eka_CotA_macCara
midget	bOnA_AxamI
midlands	maXyaxeSa
midnight	maXyarAwrI
midpoint	maXyabiMxu
midriff	prAcIra
midshipman	nOsEnika
midst	bIca
midstream	maJaXAra
midsummer	garmiyoM_kA_maXya
midway	bIca_kA_mArga
midweek	sapwAha_kA_maXya
midwife	xAI
midwinter	SIwakAla_kA_maXya
mien	hAvaBAva
miff	ciDA_huA
migraine	AXe_sira_kA_xarxa
migrant	pravAsI
migrate	xUsare_xeSa_meM_jA
migration	pravAsa
migratory	pravAsI
mike	mAikroPona
mild	vinamra
mildew	PaPUzxI
mildly	namrawA_pUrvaka
mildness	mqxuwA
mile	mIla
mileage	mIloM_kI_saMKyA
miler	eka_mIla_xOdane_vAlA
milestone	mIla_kA_pawWara
milieu	vAwAvaraNa
militancy	AkrAmakawA
militarise	senAyukwa_kara
militarism	sEnaSakwi_baDAnA
militaristic	AkrAmaka
militia	nAgarika_senA
milkmaid	xUXa_xuhane_vAlI
milkman	xUXavAlA
milksop	darapoka
milky	xUXiyA
millennium	sahaswrAbxa
miller	mila_mAlika
millet	motA_anAja
millibar	milibAra
milligram	miligrAma
millilitre	mililitara
millimetre	milimItara
milliner	mahilAoM_ke_hEta_becanevAlA
millionaire	laKapawi
millipede	lAKoM_pEra_vAlA
millisecond	kRaNa_kA_lAKavAM_BAga
millpond	cakkI_calAne_ke_lie_nirmiwa_wAlAba
millstone	cakkI_kA_pawWara
milometer	mIlamApI
mimetic	nakala_karane_vAlA
mimicry	nakala_karanA
mimosa	pIle_PUloM_kA_peda
minaret	mInAra
minatory	XamakIpUrNa
mincemeat	kImA
mindful	sAvaXAna
mindfully	sAvaXAnI_se
mindfulness	sAvaXAnI
mindless	lAparavAha
mindset	ravEyA
minefield	KaxAna
miner	KaxAna_meM_kAma_karane_vAlA
mineral	Kanija
mineralogy	KanijavijFAna
minesweeper	suraMga_BexI_powa
mineworker	KAna_meM_kAma_karane_vAlA
mingle	GulanA_milanA
mingy	kaMjUsa
mini	CotA
miniature	laGurUpa
minibus	CotI_basa
minicab	eka_tEksI_jo_pahale_se_waya_ho
minicomputer	CotA_saMgaNaka
minim	eka_prakAra_kA_rAga
minimise	CotA_kara
minion	cApalUsa
miniseries	XArAvAhika
ministerial	maMwrAlaya_saMbaMXI
ministration	sevA
ministry	maMwrI_maMdala
mink	UxabilAva_ke_bAla
minnow	CotI_maCalI
minority	alpasaMKyaka
minster	ASrama
minstrel	nata
minuet	eka_XImA_nAca
minus	ke_binA
minuscule	bahuwa_CotA
minutely	sUkRmawA_se
minuteness	sUkRmawA
minx	makkAra
miracle	camawkAra
miraculous	camawkArI
mirage	mqgawqRNA
mirror	xarpaNa
mirth	hazsI_vinoxa
mirthful	ullAsapUrNa
mirthfully	ullAsa_ke_sAWa
miry	kIcadayukwa
misadventure	xurGatanA
misanthropic	mAnavaxveRI
misanthropy	mAnava-xveRa
misapplication	xurupayoga
misapply	xurupayoga_karanA
misapprehension	Brama
misappropriate	gabana_kara
misbegotten	bekAra_yojanA_banAnA
misbehave	burA_vyahavAra_kara
misbehaviour	burA_vyahavAra
miscalculate	galawa_hisAba_lagA
miscalculation	galawa_hisAba
miscarriage	garBapAwa
miscarry	garBapAwa_ho
miscast	galawa_kAma_xe
miscellaneous	aneka_prakAra_ke
miscellany	viviXa_saMgraha
mischance	baxakismawI
mischief	SEwAnI
mischievous	SEwAna
mischievously	SEwAnI_pUrNa
misconceive	galawa_samaJa
misconception	galawa_vicAra
misconduct	anAcAra
misconstruction	galawa_samaJanA
misconstrue	anarWa_karanA
miscreant	SarArawI_wawwva
misdeed	burA_kAma
misdemeanour	sAXAraNa_aparAXa
misdirect	galawa_rAswA_xiKA
miserable	xuKI
miserly	kaMjUsa
misery	xuHKa
misfire	galawa_cala_jA
misfit	anupayukwa
misfortune	baxakismawI
misgive	Subaha
misguided	galawa_rAswe_para_calanevAle
mishandle	galawa_DaMga_se_prayoga_karanA
mishap	xurGatanA
mishear	galawa_suna
mishit	galawa_niSAnA
mishmash	gadabadI
misinform	galawa_sUcanA_xenA
misinformation	galawa_sUcanA
misinterpret	galawa_samaJa
misinterpretation	galawa_samaJanA
misjudge	galawa_nirNaya_lenA
misjudgement	galawa_PEsalA
mislaid	galawa_jagaha_para_raKA_huA
mislay	galawa_jagaha_para_raKa
misleadingly	bahakAwe_hue
mismanage	kuprabanXa_kara
mismanagement	kuprabanXa
mismatch	bemela
misname	galawa_nAma_ho
misnomer	nAma_kA_galawa_prayoga
misogynist	Orawa_jAwi_se_naParawa_karane_vAlA_AxamI
mispronounce	galawa_uccAraNa_kara
misquotation	galawa_uxXaraNa
misquote	galawa_uxXaraNa_xe
misread	galawa_paDanA
misrepresent	galawa_prawiniXiwva_kara
misrule	kuSAsana
missal	isAiyoM_kI_pUjA_kI_kiwAba
missile	misAila
mission	SiRtamaMdala
missionary	Xarma_pracAra_karane_vAlA
missive	laMbA_kAryAlayI_pawra
misspend	galawa_Karca_kara
misspent	galawa_Karca_kiyA_huA
missus	SrImawI
mist	XuMXa
mister	SrImAna
mistime	galawa_samaya_para_kara
mistletoe	amarabela
mistreat	galawa_vyavahAra_kara
mistreatment	galawa_vyavahAra
mistress	mAlakina
mistrial	galawa_mukaxamA
mistrustful	aviSvAsI
mistrustfully	aviSvAsa_ke_sAWa
misty	XuMXa_se_BarA_huA
misuse	galawa_prayoga
mite	WodA
mitigation	gamBIrawA_kama_kara_xenA
mitre	pAxariyoM_kI_UzcI_topI
mitt	mukkebAjI_ke_xaswAne
mitten	jAlI_ke_xaswAne
mixer	miksara
mixture	miSraNa
mnemonic	yAxaxASwa_baDAne_vAlA_SAswra
moat	KAI
mob	uwwejiwa_BIda
mobilise	gawiSIla_kara
mobility	gawiSIlawA
mobster	guMdA
moccasin	narama_camade_se_banA_sapAta_jUwA
mocha	eka_prakAra_kA_hIrA
mockery	majAka
mod	AXunika
mode	warIkA
modem	modema
moderately	OsawaH
moderation	saMyama
moderator	maXyasWa
modern	AXunika
modernisation	AXunikaraNa
modernise	AXunikaraNa_kara
modernism	AXunikawA
modernistic	AXunikawAvAxI
modest	vinamra
modestly	vinamrawA_se
modesty	saMkoca
modicum	tukadA
modification	suXAra
modifier	suXAraka
modify	suXAra
modish	AXunika_rIwi_ke_anusAra
modulate	svara_sAXanA
module	ikAI
moggie	billI
mogul	mugala
mohammed	muhammaxa
moist	nama
moisture	namI
molar	xADa
molasses	sIrA
mole	wila
molecule	aNu
molehill	bAMbI
moleskin	narama_sUwI_kapadA
molest	sawA
molester	CedaCAda_karanevAlA
moll	guMdI
mollify	SAMwa_kara
mollusc	GoMGA
mollycoddle	awyaXika_XyAna_xenA
mom	mAz
moment	kRaNa
momentarily	kRaNa_Bara_ke_lie
momentary	kRaNika
momentous	awi_mahwvapUrNa
momentum	gawi
mommy	mAz
monarch	rAjA
monastery	maTa
monastic	ASrama_saMbaMXI
monatorium	qNa_sWagana
monatory	vilambakArI
monetary	pEse_se_saMbaMXiwa
money	pEsA
moneyed	XanavAna
mongoose	nevalA
mongrel	miSriwa_jAwi_kA_kuwwA
monitoress	kakRAnAyikA
monitory	upaxeSaka
monk	BikRu
monkish	BikRu_jEsA
mono	EkavarNa
monoacidic	ekAmlaka
monoatomic	eka_paramANuka
monocephalous	eka_maswakavAlA
monochord	svaramApI
monochromatic	ekavarNI
monochrome	eka_varNa
monocle	upanewra
monocracy	eka_wanwra
monocratie	eka_SAsakIya
monocular	eka_newrI
monodrama	ekala_nAtaka
monody	eka_svara_gIwa
monogamist	eka_palIka
monogram	monogrAma
monophonemics	rUpasvanima_vijFAna
monosyllabic	ekAkRarIya
monotheism	ekeSvaravAxa
monotheist	ekeSvaravAxI
monotheistic	ekESvaravAxAwmaka
monotonic	eka_svara
monotonous	eka_sA
monotony	ekarasawA
monotypic	eka_prawirUpI
monovalent	eka_saMyojaka
monoxide	ekala_OYksAida
monsignor	mahAmAnyavara
monsoon	mAnsUna
monster	virUpa_prANI
monstrosity	BImakAya_prANi
monstrous	aprAkqwika
monsuir	SrImAna
montage	saMgraWiwa_ciwra
montane	parvawIya
month	mahInA
monument	smAraka
moo	raMBaNa
mood	manoxaSA
moodily	uxAsI
moody	wunukamijAja
moon	canxramA
moondrop	canxrakAnwamaNi
moonles	cAzxarahiwa
moonless	amAvasa
moonlight	cAzxanI
moonlit	cAzxanI
moonrise	canxroxaya
moonstone	canxrakAnwa
moonstruck	pAgala
moor	baMjara_BUmi
mop	JAda
moral	nEwika
morale	manoxaSA
moralistic	SikRA_praxa
moralitically	nIwivAxAwmaka_rUpa_se
morass	xalaxala
morbid	rogagraswa
morbidity	rugNawA
morbific	rogakAraka
mordant	katu
mordantly	wIkRNawApUrvaka
mordent	svara_kampana
morello	gaharA_lAla_raMga_kA_cerI_kA_Pala
mores	lokarIwi
morganatic	anuloma
morganatically	anuloma_vivAha_ke_xvArA
morgue	muraxAGara
moribund	anwa_ke_karIba
mority	mqwyu_saMKyA
morly	marwyawA
morman	moramana
mormonism	moramanavAxa
morn	subaha
morning	subaha
mornings	prawyeka_subaha
morocco	camadA
moron	maMxabuxXi
moronic	kRINa_buxXi_kA
moronically	bAliSawA_se
morose	cida_pidA
morosely	uxAsI
moroseness	cidAzpidApana
morph	rUpa
morpheme	rUpagrAma
morphemics	rUpima_vijFAna
morpheus	yUnAna_kA_svapna_xevawA
morphic	AkAra_sambanXI
morphine	ahiPenAsava
morphogenesis	saMracanA_vikAsa
morphological	rUpAwmaka
morphologist	Akqwi_vijFAnI
morphology	Akqwi_vijFAna
morrow	kala
morsal	kabala
morsin	mahApApa
mortage	banXaka_raKa
mortager	banXakaxAwA
mortality	mqwyu_saMKyA
mortar	Karala
mortician	anwyeRti_nirvAhaka
mortification	lajjA
mortify	lajjiwa_kara
mortlock	cUlaxAra_wAlA
mortuary	muraxAGAra
mosaic	paccIkArI
mosque	masjixa
mosquito	macCara
mossy	kAI_BarA
most	sabase_aXika
mosy	cUhe_jEsA
mother	mAz
motherliness	mAwq_sulaBawA
motherly	mAwq_sulBa
motiff	anukalpa
motionless	gawihIna
motionlessly	gawihInawA_se
motivation	preraNa
motive	hewu
motiveless	niruxxeSya
motivity	prerakawA
motley	biraMgA
motor	preraka
motorbike	motarasAikila
motorer	motara_xOda_prawiyogiwA
motorist	motara_yAwrI
motorize	motara_sajjiwa_kara
mottle	ciwwI
motto	AxarSa_vAkya
mouldy	PaPUMxIxAra
moult	para_roAz_yA_sIMga_JAda
mound	svarNa_golaka
mountain	parvawa
mountainous	pahAdI
mountebank	kapatI_vikrewA
mountie	kenadA_kI_GudasavAra_pulisa
mourner	Soka_manAne_vAlA
mournful	xuHKapUrNa
mouse	cUhA
mouser	cUhe_ke_pakadane_vAlI_billI
mousiness	XUsarawA
moustache	mUzCa
moustached	mUzCovAlA
mousy	SarmIlA
mouthful	kOra
movable	hilanevAlA
moveable	parivarwanIya
movement	gawi
movie	calaciwra
movies	calaciwra
mower	kAtanevAlI_maSIna
mph	mIla_prawi_GaMtA
ms-dos_word	ema_esa_dOYsa
ms-windows_word	ema_esa_vindoja
mucky	gaMxA
mucus	SleRmala
mudar	maxAra
muddiness	aspaRtawA
muddy	kIcada_BarA
muezzin	AjFA_xenevalA
muff	maPa
muffin	eka_waraha_kA_keka
muffle	AvAja_xabA
muffler	gulabaMxa
mufthi	saXAraNa_kapade
muger	luTerA
mugful	pyAlA_Bara
mugginess	umasapana
muggy	umasaxAsa
muging	lUta
mulatto	multtI
mulberry	wUna
mulch	GAsapAwa_yA_palavAra_se_Daka
mule	Kaccara
mulet	arWaxaNda_xe
mulish	adiyala
mulishness	haTIlApana
muller	silOtI
mullet	maleta
mullion	bicalA_Cada
mullioned	bicale_Cada_kA
multi	bahu
multifarious	vEvixyawA
multiplicable	guNya
multiplication	guNaka
multiplicative	guNAwmaka
multiplicity	aXikawA
multiplier	guNaka
multiply	guNA_kara
multitude	bahu_saMKyA
mumble	buxabuxA
mummery	mUkABinaya
mummification	Sava_parirakRaNa
mummify	Sava_kA_parirakRaNa_kara
mummy	purAnA_parirakRiwa_Sava
mumps	kanapadA
munch	cabA
muncif	munsiPa
mundane	sAMsarika
mundanely	sAXAraNa
municipality	nagara_pAlikA
municipalize	nagarapAlikA_ke_aXIna_kara
munificense	uxArawA
munificensely	xayASIlawA_se
munificent	uxAra
muniment	praleKa
muniments	sAmAgrI
munition	yuxXa_sAmagrI
mural	xIvAra
muralant	BiwwikalA
murder	KUna
murderer	hawyArA
murderess	hawyArI
murderous	prANaGAwaka
murderously	nirxayawA
murk	azXerA
murky	azXerA
murmer	marmarAhata
murmur	marmarAhata
muscle	peSI
muscular	peSIya
museum	saMgrahAlaya
mush	gUxA
mushroom	kukaramuwwA
mushy	gUxexAra
music	saMgIwa
musical	saMgIwa
musically	saMgIwa_suKAnwaka
musician	saMgIwakAra
musicianship	saMgIwakArI
musilagenous	lasaxAsa
musins	SleRma_rasa
musk	kaswUrI
musket	banxUka
musketeer	banxUkaXArI_sEnika
musketry	banxaka_cAlana_kalA
musky	kaswUrI_ganXa_yukwa
muslin	malamala
muss	avyavasWA
mussel	sIpI
mustard	sarasoM
musty	PaPUMxA_huA
mutation	parivarwana
mutilate	kAta
mutinous	bAgI
mutton	Beda_kA_mAzsa
mutual	pArasparika
myopia	kama_xeKane_kI_bImArI
myrtle	meMhaxI
mysterious	rahasyapUrNa
mysteriously	rahasyAwmaka_rUpa_se
mystery	rahasya
mysticism	rahasyavAxa
mystification	pecIxApana
mystify	pecIxA_kara
myth	kalpiwa_kaWA
mythology	pOrANika_kaWAez
nab	ekAeka_pakada_le
nadir	bilkula_nimna_swara
naff	sAXAraNa
naive	anuBavahIna
naivety	anuBavahInawA
naked	nagna
nakedly	Kule_rUpa_se
nakedness	nagnapana
nameless	gumanAma
namely	jEse
namesake	nAmarASI
nanny	AyA
napalm	petrola_se_banA_huA_paxArWa_jisase_bama_banAwe_hE
nape	garxana_ke_pICe_kA_BAga
naphtha	SIGra_jalane_vAlA_Kanija_wela
napkin	rumAla
nappy	laMgota
narcissism	Awmamoha
narcissistic	AwmamohI
narcissus	naragisa_kA_pOXA
nard	sugaMXiwa_gulameMhaxI
narrate	bayAna_kara
narration	kaWana
narrator	bayAna_karane_vAlA
narrowly	sazkarAI_se
narrowness	saMkuciwa
narwhal	Arkatika_sAgara_meM_pAI_jAne_vAlI_vhela_maCalI
nascent	SurUAwI_swara_para
nasturtium	jalakumBI
natal	janma_saMbaMXI
nation	rARtra
nationalism	rARtrIyavAxa
nationalist	rARtravAxI
nationality	rARtrIyawA
nationalization	rARtrIyakaraNa
nationalize	rARtrIyakaraNa_kara
nationally	saMpUrNa_rARtra_meM
nationwide	xeSavyApI
nativity	janma
naturalism	svaBAvikawA
naturalist	paxArWavijFAnI
naturalize	prAkqwika_yA_sahaja_banA
nature	prakqwi
natured	svaBAva_vAlA
naught	kuCa_nahIM
naughty	xuRta
nausea	mawalI
nauseate	jI_GinA
nauseous	GqNAjanaka
nautical	jahAjI
nave	pahiye_kI_nAva
navel	nABi
navigable	jahAja_yA_nAva_Kene_lAyaka
navigation	sahI_mArga_xiKAnA
navigator	xiSA_xiKAnevAlA
navvy	BUmi_Koxane_vAlA_majaxUra
navy	samuxrI_senA
naxalite	nakRalavAxI
neap	saba_se_nIce_swara_kA
nearly	karIba_karIba
neat	sAPa
neatly	svacCawApUrvaka
neatness	svacCawA
nebula	asaMKya_wArApuMja
nebular	wArA_maMdala_kA
nebulous	XuzXalA
necessarily	anivArya_rUpa_se
necessary	AvaSyaka
necessitate	majabUra_kara
necessity	AvaSyakawA
necklace	mAlA
necktie	gulubanxa
necromancy	prewa_vixyA
nectar	amqwa
necterine	amqwa_jEsA_maXura
neddy	gaXA
needless	niRprayojana
needlewoman	silAI_karanevAlI
needs	jarUraweM
needy	nirXana
nefarious	awi_xuRta
negate	nakAra
negation	nakAra
negatively	nakArAwmaka_rUpa_meM
negativity	nakArAwmakawA
neglectful	XyAna_na_xene_vAlA
negligence	lAparavAhI
negligent	beparavAha
negligently	beparavAhI_se
negligible	nagaNya
negotiable	molaBAva_karane_lAyaka
negotiate	mola_wola_kara
negotiation	mola_wola
negotiator	mola_wola_karanevAlA
negro	habSI
neighbourhood	padosa
neighbourly	miwravaw
nemesis	xaMda_jisa_se_bacA_na_jA_sake
neo	navIna
neocracy	navIna_logo_kA_rAjya
neon	eka_prakAra_kA_gEsa
neophyte	nOsiKiyA
neoteric	AXunika
nephew	BawIjA_BAMjA
nepotism	kulapakRapAwa
neptune	varuNa
nervously	GabarAwe_hue
nervousness	GabarAhata
nervy	cinwA_karane_vAlA
nether	nIce_kA
neuclear	nABikIya
neural	snAyu_saMbanXI
neuralgia	snAyu_SUla
neurologist	snAyu_vijFAnI
neurology	snAyu_vijFAna
neutrality	niRpakRawA
neutralize	niRpraBAva_kara
never	kaBI_nahIM
nevermore	aba_se_nahI
nevertheless	waWApi
newborn	navajAwa
newcomer	navAgaMwuka
newfangled	navIna_DaMga_kA
newly	nayA_nayA
newness	navInawA
newsagent	samAcArapawra_becane_vAlA
newscast	samAcAra_prasAraNa
newsletter	eka_prakAra_kA_samAcAra_pawra
newspaper	samAcArapawra
newsreader	samAcAra_padane_vAlA
nexus	anwarsambanXa
nib	kalama_kI_noka
nibble	kuwara
nicely	acCe_se
nicety	bArIkI
niche	AlA
nickel	gilata
niece	BawIjI
niggardly	kqpaNa
nigger	kAlA_AxamI
niggle	nukwAcInI_kara
night	rAwa
nightblindness	rawOMXI
nightcap	rAwa_meM_peya_maxirApAna
nightclub	rAwri_klab
nightdress	gAuna
nightfall	sanXyA_samaya
nightgown	gAuna
nightingale	bulabula
nightjar	niSAcariwa_BUrI_cidiyA
nightmare	xu:svapna
nil	SUnya
nimble	PurwIlA
nimbus	varRAmeGa
nine-hundred_word	nOsO
nineteenth	unnIsavAz
ninety-eight_word	aTAnave
ninety-five_word	picyAnave
ninety-four_word	cOrAnave
ninety-nine_word	ninyAnave
ninety-one_word	ikAnave
ninety-seven_word	sawAnave
ninety-six_word	CiyAnave
ninety-three_word	wirAnave
ninety-two_word	bayAnave
ninety	nabbe
nipper	baccA
nipple	cUcI
nippy	bahuwa_TaMdA
nirvana	nirvANa
nit	Cote_kIdoM_kA_aMdA
nitrate	nAitreta
nitric	nAitreta_kA_wejAba
nitrogen	nAitrojana
nitroglycerine	nAitroglisarIna
no-op_word	saMkriyAhIna_anuxeSa
no-operation_word	saMkriyAhIna_anuxeSa
no-waiting_word	SUnya_prawIkRA
nob	XanADya_vyakwi
nobility	kulInawA
nobleman	kulIna_jana
nobody	koI_nahIM
nocturnal	rAwa_kA
nocturne	niSA_gIwa
node	gAzTa
nodule	gAzTa
noise	AvAja
noiseless	SAMwa
noisome	nirganXa
noisy	kolAhala_kArI
nomad	baMjAre
nomenclature	pAriBARika_SabxAvalI
nominal	nAmamAwra_kA
nominate	nAmAMkiwa_kara
nomination	nAmAMkana
nominee	nAmAMkiwa
non-determinism_word	aniXAREPriwA
non-interactive_word	anyonyakrriyAhIna
nonagenarian	nabbe_se_sO_varRIya
nonchalance	niSciMwawA
nonchalant	niScinwa
nonchalantly	niSciMwawApUrvaka
noncommittal	avacanabaxXa
nonconductor	acAlaka
nonconformist	rUDiviroXI
nondescript	sAXAraNa
none	koI_BI_nahIM
nonetheless	Pira_BI
nonpareil	awulya
nonplus	kiMkarwavyavimUDa_kara
nonsense	nirarWaka
nonsensical	awarkasaMgawa
noodle	sevaIM
nook	konA
noon	maXyAhna
nor	na
nordic	uwwarI_yUropa_ke_xeSa
norm	mAnaxaMda
normality	sAmAnya_sWiwi
normalization	sAmAnyIkaraNa
normalize	sAmAnya_banA
normally	sAmAnyawa
normative	mAnaxaMda-saMbanXI
northbound	uwwaronmuKa
northeastern	uwwarapUrvIya
northerly	uwwarI
northern	uwwarI
northernmost	uwwarawama
northwest	uwwara_paScima_kI_xiSA
northwesterly	paScimowwarIya
northwestwards	uwwarapaScimonmuKa
nosedive	awyaXika_giranA
nosegay	CotA_gulaxaswA
nostalgia	GatanAoM_kI_yAxeM
nostril	nAsaxvAra
nostrum	nIma_hakIma_kI_xavA
not-and_word	waWA_pUrakaElectronics
not-or_word	pUraka
not	nahIM
notability	viSeRawA
notable	prasixXa
notary	notarI
notation	saMkewa_paxXawi
notebook	nota_buka
notepad	kAgaja_kA_pEda
noteworthy	ulleKanIya
nothingness	anavasWA
noticeable	xeKane_yogya
noticeably	sAPa_sAPa
notifiable	rogoM_kI_sUcanA
notification	aXisUcanA
notify	sUcanA_xe
notion	XAraNA
notional	kAlpanika
notoriety	kuKyAwi
notorious	kuKyAwa
notoriously	viSeRa_rUpa_se
notwithstanding	waWApi
nought	SUnya
noun	saMjFA
nourishment	puRtikAraka_paxArWa
nova	akasmAw_BAsiwa_nakRawra
novelette	upanyAsikA
novelist	upanyAsakAra
novelistic	upanyAsa_kI_viSeRawA
novelty	navInawA
novice	nOsiKiyA
nowadays	Ajakala
nowhere	kahIM_nahIM
nowt	kuCa_nahI
noxious	hAnikAraka
nozzle	nAka
nuance	sUkRma_Bexa
nub	kenxra_binxu
nubile	vivAha_yogya
nuclear	nABikIya
nucleus	gUxA
nudism	naMgApana
nudist	naMgepana_me_viSvAsa_raKane_vAlA
nudity	naMgApana
nugatory	nirarWaka
nugget	kaccA_sonA
nuisance	upaxrava
null	akRama
nullification	niRpraBAvawA
nullify	raxxa_kara
numberless	agaNiwa
numeral	aMka
numerate	gina
numerical	saMKyAwma
numerically	saMKyAnusAra
numerous	bahuwa_jyAxA
numinous	parameSvara_sambanxI
numismatics	muxrA_SAswra
numismatist	muxrASAswrajFa
nun	sanyAsina
nuptial	vivAha_saMbaMXI
nuptials	vivAha-sansakAra
nursery	peda-pOXoM_ko_ropane_kA_sWAna
nut	kARTaPala
nutcase	buxXu
nutcracker	sarOwA
nutmeg	jAyaPala
nutritional	poRaNa_saMbanXI
nutritionist	poRaNa_viSeRajFa
nuts	pAgala
nutshell	aKarota_Axi_kA_CilakA
nutty	jahAz_mevA_bahuwAyAwa_ho
nuzzle	sUzganA_yA_sUzgakarapyAra_kara
nylon	nAyalana
nymph	apsarA
nymphomaniac	swriyoM_me_uwkata_kAmukawA
o'clock	baje
oaf	bevakUPa
oak	SAhabalUwa
oar	cappU
oarsman	mAzJI
oasis	maruxvIpa
oath	SapaWa
oatmeal	xaliyA
oats	juI
obduracy	haTa
